# CLDR symbol names for af: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	uitroepteken	knal | punt | teken | uitroep
#	hutsmerk	huts | hutsmerk | nommer | pond
$	dollar	dollar | geld | USD
%	persent	persent | persentasie
&	ampersand	ampersand | en | et
'	tikmasjien-apostroof	aanhaling | afkappingsteken | apostroof | enkelaanhaling | tikmasjien-apostroof
)	sluithakie	parentese | ronde hakie | sluithakie
*	asterisk	asterisk | sterretjie
+	plusteken	optel | plus | plusteken
,	komma	komma
-	koppelteken-minus	koppelteken | koppelteken-minus | minus
.	punt	kolletjie | punt
/	skuinsstreep	leesteken | skuins | skuinsstreep | streep | vorentoe | vorentoe-skuinsstreep
:	dubbelpunt	dubbelpunt
;	kommapunt	komma-punt | kommapunt
<	kleiner as	kleiner as | merker | oop merker
=	gelyk aan	gelyk | gelyk aan
>	groter as	groter as | merker | sluit merker
?	vraagteken	teken | vraag
@	"at"-teken	"at"-teken | aapstert | by
[	oop-blokhakie	blokhakie | hakie | kwartnoot | oop-blokhakie
\	agtertoe-skuinsstreep	agtertoe | agtertoe-skuinsstreep | leesteken | skuins | streep
]	sluit-blokhakie	blokhakie | hakie | sluit-blokhakie
^	kappie	kappie | mag | sirkumfleks | wiggie
_	onderste streep	lyntjie | onder-streep | onderste streep
`	gravisaksent	aksent | gravis | toon
{	oop-krulhakie	hakie | klamp | krulhakie | krulklamp | oop krulhakie | oop-krulhakie | vleuel
|	vertikale streep	lyntjie | pyp | stok | strepie | strook | vertikale streep
}	sluit-krulhakie	krulhakie | sluit | sluit-krulhakie
~	tilde	tilde
¡	omgekeerde uitroepteken	knal | omgekeerd | punt | teken | uitroep
¢	sent	sent
£	pond	EGP | GBP | geldeenheid | pond
¤	Onbekende geldeenheid	
¥	yen	CNY | geldeenheid | JPY | yen | yuan
§	afdeling	afdeling | deel | paragraaf | silcrow
¨	diërese	diërese | tréma | umlaut
©	kopieregmerk	C | kopiereg
«	links-guillemet	chevron | hakes | hoek | inlastekens | links | links-guillemet | quote
¬	negering	negering | nie
®	registrasiemerk	geregistreer | R
°	graad	graad | proef | uur
±	plus-minus	plus-minus
²	boskrif twee	boskrif | twee | vierkant
³	boskrifdrie	boskrif | drie | kubiek
´	akuutaksent	aksent | akuut | toon
µ	mikroteken	mate | mikroteken
¶	paragraafteken	alinea | paraaf | paragraaf | pilcrow | teken
·	middelkol	interpunkt | kol | middel | middelkol
¹	boskrif-een	boskrif | een
»	regs-guillemet	aanhaling | chevron | hakies | hoek | inlastekens | regs | regs-guillemet
¿	omgekeerde vraagteken	omgekeerd | teken | vraag
×	vermenigvuldigteken	maal | vermenigvuldig | vermenigvuldiging | vermenigvuldigteken
÷	deelteken wiskunde	deel | deelteken | deelteken wiskunde | deling | obelus
֏	Armeense dram	
؋	Afgaanse afgani	
،	arabiese komma	arabies | komma
؛	arabiese kommapunt	arabies | komma-punt | kommapunt
؟	arabiese vraagteken	arabies | teken | vraag
৳	Bangladesjiese taka	
฿	Thaise baht	
៛	Kambodjaanse riel	
‐	koppelteken	koppelteken | leesteken
–	en-streep	en | en-streep | streep
—	em-streep	em | em-streep | streep
―	horisontale balk	em-streep | horisontale balk | lyn
‘	apostroof links	aanhaling | apostroof links | begin | enkelaanhaling | slimaanhaling
’	apostroof regs	aanhaling | apostroof regs | enkelaanhaling | slimaanhaling | sluit
‚	onderste regter-apostroof	aanhalingsteken | apostroof | onderste aanhalingsteken | onderste regter-apostroof
“	linkeraanhalingsteken	aanhaling | begin | dubbelaanhaling | linkeraanhalingsteken | slimaanhaling
”	regteraanhalingsteken	aanhaling | dubbelaanhaling | regteraanhalingsteken | slimaanhaling | sluit
„	onderste regter-enkelaanhaling	aanhaling | dubbelaanhaling | onder-aanhaling | onderste regter-enkelaanhaling | slimaanhaling
†	dolkteken	dolk | obelisk | obelus | teken
‡	dubbeldolkteken	dolk | dubbel | obelisk | obelus | teken
•	kol	kol
…	ellips	beletselteken | ellips | kolletjies | weglating
‧	koppeltekenpunt	koppelteken | koppeltekenpunt | punt | streep
‰	permille	permil | permille
′	priem	priem
″	dubbelpriem	dubbelpriem | priem
‴	trippelpriem	priem | trippelpriem
‸	inlasteken	inlasteken
※	verwysingsteken	teken | verwysing
‼	dubbeluitroepteken	boef baf | dubbele uitroepteken | dubbeluitroepteken | leesteken | teken | uitroep | uitroepteken
‽	vraagroepteken	vraagroepteken
‾	oorstreep	oorheendruk | oorstreep | vinkulum
⁂	asterisme	asteriske | asterisme | drie sterretjies
⁄	breukskuinsstreep	breukskuinsstreep | skuinsstreep | virgule | vooroorskuinsstreep
⁉	uitroep-vraagteken	interrobang | leesteken | merk | teken | uitroep | uitroep-vraagteken | vraag
⁻	boskrifminus	boskrif | minus
₡	Costa Ricaanse colón	
₢	cruzeiro	BRL | cruzeiro | geldeenheid
₣	Franse frank	frank | Franse frank | geldeenheid
₤	lier	geldeenheid | lier
₥	mill	mil | mill
₦	Nigeriese naira	
₨	roepee	geldeenheid | roepee
₩	won	KPW | KRW | won
₪	Israeliese nuwe sikkel	
₫	Viëtnamese dong	
€	euro	EUR | euro | geldeenheid
₭	Laosiaanse kip	
₮	Mongoolse toegrik	
₰	Duitse pennie	Duitse pennie | geldeenheid | pennie
₱	peso	peso
₲	Paraguaanse guarani	
₳	austral	ARS | austral | geldeenheid
₴	Oekraïnse hriwna	
₵	Ghanese cedi	
₶	livre tournois	geldeenheid | livre tournois
₷	spesmilo	geldeenheid | spesmilo
₸	Kazakse tenge	
₹	indiese roepee	geldeenheid | indiese roepee | roepee
₺	Turkse lira	
₼	Azerbeidjaanse manat	
₽	roebel	geldeenheid | roebel
₾	Georgiese lari	
₿	bitcoin	bitcoin | elektroniese geldeenheid | kriptogeld
℗	kopiereg vir klankopname	klank | klankopname | kopiereg
™	handelmerk	handel | handelsmerk | merk | TM
ℹ	inligting	hulp | i | I | inligting | inligtingbordjie | kennisgewing
←	linkswysende pyltjie	links | linkswysende pyltjie | pyltjie
↑	opwysende pyltjie	op | opwysende pyltjie | pyltjie
→	regswysende pyltjie	pyltjie | regs | regswysende pyltjie
↓	afwysende pyltjie	af | afwysende pyltjie | pyltjie
↔	pyl links en regs	aanwyser | links-regs-pyl | pyl | pyl links en regs | pyle | sleutel | wyser
↕	pyl op en af	op-af-pyltjie | pyl | pyl op en af | pyle | pyltjies | pyltjiessleutel | rigtingaanwyser
↖	pyl na links bo	noordwes | pyl | pyl na links bo | rigting | tussen windrigtings
↗	pyl na regs bo	noordoos | pyl | pyl na regs bo | rigting | tussen windrigtings
↘	pyl na regs onder	pyl | pyl na regs onder | rigting | suidoos | tussen windstreke
↙	pyl na links onder	pyl | pyl na links onder | rigting | suidwes | tussen windrigtings
↚	pyl na links met streep	links | pyl | streep
↛	pyl na regs met streep	pyl | regs | streep
↜	golwende pyl na links	golf | na links | pyl
↝	golwende pyl na regs	golwende | golwende pyl na regs | pyl | regs | regter
↞	dubbelkoppyl na links	dubbelkop | links | pyl | twee
↟	dubbelkoppyl na bo	boontoe | dubbelkop | dubbelkoppyl na bo | op | pyltjie
↠	dubbelkoppyl na regs	dubbelkop | dubbelkoppyl na regs | pyltjie | regs | regter
↡	dubbelkoppyl na onder	af | dubbelkop | dubbelkoppyl na onder | ondertoe | pyltjie
↢	pyl met stert na links	na links | pyl | stert
