# CLDR symbol names for ak: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	nteamudeɛ	agyinahyɛdeɛ | bang | nteamu | osiwieeɛ
#	hahye ahyɛnsodeɛ	ahyɛnsodeɛ | hahye | hahyetaage | lb | nɔma | pɔɔno
$	dͻla	dͻla | peso | sika | USD
%	ɔha nkyɛmu	nkyɛmu | ɔha | ɔha-nkyɛmu
&	ampɛsande	ampɛsande | et | ne
'	ogya nsɛnkyerɛne a ɛwɔ tintim fidie so	korɔ | ogya nsɛnkyerɛne | quote | tintim fidie
)	ntomu nkatomdeɛ	kurukuruwa | nkatom | nkatomdeɛ | ntomu
*	astɛrisike	astɛrisike | nsoroma | waedekaad
+	ka bom nsεnkyerεnne	ka bom | nkabom | nsεnkyerεnne
,	nsanhͻ	nsanhͻ
-	haefene-te firi mu	daahye | haefene | haefene-te firi mu | te firi mu
.	piireɔdo	dɔɔto | gyae | mua | piireɔdo
/	selahye	ɔbiliki | selahye | setroko | sɔliduse | viigule | waake
:	osiprenu	osiprenu
;	osisan	osi-san | osisan
<	sua sene	ahyεnso | bue | sene | sua
=	yε	yε
>	so sene	ahyεnso | bεn | sene | so
?	asɛmmisa nsɛnkyerɛne	asɛmmisa | nsɛnkyerɛne
@	at-ahyɛnsodeɛ	ahyɛnsodeɛ | ampɛsate | aroba | arobeese | at | at-ahyɛnsodeɛ | kɔmɛhyiaa | nsɛnkyerɛnne | setrudee
[	mmueɛ sokwɛɛ nkatomdeɛ	bue | krɔkyɛte | nkatomdeɛ | sokwɛɛ
\	akyiselahye	akyiselahye | kɔ akyi | sɔliduse | waake
]	ntomu sokwɛɛ nkatomdeɛ	krɔkyɛte | nkatomdeɛ | sokwɛɛ | tom
^	sɛɛkumflɛse asɛnte	akyerɛkyerɛkwan | asɛnte | di so | ɛkyɛ | hyevron | karɛte | nsɛnkyerɛnne | sɛɛkumflɛse | tumi | wɛɛge | xor
_	fam sensaneɛ	aseɛdaahye | aseɛsensaneɛ | daahye | fam | sensaneɛ
