# CLDR symbol names for am: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ቃል አጋኖ ምልክት	ቃል አጋኖ ምልክት
#	የሃሽ ምልክት	የሃሽ ምልክት
$	ዶላር	ዶላር
%	ፐርሰንት	ፐርሰንት
&	እና	እና
'	ታይፕራይተር አፖስትሮፍ	ታይፕራይተር አፖስትሮፍ | ነጠላ ኮት | አፖስትሮፍ | ኮት
)	ክሎዝ ፓረንተንሲስ	ራውንድ ቅንፍ | ቅንፍ | ክሎዝ ፓረንተንሲስ | ወላጆች | ፓረን | ፓረንተንሲስ
*	ኮከቢት	ኮከቢት
+	የመጨመር ምልክት	መደመር | የመጨመር ምልክት | ጨምር
,	ነጠላ ሰረዝ	ነጠላ ሰረዝ
-	ሃይፈን-ማይነስ	ሃይፈን | ሃይፈን-ማይነስ | ማይነስ | ዳሽ
.	ነጥብ	ነጥብ
/	እዝባር	እዝባር
:	ሁለት ነጥብ	ሁለት ነጥብ
;	ድርብ ዘረዝ	ድርብ ዘረዝ
<	የሚያንስ	ታግ | ክፍት ታግ | የሚያንስ
=	እኩል	እኩል | እኩል ይሆናል
>	የሚበልጥ	ታግ | ወደ ታግ የሚጠጋ | የሚበልጥ
?	ጥያቄ ምልክት	ጥያቄ ምልክት
@	የ@ ምልክት	የ@ ምልክት
[	ክፍት ስኩየር ቅንፍ	ስኩየር ብራኬየት | ብራኬት | ክሮትቸት | ክፍት ስኩየር ቅንፍ
\	የኋሊት እዝባር	የኋሊት እዝባር
]	ክሎዝ ስኩየር ቅንፍ	ስኩየር ብራኬየት | ብራኬት | ክሎዝ ስኩየር ቅንፍ | ክሮትቸት
^	የአነጋገር ዘዬ	ሃት | መቆጣጠር | ቼቨሮን | አነጋገር | ኤክሶርሳይን | ካሬት | ወጅ | ዘዬ | የአነጋገር ዘዬ | ፓወር | ፖይንተር
_	ዝቅተኛ መስመር	ዝቅተኛ መስመር
`	ግሬቭ ዘዬ	ቶን | ዘዬ | ግሬቭ
{	ክፍት ኩርሊ ቅንፍ	ቅንፍ | ብሬስ | ከርሊ ቅንፍ | ኩርሊ ብሬስ | ክፍት ኩርሊ ቅንፍ | ጉሊንግ
|	ቀጥተኛ መስመር	ላይንፒክ | ስትሪክ | ስትሮክ | ሸፈር ስትሮክ | ቀጥተኛ መስመር | ቀጥተኛ ባር | ባር | ቪባር | ፓይፕ
}	ዝግ ከርሊ ቅንፍ	ቅንፍ | ብሬስ | ከርሊ ቅንፍ | ከርሊ ብሬስ | ዝግ ከርሊ ቅንፍ | ጓልዊንግ
~	ቲልድ	ቲልድ
¡	የተገለበጠ ቃል አጋኖ ምልክት	የተገለበጠ ቃል አጋኖ ምልክት
¢	ሴንቲ	ሳንቲም | ሴንቲ
£	ፓውንድ	ኢግፓ | ገንዘብ | ግብፓ | ፓውንድ
¤	ያልታወቀ ገንዘብ	
¥	የን	ሲኤንዋይ | የን | ዩኣን | ጄፒዋይ | ገንዘብ
§	ጉርድ	ሲልክሮውን | አንቀጽ | ክፍል | ጉርድ
¨	ዲያረሲስ	ትሪማ | አምላት | ዲያረሲስ
©	የቅጂ መብት	የቅጂ መብት
«	ግራ ጥቅስ ምልክት	ምእዘን | ቅንፎች | ትእምርተ ቅጥያ | ድፋቶች | ግራ | ግራ ጥቅስ ምልክት | ጥቅስ
¬	አሉታነት	አሉታነት
®	የተመዘገበ ንግድ ምልክት	ተመዝግቧል | የተመዘገበ ንግድ ምልክት | የንግድ ምልክት
°	ዲግሪ	ማስረጃ | ሰዓት | ዲግሪ
±	መጨመር-መቀንስ	መጨመር-መቀንስ
²	ራስጌ ምልክት ሁለት	ሁለት | ራስጌ ምልክት | ራስጌ ምልክት ሁለት | ስኴርድ
³	ራስጌ ምልክት ሶስት	ራስጌ ምልክት | ራስጌ ምልክት ሶስት | ሳልስ ርቢ | ሶስት
´	አክዩት ዘዬ	ቶን | አክሰንት | አክዩት | አክዩት ዘዬ
µ	የማይክሮ ምልክት	መለኪያ | ማይክሮ ምልክት | የማይክሮ ምልክት
¶	አንቀፅ ምልክት	አንቀፅ ምልክት
·	ማእከላዊ ነጥበ	ማእከላዊ | ማእከላዊ ነጥበ | ማእከላዊነጥብ | ማዕከላዊምልክት | ነጥብ
¹	ራስጌ ምልክት አንድ	ራስጌ ምልክት | ራስጌ ምልክት አንድ | አንድ
»	ቀኝ ጥቅስ ምልክት	ምእዘን | ቀኝ | ቀኝ ጥቅስ ምልክት | ቅንፎች | ትእምርተ ቅጥያ | ድፋቶች | ጥቅስ
