# CLDR symbol names for ar: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	علامة تعجّب	تعجّب | علامة تعجّب | مفاجأة
#	علامة المربّع	باوند | رقم | علامة المربّع | مربّع | هاشتاغ | وسم
$	دولار	بيزو | دولار | دولار أمريكي | مال
%	نسبة مئوية	بالمئة | مئوية | نسبة مئوية
&	علامة عطف	علامة عطف | و | واو لاتينية
'	فاصلة علوية عمودية	اقتباس | علامة اقتباس مفردة | فاصلة علوية | فاصلة علوية عمودية
)	قوس إغلاق هلالي	إغلاق | غلق | قوس | قوس إغلاق هلالي | قوس دائري | قوس هلالي
*	نجمة	علامة | نجمة
+	علامة الجمع	إضافة | جمع | علامة الجمع
,	فاصلة	فاصلة
-	واصلة-ناقص	شرطة | ناقص | واصلة | واصلة-ناقص
.	نقطة	نقطة | نقطة نهاية
/	شرطة	خط مائل | خط مائل للأمام | شرطة | شرطة مائلة للأمام | مائل | مائل ناحية اليمين
:	نقطتان	نقطتان
;	فاصلة منقوطة	فاصلة منقوطة
<	أقل من	أقل من | علامة | علامة فتح
=	يعادل	يساوي | يعادل
>	أكبر من	أكبر من | علامة | علامة إغلاق
?	علامة استفهام	استفهام | سؤال | علامة استفهام
@	علامة آت	أروب | الربع | علامة آت
[	قوس فتح معقوف	قوس فتح معقوف | قوس مستطيل | قوس معقوف
\	شرطة مائلة للخلف	خط مائل | خط مال للخلف | شرطة مائلة للخلف | مائل ناحية اليسار
]	قوس إغلاق معقوف	قوس إغلاق معقوف | قوس مستطيل | قوس معقوف
^	مدة معقوفة	الضرب المنطقي | رفع | علامة الاستثناء | مدة معقوفة | معقوفة
_	خط تحت السطر	تسطير | خط تحت السطر | خط تحتي | شرطة تحت السطر | شرطة سفلية
`	نبر الإطالة	إطالة | نبر | نبر الإطالة | نبرة
{	قوس فتح متعرج	قوس | قوس حصر | قوس فتح متعرج | قوس متعرج
|	خط عمودي	أنبوب | خرطوم | خط | خط رأسي | خط عمودي | شريط | شريط عمودي | عصا
}	قوس إغلاق متعرج	قوس | قوس إغلاق متعرج | قوس حصر | قوس متعرج
~	تلدة	تلدة
¡	علامة تعجّب مقلوبة	تعجّب | علامة تعجّب | علامة تعجّب مقلوبة | مفاجأة | مقلوبة | نقطة تعجّب
¢	سنت	سنت
£	جنيه	باوند | جنيه | جنيه إسترليني | جنيه مصري | عملة
¤	عملة غير معروفة	
¥	ين	الصين | اليابان | رنمينبي | عملة | ين | يوان
§	قسم	جزء | قسم | مقطع
¨	نقطتان على الحرف	علامة فك | نقطتان | نقطتان على الحرف
©	علامة حقوق نشر	حقوق طبع | رمز | علامة حقوق نشر
«	علامة اقتباس يسرى	أقواس معقوفة | اقتباس | تنصيص | شارة رتبة | علامة اقتباس يسرى | نهاية الاقتباس
¬	نفي	غير | نفي
®	مسجَّل	رمز | علامة التسجيل | مسجل | مسجَّل
°	درجة	حرارة | درجة | ساعة
±	زائد-ناقص	زائد-ناقص
²	رقم اثنين علوي	اثنان | رقم اثنين علوي | علوي | مربع
