# CLDR symbol names for as: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ভাৱবোধক চিহ্ন	বেং | ভাৱবোধক | ভাৱবোধক চিহ্ন | ভাৱবোধক বিন্দু
#	হেশ্ব চিহ্ন	lb | নম্বৰ | পাউণ্ড | হেশ্ব | হেশ্ব চিহ্ন | হেশ্বটেগ
$	ডলাৰ	USD | টকা | ডলাৰ | পেছো
%	শতাংশ	শতাংশ
&	এম্পাৰছেণ্ড	et | আৰু | এম্পাৰছেণ্ড
'	টাইপৰাইটাৰ উৰ্ধকমা	উদ্ধৃতি | উৰ্ধকমা | একক উদ্ধৃতি | টাইপৰাইটাৰ উৰ্ধকমা
)	সমাপ্তি চন্দ্ৰ বন্ধনী	গোলাকাৰ বন্ধনী | চন্দ্ৰ বন্ধনী | পেৰেন | পেৰেন্‌চ | বন্ধনী | সমাপ্তি চন্দ্ৰ বন্ধনী
*	তৰাচিহ্ন	তৰা | তৰাচিহ্ন | ৱাইল্ডকাৰ্ড
+	যোগ চিহ্ন	যোগ | যোগ কৰক | যোগ চিহ্ন
,	ক’মা	ক’মা
-	হাইফেন-বিয়োগ	ডেশ্ব | বিয়োগ | হাইফেন | হাইফেন-বিয়োগ
.	বিৰাম চিহ্ন	দাৰি | বিন্দু | বিৰাম চিহ্ন
/	শ্লেছ	চলিডাচ | তিৰ্য্যক | বক্ৰৰেখা | ৱেক | শ্লেছ | ষ্ট্ৰ’ক
:	ক’লন	ক’লন
;	চেমিক’লন	চেমিক’লন
<	ইয়াতকৈ সৰু	ইয়াতকৈ সৰু | খোলা টেগ | টেগ
=	সমান	সমান | সমান চিহ্ন
>	ইয়াতকৈ ডাঙৰ	ইয়াতকৈ ডাঙৰ | টেগ | বন্ধ কৰা টেগ
?	প্ৰশ্নবোধক চিহ্ন	প্ৰশ্ন | প্ৰশ্নবোধক চিহ্ন
@	এট চিহ্ন	এট চিহ্ন | এট মাৰ্ক | এম্পাৰছেট | এৰোবা | এৰোবেচ | বাণিজ্যিক এট | ষ্ট্ৰুডেল
[	আৰম্ভণি বৰ বন্ধনী	আৰম্ভণি বৰ বন্ধনী | ক্ৰ’চেট | বন্ধনী | বৰ বন্ধনী
\	বেকশ্লেছ	ওলটা চলিডাচ | বেকশ্লেছ | ৱেক
]	সমাপ্তি বৰ বন্ধনী	ক্ৰ’চেট | বন্ধনী | বৰ বন্ধনী | সমাপ্তি বৰ বন্ধনী
^	চাৰকমফ্লেক্স এক্সেণ্ট	এক্সওআৰ চিহ্ন | এক্সেণ্ট | কেৰেট | চাৰকমফ্লেক্স | চেভৰণ | টুপী | নিয়ন্ত্ৰণ | পইণ্টাৰ | পাৱাৰ | ৱেজ
_	নিম্ন ৰেখা	ডেশ্ব | নিম্ন ডেশ্ব | নিম্ন ৰেখা | নিম্ন ৰেখাংকন | নিম্নডেশ্ব | ৰেখা
`	গ্ৰেভ এক্সেণ্ট	এক্সেণ্ট | গ্ৰেভ | ট’ন
{	আৰম্ভণি কুটিল বন্ধনী	আৰম্ভণি কুটিল বন্ধনী | কুটিল বন্ধনী | গালৱিং | বন্ধনী | মাজু বন্ধনী
|	উলম্ব ৰেখা	উলম্ব দণ্ডিকা | উলম্ব ৰেখা | দণ্ডিকা | পাইক | পাইপ | ভি বাৰ | ৰেখা | লাঠী | শ্বেফাৰ ষ্ট্ৰ’ক | ষ্ট্ৰ’ক
}	সমাপ্তি কুটিল বন্ধনী	কুটিল বন্ধনী | গালৱিং | বন্ধনী | মাজু বন্ধনী | সমাপ্তি কুটিল বন্ধনী
~	টিল্ড	টিল্ড
¡	ইনভাৰ্টেড ভাৱবোধক চিহ্ন	ইনভাৰ্টেড | ইনভাৰ্টেড ভাৱবোধক চিহ্ন | বেং | ভাৱবোধক | ভাৱবোধক চিহ্ন | ভাৱবোধক বিন্দু
¢	চেণ্ট	চেণ্ট
£	পাউণ্ড	ইজিপি | জিবিপি | পাউণ্ড | মুদ্ৰা
¤	অজ্ঞাত মুদ্ৰা	
¥	য়েন	আইপিৱায় | চিএনৱায় | মুদ্ৰা | য়ুয়ান | য়েন
§	শাখা	চিলক্ৰো‘ | দফা | ভাগ | শাখা
¨	ডায়েৰেছিছ	উমলাউট | ট্ৰেমা | ডায়েৰেছিছ
©	স্বত্বাধিকাৰ চিহ্ন	c | স্বত্বাধিকাৰ | স্বত্বাধিকাৰ চিহ্ন
«	বাওঁ গিলেমেট	উদ্ধৃতি | কাৰেট | কোণ | বন্ধনী | বৰ-বন্ধনী | বাওঁ | বাওঁ গিলেমেট
¬	নিগেশ্বন	নহয় | নিগেশ্বন
®	পঞ্জীভুক্ত	r | পঞ্জীভুক্ত
°	ডিগ্ৰী	ঘণ্টা | ডিগ্ৰী | প্ৰমাণ
±	যোগ-বিয়োগ	যোগ-বিয়োগ
²	ছুপাৰস্ক্ৰিপ্ট দুই	ছুপাৰস্ক্ৰিপ্ট | দুই | বৰ্গক্ষেত্ৰ
³	ছুপাৰস্ক্ৰিপ্ট তিনি	ঘনাঙ্ক | ছুপাৰস্ক্ৰিপ্ট | তিনি
´	একিউট এক্সেণ্ট	একিউট | এক্সেণ্ট | ট’ন
