# CLDR symbol names for ast: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
¤	Divisa desconocida	
֏	Dram armeniu	
؋	Afganí afganistanu	
৳	Taka bangladexí	
฿	baht tailandés	
៛	riel camboyanu	
₡	Colón costarricanu	
₦	naira nixeriana	
₧	Peseta española	
₪	Xequel nuevu israelín	
₫	dong vietnamín	
₭	kip laosianu	
₮	Tugrik mongol	
₲	guaraní paraguayu	
₴	Grivna ucraína	
₵	cedi ghanianu	
₸	Tenge kazaquistanín	
₺	Llira turca	
₼	Manat azerbaixanu	
₾	Lari xeorxanu	
☺	cara sorriendo	cara sorriendo
