# CLDR symbol names for az: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	nida işarəsi	nida | nida işarəsi | nida nişanı | partlayış
#	heş işarəsi	funt | heş | heş işarəsi | heşteq | lb | nömrə
$	dollar	dollar | peso | pul | USD
%	faiz	faiz
&	ampersand	ampersand
'	tipoqraf apostrofu	apostrof | dırnaq | tək dırnaq | tipoqraf apostrofu
)	qapanan mötərizə	mötərizə | qapanan mötərizə | qövsvari mötərizə
*	asterisk	asterisk | coker | ulduz
+	toplama işarəsi	əlavə et | toplama | toplama işarəsi
,	vergül	vergül | vergül durğusu
-	defis-çıxma	çıxma | defis | defis-çıxma | tire
.	nöqtə	nöqtə | tam durğu
/	sleş	kəsr | maili | maili xətt | sleş | solidus | ştrix
:	iki nöqtə	iki nöqtə | iki nöqtə durğusu
;	nöqtəli vergül	nöqtəli vergül
<	kiçik işarəsi	açılan teq | kiçik işarəsi | teq
=	bərabər	bərabər | bərabər olmaq
>	böyük işarəsi	böyük işarəsi | qapanan teq | teq
?	sual işarəsi	sual | sual işarəsi
@	ət işarəsi	ampersat | arobaza | arroba | ət işarəsi | ət nişanı | strudel | ticari ət
[	açılan kvadrat mötərizə	açılan kvadrat mötərizə | kvadrat mötərizə | mötərizə
\	geri sleş	geri sleş | kəsr | tərs solidus
]	qapanan kvadrat mötərizə	kvadrat mötərizə | mötərizə | qapanan kvadrat mötərizə
^	sirkumfleks	güc | papaq | paz | qoyma işarəsi | şevron | sirkumfleks | vurğu
_	aşağı xətt	alt tire | alt xətt | aşağı xətt | tire | xətt
`	ağır vurğu	ağır | ton | vurğu
{	açılan buruq mötərizə	açılan buruq mötərizə | buruq mötərizə | fiqurlu mötərizə
|	şaquli xətt	şaquli xətt | şeffer xətti
}	qapanan buruq mötərizə	buruq mötərizə | fiqurlu mötərizə | qapanan buruq mötərizə
~	tilda	tilda
¡	tərs nida işarəsi	nida | nida durğusu | nida işarəsi | partlayış | tərs | tərs nida işarəsi
¢	sent	sent
£	funt	EGP | funt | GBP | valyuta
¤	Naməlum Valyuta	
¥	yen	CNY | JPY | valyuta | yen | yuan
§	paraqraf işarəsi	bölmə | bölmə işarəsi | hissə | paraqraf | paraqraf işarəsi
¨	dierez	dierez | trema | umlaut
©	müəllif hüququ	müəllif hüququ
«	sol dırnaq işarəsi	bucaq | dırnaq işarəsi | düzbucaqlı mötərizə | redaktə kursoru | şevron | sol | sol dırnaq işarəsi
¬	inkar	inkar | yox
®	qeydiyyata alınmış	qeydiyyata alınmış | qeydiyyatlı
°	dərəcə	dərəcə | isbat | saat
±	toplama-çıxma	toplama-çıxma
²	üstdə iki	iki | kvadrata yüksəlmiş | üstdə iki | üstdə yazılan
³	üstdə üç	kuba yüksəlmiş | üç | üstdə üç | üstdə yazılan
´	iti vurğu	iti | ton | vurğu
µ	mikro işarəsi	mikro işarəsi | mkro işarəsi | ölçü
¶	paraqraf nişanı	absaz işarəsi | alinea | parafir | paraqraf | paraqraf nişanı
·	orta nöqtə	interpunkt | middot | nöqtə | orta
¹	üstdə bir	bir | üstdə bir | üstdə yazılan
»	sağ dırnaq işarəsi	bucaq | dırnaq işarəsi | düzbucaqlı mötərizə | redaktə kursoru | sağ | sağ dırnaq işarəsi | şevron
¿	tərs sual işarəsi	sual | sual işarəsi | tərs | tərs sual işarəsi
×	vurma işarəsi	dəfə | vurma | vurma işarəsi | vurma şarəsi | vurmaq
÷	bölmə işarəsi	bölmə | bölmə işarəsi | bölmək | kiçik xaç
֏	Ermənistan Dramı	
؋	Əfqanıstan Əfqanisi	
،	ərəb vergülü	ərəb | ərəb vergülü | vergül
؛	ərəb nöqtəli vergülü	ərəb | ərəb nöqtəli vergülü | nöqtəli vergül
؟	ərəb sual işarəsi	ərəb | ərəb sual işarəsi | sual | sual işarəsi
৳	Banqladeş Takası	
฿	Tayland Batı	
៛	Kamboca Rieli	
‐	defis	defis | tire
–	qısa tire	en | qısa tire | tire
—	uzun tire	em | tire | uzun tire
―	üfüqi xətt	tire | üfüqi xətt | xətt
‘	sol apostrof	apostrof | dırnaq | smart dırnaq | sol apostrof | tək dırnaq
’	sağ apostrof	apostrof | dırnaq | sağ apostrof | smart dırnaq | tək dırnaq
‚	aşağı sağ apostrof	apostrof | aşağı dırnaq | aşağı sağ apostrof | dırnaq
“	sol sitat işarəsi	dırnaq | ikiqat dırnaq | sitat | smart sitat | sol sitat işarəsi
”	sağ sitat işarəsi	dırnaq | ikiqat dırnaq | sağ sitat işarəsi | sitat | smart sitat
„	aşağı sağ sitat işarəsi	aşağı sağ sitat işarəsi | aşağı sitat | dırnaq | ikiqat dırnaq | sitat v smart sitat
