# CLDR symbol names for ba: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	өндәү билдәһе	билдә | өндәү | өндәү билдәһе
#	рәшәткә билдәһе	номер | рәшәткә | рәшәткә билдәһе | фунт | хеш | хэш
$	доллар	аҡса | АҠШ | валюта | доллар
%	процент	йөҙҙән бер өлөш | процент
&	амперсанд	амперсанд | һәм
'	машинка апострофы	апостроф | машинка апострофы | тырнаҡ | яңғыҙ тырнаҡ
)	ябыусы йәйә	йәйә | түңәрәк йәйә | ябыу
*	йондоҙсоҡ	астериск | йондоҙ | йондоҙсоҡ
+	плюс билдәһе	билдә | ҡушыу | плюс
,	өтөр	өтөр
-	дефис-минус	дефис | дефис-минус | минус | тире | һыҙыҡ
.	нөктә	нөктә | туҡталыш | тулы
/	ҡыя һыҙыҡ	ҡыя | һыҙыҡ
:	ике нөктә	ике нөктә
;	нөктәле өтөр	нөктә | нөктәле өтөр | өтөр
<	әҙерәк	асыу тегы | әҙерәк | тег
=	тигеҙ	тигеҙ | тигеҙлек билдәһе
>	күберәк	күберәк | тег | ябыу тегы
?	һорау билдәһе	билдә | һорау
@	эт билдәһе	амперсат | билдә | коммерция | эт | эт билдәһе
[	асыусы квадрат йәйә	асыу | йәйә | квадрат йәйә
\	кире ҡыя һыҙыҡ	кире | кире ҡыя һыҙыҡ | ҡыя һыҙыҡ
]	ябыусы квадрат йәйә	йәйә | квадрат йәйә | ябыу
^	циркумфлекс акценты	xor | акцент | билдә | идара итеү | карет | көс | күрһәткес | циркумфлекс | шеврон | шына | эшләпә
_	аҫҡы һыҙыҡ	аҫҡы | һыҙыҡ
`	гравис акценты	акцент | гравис | тон
{	асыусы фигуралы йәйә	асыу | йәйә | фигуралы йәйә
|	вертикаль һыҙыҡ	вертикаль һыҙыҡ | һыҙыҡ
}	ябыусы фигуралы йәйә	йәйә | фигуралы йәйә | ябыу
~	тильда	тильда | эквивалент
¡	кире өндәү билдәһе	билдә | кире | кире өндәү билдәһе | өндәү
¢	цент	цент
£	фунт	валюта | фунт | фунт стерлингы
¤	Билдәһеҙ валюта	
¥	иена	CNY | JPY | валюта | иена | юань
