# CLDR symbol names for be: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	клічнік	вокліч | знак | клічнік
#	актаторп	актаторп | нумар | рашотка | фунт | хэш
$	долар	USD | грошы | долар | песа
%	працэнт	адсотак | працэнт
&	амперсанд	амперсанд | ды | і
'	машынапісны апостраф	аднакоссе | апостраф | машынапісны
)	канцавая дужка	дужка | канцавая | круглая
*	зорачка	астэрыск | зорачка | спецыяльны сімвал
+	плюс	плюс | складанне
,	коска	коска
-	злучок-мінус	дэфіс | злучок | злучок-мінус | мінус
.	кропка	кропка
/	касая рыса	касая | нахіленая | рыса | слэш
:	двукроп’е	двукроп’е
;	кропка з коскай	з | коскай | кропка
<	менш за	менш за | пачатковы тэг | тэг
=	роўна	роўна | роўны
>	больш за	больш за | канцавы тэг | тэг
?	знак пытальніка	знак пытальніка | пытальнік
@	слімак	камерцыйнае at | камерцыйнае эт | сабака | слімак
[	пачатковая квадратная дужка	дужка | квадратная | пачатковая
\	адваротная касая рыса	адваротная | бэкслэш | касая | нахіленая | рыса
]	канцавая квадратная дужка	дужка | канцавая | квадратная
^	цыркумфлекс	клін | націск | стрэшка | цыркумфлекс | шаўрон
_	падкрэсліванне	лінія | ніжняе | падкрэсліванне | рыса
`	гравіс	гравіс | націск | тон
{	пачатковая фігурная дужка	дужка | пачатковая | фігурная
|	вертыкальная рыса	вертыкальная лінія | вертыкальная рыса | лінія | палка | рыса | труба | штрых | штрых шэфера
}	канцавая фігурная дужка	дужка | канцавая | фігурная
~	тыльда	тыльда
¡	перавернуты клічнік	вокліч | знак | клічнік | перавернуты
¢	цэнт	цэнт
£	фунт	EGP | GBP | валюта | стэрлінгаў | фунт
¤	невядомая валюта	
¥	іена	CNY | JPY | валюта | іена | юань
§	параграф	глава | параграф | раздзел | частка
¨	трэма	трэма | умляўт
©	значок аўтарскага права	аўтарскае права | значок аўтарскага права
«	левае французскае двукоссе	вугалкі | вуглавое | двукоссе | елачка | левае двукоссе | левае французскае двукоссе | улева | французскае | шаўрон | ялінка
¬	адмаўленне	адмаўленне | не
®	зарэгістраваны таварны знак	зарэгістраваны | зарэгістраваны таварны знак
