# CLDR symbol names for bg: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	удивителен знак	възклицание | удар | удивителен знак
#	знак диез	диез | знак диез | номер | паунд | хаштаг
$	долар	USD | долар | пари | песо
%	процент	процент
&	амперсанд	амперсанд | и
'	прав апостроф	апостроф | единични кавички | кавички | прав апостроф
)	затваряща скоба	затваряща скоба | кръгла скоба | скоба | стандартна скоба
*	звездичка	астериск | заместващ знак | звездица | звездичка
+	знак плюс	добавяне | знак плюс | плюс | събиране
,	запетая	запетая
-	минус	минус | тире
.	точка	точка
/	наклонена черта	диагонална черта | наклонена черта | слаш
:	двоеточие	двоеточие
;	точка и запетая	точка и запетая
<	по-малко от	отварящ таг | по-малко от | таг
=	равно	равенство | равно | равно на
>	по-голямо от	затварящ таг | по-голямо от | таг
?	въпросителен знак	въпрос | въпросителен знак
@	кльомба	знак за имейл | кльомба | маймунка | маймунско „а“
[	отваряща квадратна скоба	квадратна скоба | отваряща квадратна скоба | скоба | структурна скоба
\	обратна наклонена черта	обратна диагонална черта | обратна наклонена черта | слаш
]	затваряща квадратна скоба	затваряща квадратна скоба | квадратна скоба | скоба | структурна скоба
^	сложно ударение	V-образна стрелка | карета | контрол | показалец | сложно ударение | ударение | циркумфлекс
_	долна черта	долна черта | долно тире | линия | подчертаване | тире
`	гравис	гравис | интонация | ударение
{	отваряща къдрава скоба	къдрава скоба | отваряща къдрава скоба | скоба | фигурна скоба
|	вертикална линия	вертикална линия | вертикална черта | линия | перпендикуляр | черта | щрих | щрих на Шефер
}	затваряща къдрава скоба	затваряща къдрава скоба | къдрава скоба | скоба | фигурна скоба
~	тилда	тилда
¡	обърнат удивителен знак	възклицание | обърнат | обърнат удивителен знак | удар | удивителен знак | удивителна
¢	цент	цент
£	британска лира	EGP | GBP | британска лира | валута | лира | паунд
¤	Непозната валута	
¥	йена	CNY | JPY | валута | йена | юан
§	параграф	параграф | подразделение | секция | част
¨	трема	трема | умлаут
©	авторско право	C | авторско право
«	лява френска кавичка	кавичка | кавички | карета | лява френска кавичка | ляво | шеврон | ъгъл
¬	отрицание	не | отрицание
®	регистрирана търговска марка	[R] | регистриран | регистрирана търговска марка
°	градус	градус | час
±	плюс-минус	плюс-минус
²	втора степен	втора степен | горен индекс | две | на квадрат
³	трета степен	горен индекс | на куб | трета степен | три
´	акут	акут | интонация | ударение
µ	знак за микро-	знак за микро- | мярка
¶	знак за абзац	абзац | знак за абзац | нов раздел | параграф
·	средна точка	интерпункт | средна | точка
¹	първа степен	горен индекс | едно | първа степен
»	дясна френска кавичка	дясна френска кавичка | дясно | кавичка | кавички | карета | шеврон | ъгъл
¿	обърнат въпросителен знак	въпрос | въпросителен знак | обърнат | обърнат въпросителен знак
×	знак за умножение	знак за умножение | по | умножение | умножено
÷	знак за деление	деление | делено | знак за деление | обелос
֏	Арменски драм	
؋	Афганистански афган	
،	арабска запетая	арабска | запетая
؛	арабска точка и запетая	арабска | арабска точка и запетая | точка и запетая
؟	арабски въпросителен знак	арабски | арабски въпросителен знак | въпрос | въпросителен знак
৳	Бангладешка така	
฿	Тайландски бат	
៛	Камбоджански риел	
‐	дефис	дефис | тире
–	средно тире	средно | тире
—	дълго тире	дълго | тире
―	хоризонтална черта	линия | тире | хоризонтална черта | черта
‘	ляв апостроф	апостроф | единични кавички | кавички | ляв апостроф
’	десен апостроф	апостроф | десен апостроф | единични кавички | кавички
‚	долен десен апостроф	апостроф | долен десен апостроф | долна кавичка | кавички
“	леви кавички	двойни кавички | кавички | леви кавички
”	десни кавички	апостроф | двойни кавички | десни кавички | кавички
„	долни десни кавички	двойни кавички | долни десни кавички | долни кавички | кавички
†	обелиск	кръст | обел | обелиск
‡	двоен обелиск	двоен | кръст | обел | обелиск
•	водещ символ	водещ символ | точка
…	многоточие	изпускане | многоточие | три точки
‧	точка за разделяне на срички	дефис | тире | точка | точка за разделяне на срички
‰	промил	една десета част от процента | една хилядна | промил
′	прим	прим
″	двоен прим	двоен прим | прим
‴	троен прим	прим | троен прим
‸	карета	карета
※	знак за референция	знак за референция
‼	двойна удивителна	! | !! | два удивителни знака | двоен | двоен удивителен знак | двойна | пунктуация | удивителна
‽	интеробанг	интеробанг | удивителна с въпросителна
‾	горна черта	винкулум | горна черта
⁂	три звездички	звездички | три
⁄	дробна наклонена черта	виргула | дробна наклонена черта | наклонена черта
⁉	удивителна и въпросителна	! | !? | ? | въпросителна | пунктуация | удивителен и въпросителен знак | удивителна | удивителна и въпросителна
⁻	горен минус	горен индекс | горен минус | минус
₡	Костарикански колон	
₢	крузейро	BRB | валута | крузейро
₣	френски франк	валута | франк | френски франк
₤	лира	валута | лира
₥	хилядна част	хилядна част
₦	Нигерийска найра	
₧	Испанска песета	
₨	рупия	валута | рупия
₩	вон	KPW | KRW | вон
₪	Израелски нов шекел	
₫	Виетнамски донг	
€	евро	EUR | валута | евро
₭	Лаоски кип	
₮	Монголски тугрик	
₰	немски пфениг	валута | немски пфениг | пфениг
₱	песо	песо
₲	Парагвайско гуарани	
₳	аустрал	ARA | аустрал | валута
₴	Украинска гривня	
₵	Ганайско седи	
₶	ливра от Тур	валута | ливра от Тур
₷	спесмило	валута | спесмило
₸	Казахстанско тенге	
₹	индийска рупия	валута | индийска рупия | рупия
₺	Турска лира	
₼	Азербайджански манат	
₽	рубла	валута | рубла
₾	Грузински лари	
