# CLDR symbol names for blo: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	biti	
%	ɩshɩnʊn nɩ	
+	ʊpelu	
,	ʊŋur	ʊŋur
.	ʊyiɖu	
:	ʊkʊɖʊ	ʊkʊɖʊ
;	ʊyiɖuŋur	ʊyiɖuŋur
=	ɩ lee	
?	ʊtabʊ	
¤	gɩtanɩɩ kʊyɔʊ ʊ mana ma	
×	akpalá	
÷	ʊyʊgʊ	
֏	Armenii kaɖram	
؋	Afganistan kahafganii	
৳	Baŋglaɖɛɛshɩ kataka	
฿	Taɩlanɖ kabaatɩ	
៛	Kamboɖiya kariyɛl	
‐	ʊbɔcǝra	
…	ʊsaaʊ̀	
‰	miili nɩ	
₡	Kɔsta Rikaa kakolɔn	
₦	Nanjiiriya kanɛɛra	
₪	Yishraɛl kashekɛl afɔlɩ	
₫	Fɛtnam kaɖɔŋgɩ	
₭	Lawɔs kakip	
₮	Mɔŋgolii katugiriiki	
₲	Paraguwee kaguwarani	
₴	Ikrɛɛn karifniya	
₵	Gana kasiɖi	
₸	Kasastan katɛŋgɛ	
₺	Turkii kalira	
₼	Asɛrbaɩjaŋ kamanaatɩ	
₾	Jɔrjiya kalari	
−	ʊfaaʊ	
🐿	gakɔmbɩlɩ	
👁	gɩnyine	
🕊	alikuku afɔnɔ	
