# CLDR symbol names for bn: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	এক্সক্লামেশন মার্ক	এক্সক্লামেশন | এক্সক্লামেশন পয়েন্ট | এক্সক্লামেশন মার্ক | ধরাম
#	হ্যাশ চিহ্ন	এলবি | নম্বর | পাউন্ড | হ্যাশ | হ্যাশ চিহ্ন | হ্যাশট্যাগ
$	ডলার	USD | টাকা | ডলার | পেসো
%	শতাংশ	শতা ংশ | শতা-ংশ | শতাংশ
&	অ্যাম্পারস্যান্ড	অ্যাম্পারস্যান্ড | এবং | ও
'	টাইপরাইটার এপোসট্রফি	ইনভার্টেড কমা | এপোসট্রফি | টাইপরাইটার এপোসট্রফি | সিঙ্গল ইনভার্টেড কমা
)	ক্লোস প্যারেনথিসিস	ক্লোস প্যারেনথিসিস | প্যারেন | প্যারেনথিসিস | প্যারেন্স | ব্র্যাকেট | রাউন্ড ব্র্যাকেট
*	অ্যাস্টারিস্ক	অ্যাস্টারিস্ক | ওয়াইল্ডকার্ড | স্টার
+	যোগ চিহ্ন	যোগ | যোগ চিহ্ন
,	কমা	কমা
-	হাইফেন-মাইনাস	ড্যাশ | মাইনাস | হাইফেন | হাইফেন-মাইনাস
.	ফুল স্টপ	ডট | পূর্ণ বিরাম | ফুল স্টপ
/	স্ল্যাশ	অব্লিক | ভাগিওল | সলিডাস | স্ট্রোক | স্ল্যাশ | হোয়্যাক
:	কোলোন	কোলন | কোলোন
;	সেমিকোলোন	সেমি-কোলোন | সেমিকোলোন
<	তার চেয়ে কম	খোলা ট্যাগ | ট্যাগ | তার চেয়ে কম | লেস দ্যান
=	সমান চিহ্ন	সমান | সমান চিহ্ন
>	তার চেয়ে অনেক বেশী	গ্রেটার দ্যান | ট্যাগ | তার চেয়ে অনেক বেশী | বন্ধ ট্যাগ
?	প্রশ্ন চিহ্ন	প্রশ্ন | প্রশ্ন চিহ্ন
@	অ্যাট-চিহ্ন	অ্যাট চিহ্ন | অ্যাট-চিহ্ন | অ্যাম্পারস্যাট | অ্যারোবেস | কমারশিয়াল অ্যাট | স্ট্রাডেল
[	ওপেন স্কোয়ের ব্র্যাকেট	ওপেন স্কোয়ের ব্র্যাকেট | ক্রটচেট | ব্র্যাকেট | স্কোয়ের ব্র্যাকেট
\	ব্যাকশ্ল্যাস	ব্যাকশ্ল্যাস | ব্যাকস্ল্যাশ | রিভার্স সলিডাস | হোয়্যাক
]	ক্লোস স্কোয়ের ব্যাকেট	ক্রটচেট | ক্লোস স্কোয়ের ব্যাকেট | ব্র্যাকেট | স্কোয়ের ব্র্যাকেট
^	সারকমফ্লেক্স অ্যাকসেন্ট	অ্যাকসেন্ট | ওয়েজ | কনট্রোল | ক্যারেট | পয়েন্টার | পাওয়ার | শেভরঁ | সর সাইন | সারকমফ্লেক্স | হ্যাট
_	লো লাইন	আন্ডারড্যাশ | আন্ডারলাইন | ড্যাশ | লাইন | লো ড্যাশ | লো লাইন
`	গ্রেভ অ্যাকসেন্ট	অ্যাকসেন্ট | গ্রেভ | টোন
{	ওপেন কার্লি ব্র্যাকেট	ওপেন কার্লি ব্র্যাকেট | কার্লি ব্রেস | কার্লি ব্র্যাকেট | গালউইং | ব্রেস | ব্র্যাকেট
|	উল্লম্ব লাইন	উবার | উল্লম্ব বার | উল্লম্ব লাইন | পাইক | পাইপ | বার | লাইন | শেফার স্ট্রোক | স্টিক | স্ট্রোক
}	ক্লোস কার্লি ব্যাকেট	কার্লি ব্রেস | কার্লি ব্র্যাকেট | ক্লোস কার্লি ব্যাকেট | গালউইং | ব্রেস | ব্র্যাকেট
~	টিল্ড	টিল্ড
¡	ইনভার্টেড এক্সক্লামেশন মার্ক	ইনভার্টেড | ইনভার্টেড এক্সক্লামেশন মার্ক | এক্সক্লামেশন | এক্সক্লামেশন পয়েন্ট | এক্সক্লামেশন মার্ক | ধরাম
¢	সেন্ট	সেন্ট
£	পাউন্ড	EGP | GBP | পাউন্ড | মুদ্রা
¤	অজানা মুদ্রা	
¥	ইয়েন	CNY | JPY | ইউয়ান | ইয়েন | মুদ্রা
§	বিভাগ	অনুচ্ছেদ | অংশ | বিভাগ | সিলক্রো
¨	ডায়ারিসেস	উমলাউট | টেমা | ডায়ারিসেস | ডায়েরেসিস
©	কপিরাইট	c | কপিরাইট
«	বাম উদ্ধৃতি চিহ্ন	উদ্ধৃতি চিহ্ন | কোণ ! বন্ধনী | ক্যারেট | বাম | বাম উদ্ধৃতি চিহ্ন | শেভ্রন
¬	নাকচ	না | নাকচ
®	নিবন্ধিত	r | নথিভুক্ত | নিবন্ধিত | রেজিস্টার | রেজিস্টার করা হয়েছে
°	ডিগ্রি	ঘন্টা | ডিগ্রি | প্রুফ
±	যোগ-বিয়োগ	যোগ-বিয়োগ
²	সুপারস্ক্রিপ্ট টু	দুই | বর্গাকার | সুপারস্ক্রিপ্ট | সুপারস্ক্রিপ্ট টু
³	সুপারস্ক্রিপ্ট থ্রি	ঘন | তিন | সুপারস্ক্রিপ্ট | সুপারস্ক্রিপ্ট থ্রি
´	অ্যাকিউট অ্যকসেন্ট	অ্যাকসেন্ট | অ্যাকিউট | অ্যাকিউট অ্যকসেন্ট | টোন
µ	মাইক্রো সাইন	মাইক্রো সাইন | মাপা
¶	অনুচ্ছেদ চিহ্ন	অনুচ্ছেদ | অনুচ্ছেদ চিহ্ন | এলিনিয়া | পিলক্রো | প্যারাফ
·	মধ্য বিন্দু	আন্তঃযতিচিহ্ন | বিন্দু | মধ্য | মধ্যবিন্দু
¹	সুপারস্ক্রিপ্ট ওয়ান	ওয়ান | সুপারস্ক্রিপ্ট
»	ডান উদ্ধৃতি চিহ্ন	উদ্ধৃতি চিহ্ন | কোণ ! বন্ধনী | ক্যারেট | ডান | ডান উদ্ধৃতি চিহ্ন | শেভ্রন
¿	ইনভার্টেড প্রশ্ন চিহ্ন	ইনভার্টেড | ইনভার্টেড প্রশ্ন চিহ্ন | প্রশ্ন | প্রশ্ন চিহ্ন
×	গুণচিহ্ন	গুণ | গুণ করা | গুণ চিহ্ন | গুণচিহ্ন | বার
÷	ভাগ চিহ্ন	ওবেলাস | ভাগ | ভাগ করুন | ভাগ চিহ্ন
