# CLDR symbol names for br: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	pik-estlamm	pik-estlamm
$	dollar	dollar | moneiz | peso | USD
%	dregant	dregant
'	skrab	ask | skrab
)	krommell serriñ	krommell serriñ
*	steredennig	steredennig
+	arouez mui	arouez mui
,	skej	skej
/	beskell	beskell
:	daoubik	daoubik
;	pik-skej	pik-skej
[	sonnell digeriñ	sonnell digeriñ
\	kilveskell	kilveskell
]	sonnell serriñ	sonnell serriñ
^	tired kognek	kognek | tired
`	tired bout	bout | tired
{	briataenn digeriñ	briataenn digeriñ
}	briataenn serriñ	briataenn serriñ
£	lur	EGP | GBP | lur | moneiz
¤	moneiz dianav	
¥	yen	CNY | JPY | moneiz | yen | yuan
§	rannbenn	arouez | rannbenn | rannbennad | rannskrid
¨	daouboent	daouboent
©	copyright	c | copyright
«	daouank digeriñ	daouank digeriñ
®	merk marilhet	merk marilhet | r
°	derez	derez | eur | prouenn
´	tired lemm	lemm | tired
µ	arouez mikro	arouez mikro | muzul
»	daouank serriñ	daouank serriñ
×	arouezenn liesaat	arouezenn liesaat
÷	arouezenn rannañ	arouezenn rannañ
֏	dram Armenia	
؋	afghani Afghanistan	
৳	taka Bangladesh	
฿	baht Thailand	
៛	riel Kambodja	
–	barrennig verr	barrennig verr
—	barrennig hir	barrennig hir
“	daouask digeriñ	daouask digeriñ
”	daouask serriñ	daouask serriñ
†	kleze	kleze
‡	daougleze	daougleze
…	trifik	trifik
‰	drevil	drevil
′	kent	kent
″	eil	eil
‴	trede	trede
‼	pik-estlamm doubl	! | !! | pik-estlamm | pik-estlamm doubl
⁉	pik-goulenn estlamm	! | !? | ? | estlamm | goulenn | pik-goulenn estlamm | poentadur
₡	colón Costa Rica	
₦	naira Nigeria	
₧	peseta Spagn	
₩	won	KPW | KRW | moneiz | won
₪	shekel nevez Israel	
₫	dong Viêt Nam	
€	euro	EUR | euro | moneiz
₭	kip Laos	
₮	tugrik Mongolia	
₱	peso	moneiz | peso
₲	guarani Paraguay	
₴	hryvnia Ukraina	
₵	cedi Ghana	
₸	tenge Kazakstan	
₹	roupi	India | moneiz | roupi
₺	lur Turkia	
₼	manat Azerbaidjan	
₽	roubl	moneiz | roubl
₾	lari Jorjia	
™	merk kenwerzhel marilhet	merk kenwerzhel marilhet | tm
ℹ	titouroù	i | titouroù
∇	nabla	nabla | tricʼhorn
√	gwrizienn garrez	gwrizienn garrez
∞	arouezenn anfin	arouezenn anfin
⌨	klavier	klavier | urzhiataer
⏱	kronometr	eur | eurier | kronometr
⏲	horolaj	eur | eurier | horolaj
Ⓜ	M kelcʼhiet	kelcʼh | M | M kelcʼhiet
▪	karrez bihan du	du | karrez | karrez bihan du
▫	karrez bihan gwenn	gwenn | karrez | karrez bihan gwenn
▶	bouton lenn	bouton | lenn
◊	romb	diamant | romb
○	kelcʼh goullo	kelcʼh | kelcʼh goullo
●	kelcʼh leun	kelcʼh | kelcʼh leun
◯	kelcʼh ledan goullo	kelcʼh | kelcʼh ledan goullo
◻	karrez etre gwenn	gwenn | karrez | karrez etre gwenn
◼	karrez etre du	etre | karrez | karrez etre du
☀	heol	heol | skin
☁	koumoulenn	amzer | koumoulenn
☂	disglavier	disglavier | glav
☃	boulom ercʼh gant ercʼh	boulom | boulom ercʼh gant ercʼh | ercʼh
☄	kometenn	egor | kometenn
☎	pellgomzer	pellgomz | pellgomzer
☑	log asket	✓ | ask | log asket
☘	melchon	iwerzhonat | melchon | plant
☢	skinoberiek	arouez | skinoberiek
☣	riskl bevoniel	arouez | riskl | riskl bevoniel
☦	kroaz ortodoks	kristen | kroaz ortodoks | relijion
☪	steredenn ha kreskenn	islam | muzulman | relijion | steredenn ha kreskenn
☮	arouez ar peocʼh	arouez ar peocʼh | peocʼh
☯	yin yang	relijion | tao | yang | yin
