# CLDR symbol names for bs: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	uzvičnik	uskličnik | usklik | uzvičnik | uzvik
#	znak ljestve	broj | hashtag | heš | hešteg | ljestve | taraba | znak ljestve
$	dolar	dolar | novac | pezo | USD
%	procenat	posto | postotak | procenat
&	znak &	ampersand | et | i | znak &
'	vertikalni apostrof	apostrof | jednostruki navod | navod | vertikalni apostrof
)	zatvorena zagrada	desna zagrada | obla zagrada | zagrada | zatvorena zagrada
*	zvjezdica	asterisk | zvjezdica
+	plus	dodaj | plus
,	zarez	zarez
-	crtica minus	crta | crtica | minus
.	tačka	tačka | tačka na kraju rečenice
/	kosa crta	kosa crta | kosa linija | potez
:	dvotačka	dvotačka
;	tačka zarez	tačka zarez
<	manje od	manje od | oznaka | početna oznaka
=	jednako	iznosi | je jednako | jednako | jest jednako
>	veće od	oznaka | veće od | završna oznaka
?	upitnik	pitanje | upitnik
@	ludo a	ludo a | manki
[	otvorena uglasta zagrada	lijeva uglasta zagrada | otvorena uglasta zagrada | uglasta zagrada | zagrada
\	obrnuta kosa crta	obrnuta kosa crta | obrnuta kosa linija
]	zatvorena uglasta zagrada	desna uglasta zagrada | uglasta zagrada | zagrada | zatvorena uglasta zagrada
^	dugosilazni naglasak	cirkumfleks | dugosilazni | naglasak
_	donja crta	crta | donja crta | linija
`	kratkouzlazni naglasak	kratkouzlazni | naglasak | ton
{	otvorena vitičasta zagrada	otvorena vitičasta zagrada | vitičasta zagrada | zagrada
|	vertikalna linija	cijev | crta | linija | traka | vertikalna crta | vertikalna linija
}	zatvorena vitičasta zagrada	vitičasta zagrada | zagrada | zatvorena vitičasta zagrada
~	tilda	tilda
¡	obrnuti uzvičnik	obrnuti | uskličnik | usklik | uzvičnik | uzvik
¢	cent	cent
£	funta	EGP | funta | GBP | valuta
¤	Nepoznata valuta	
¥	jen	CNY | jen | JPY | juan | valuta
§	odlomak	dio | odlomak | paragraf
¨	dijareza	dijareza | trema | umlaut
©	autorsko pravo	autorska prava | autorsko pravo | c
«	lijevi uglasti navodnik	karet | lijevi uglasti navodnik | lijevo | navod | ševron | ugao | zagrade
¬	negacija	ne | negacija
®	registriran	r | registracija | registriran
°	stepen	jačine | sati | stepen
±	plus-minus	plus-minus
²	dva eksponentno	dva | dva eksponentno | eksponent | na kvadrat
³	tri eksponentno	eksponent | kubni | tri | tri eksponentno
´	dugouzlazni naglasak	dugouzlazni | naglasak | ton
µ	znak za mikro	mjera | znak za mikro
¶	oznaka za paragraf	odlomak | oznaka za paragraf | paragraf | pasus | stavak
·	srednja tačka	interpunkt | sredina | srednja tačka | tačka
¹	jedan eksponentno	eksponent | jedan | jedan eksponentno
»	desni uglasti navodnik	desni uglasti navodnik | desno | karet | navod | ševron | ugao | zagrade
¿	obrnuti upitnik	obrnuti | pitanje | upitnik
×	znak za množenje	množenje | pomnožiti | puta | znak za množenje
÷	znak za dijeljenje	dijeljenje | obelus | podijeliti | znak za dijeljenje
֏	Armenski dram	
؋	Afganistanski afgan	
،	arapski zarez	arapski | zarez
؛	arapska tačka zarez	arapska tačka zarez | arapski | tačka zarez
؟	arapski upitnik	arapski | pitanje | upitnik
৳	Bangladeška taka	
฿	Tajlandski baht	
៛	Kambodžanski rijel	
‐	povlaka	crtica | povlaka
–	crtica	crtica | povlaka
—	crta	crta | povlaka
―	horizontalna crta	crta | crtica | horizontalna crta | linija
‘	lijevi apostrof	apostrof | jednostruki navodnici | lijevi apostrof | navod | navodnici | zaobljeni navodnici
’	desni apostrof	apostrof | desni apostrof | jednostruki navodnici | navod | navodnici | zaobljeni navodnici
‚	donji desni apostrof	apostrof | donji desni apostrof | donji navod | navod
“	lijevi navodnik	dvostruki navod | lijevi navodnik | navod | navodnik | zaobljeni navodnik
”	desni navodnik	desni navodnik | dvostruki navod | navod | navodnik | zaobljeni navodnik
„	donji desni navodnik	dojni navodnik | donji desni navodnik | dvostruki navod | navod | navodnik | zaobljeni navodnik
†	znak za bodež	obelisk | znak za bodež
‡	dvostruki znak za bodež	bodež | dvostruki | dvostruki znak za bodež | obelisk
•	znak za isticanje	tačka | znak za isticanje
…	elipsa	elipsa | izostavljanje | tačke | tri tačke
‧	tačka za rastavljanje	crta | crtica | tačka | tačka za rastavljanje
‰	promil	potisućak | promil
