# CLDR symbol names for ca: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	signe d’exclamació	bang | exclamació | signe d’exclamació
#	coixinet	coixinet | lliura | número | quadradet | xifra
$	dòlar	diners | dòlar | peso | USD
%	tant per cent	percentatge | tant per cent
&	et	et | i | i comercial
'	apòstrof tipogràfic	apòstrof | apòstrof tipogràfic | cometa | cometa simple
)	parèntesi de tancament	parèntesi | parèntesi de tancament
*	asterisc	asterisc | comodí | estrella
+	signe més	més | signe més | suma
,	coma	coma
-	guionet de menys	guionet | guionet de menys | menys
.	punt	punt | punt final
/	barra inclinada	barra inclinada | barra obliqua | contrabarra
:	dos punts	dos punts
;	punt i coma	coma | punt | punt i coma
<	menor que	etiqueta | inferior a | menor que | més petit que | obertura
=	igual	equival a | igual
>	major que	etiqueta | major que | més gran que | superior a | tancament
?	signe d’interrogació	interrogació | interrogant | pregunta | signe d’interrogació
@	arrova	a cuada | a encerclada | arrova | ensaïmada | rova
[	claudàtor d’obertura	claudàtor | claudàtor d’obertura | claudàtor esquerre
\	barra inversa	barra inversa | barra obliqua inversa
]	claudàtor de tancament	claudàtor | claudàtor de tancament | claudàtor dret
^	accent circumflex	accent | angle | barret | circumflex | control | punter
_	ratlla baixa	caràcter de subratllat | guió | línia | ratlla | ratlla baixa
`	accent greu	accent | greu | to
{	clau d’obertura	clau | clau d’obertura | clau esquerra | parèntesi
|	barra vertical	barra vertical | línia vertical | pleca
}	clau de tancament	clau | clau de tancament | clau dreta | parèntesi
~	titlla	titlla
¡	signe d’exclamació d’obertura	bang | exclamació | invertit | obertura | signe d’exclamació | signe d’exclamació d’obertura
¢	centau	centau
£	lliura	divisa | EGP | esterlina | GBP | lliura | moneda
¤	moneda desconeguda	
¥	ien	CNY | ien | iuan | JPY | moneda
§	secció	paràgraf | part | secció
¨	dièresi	dièresi
©	drets d’autor	copyright | drets d’autor
«	cometa llatina esquerra	angle | cometa | cometa llatina esquerra | esquerra | galó | parèntesi | signe d’inserció
¬	negació	negació | no
®	marca registrada	marca | registrada
°	grau	grau | hora | prova
±	signe de més o menys	signe de més o menys
²	superíndex dos	al quadrat | dos | superíndex
³	superíndex tres	al cub | superíndex | tres
´	accent agut	accent | agut | to
µ	signe de micró	mesura | signe de micró
¶	marca de paràgraf	antígraf | calderó | marca de paràgraf | paràgraf | peu de mosca
·	punt volat	meitat | punt | punt alçat | punt volat
¹	superíndex u	superíndex | u
»	cometa llatina dreta	angle | cometa | cometa llatina dreta | dreta | galó | parèntesi | signe d’inserció
¿	signe d’interrogació d’obertura	obertura | pregunta | signe d’interrogació | signe d’interrogació d’obertura
×	signe de multiplicació	multiplicació | multiplicador | multiplicar | signe de multiplicació
÷	signe de divisió	dividir | divisió | divisor | signe de divisió
֏	dram	
؋	afgani afganès	
،	coma àrab	àrab | coma
