# CLDR symbol names for ceb: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
¤	Wala Nailhi nga Kwarta	
֏	Armenian Dram	
؋	Afghan Afghani	
৳	Bangladeshi Taka	
฿	Thai Baht	
៛	Cambodian Riel	
₡	Costa Rican Colon	
₦	Nigerian Naira	
₪	Israeli New Shekel	
₫	Vietnamese Dong	
₭	Laotian Kip	
₮	Mongolian Tugrik	
₲	Paraguayan Guarani	
₴	Ukrainian Hryvnia	
₵	Ghanaian Cedi	
₸	Kazakhstani Tenge	
₺	Turkish Lira	
₼	Azerbaijani Manat	
₾	Georgian Lari	
