# CLDR symbol names for chr: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	exclamation mark	bang | exclamation | exclamation mark | exclamation point
#	hash sign	hash | hash sign | hashtag | lb | number | pound
$	ᎤᏃᏍᏓ	USD | ᎠᏕᎳ | ᎤᏃᏍᏓ | ᏍᏆᏂ ᎠᏕᎳ
%	ᎢᎦᎢ ᎤᏃᏍᏗ	ᎢᎦᎢ ᎤᏃᏍᏗ | ᎢᎦᏛᎢ | ᎢᏯᏓᏅᏖᏗ ᎢᎦᎢ
&	ampersand	ampersand | and | et
'	typewriter apostrophe	apostrophe | quote | single quote | typewriter apostrophe
)	close parenthesis	bracket | close parenthesis | paren | parens | parenthesis | round bracket
*	asterisk	asterisk | star | wildcard
+	ᎦᏟᏐᏗᏱ ᎪᏪᎸ	ᎦᏟᏐᏗ | ᎦᏟᏐᏗᏱ | ᎦᏟᏐᏗᏱ ᎪᏪᎸ
,	comma	comma
-	ᏍᏆᎳ ᎠᏍᏓᏅᏅ-ᎪᏣᎴᏍᏗᏱ	ᎪᏣᎴᏍᏗᏱ | ᏍᏆᎳ ᎠᏍᏓᏅᏅ | ᏍᏆᎳ ᎠᏍᏓᏅᏅ-ᎪᏣᎴᏍᏗᏱ | ᏍᏆᎳ ᎠᏍᏓᏅᏅᎢ
.	period	dot | full stop | period
/	slash	oblique | slash | solidus | stroke | virgule | whack
:	colon	colon
;	semicolon	semi-colon | semicolon
<	ᏩᎦᏲᏢ	ᎠᏍᏚᎢᏓ ᎪᏪᎸ | ᎪᏪᎸ | ᏩᎦᏲᏢ
=	ᎢᏧᎳᎭ	ᎢᏗᎦᎢ | ᎢᏧᎳᎭ
>	ᏭᏔᏅ	ᎠᏍᏚᎲᎦ ᎪᏪᎸ | ᎪᏪᎸ | ᏭᏔᏅ
?	ᎠᏛᏛᎲᏍᎩ ᎪᏪᎸ	ᎠᏛᏛᎲᏍᎩ | ᎠᏛᏛᎲᏍᎩ ᎪᏪᎸ
@	at-sign	ampersat | arobase | arroba | at mark | at sign | at-sign | commercial at | strudel
[	open square bracket	bracket | crotchet | open square bracket | square bracket
\	backslash	backslash | reverse solidus | whack
]	close square bracket	bracket | close square bracket | crotchet | square bracket
^	circumflex accent	accent | caret | chevron | circumflex | control | hat | pointer | power | wedge | xor sign
_	ᎡᎳᏗ ᎠᏍᏓᏅᏅᎢ	ᎠᏍᏓᏅᏅᎢ | ᎡᎳᏗ ᎠᏍᏓᏅᏅᎢ | ᎡᎳᏗ ᏍᏆᎳ ᎠᏍᏓᏅᏅ | ᏍᏆᎳ ᎠᏍᏓᏅᏅ
`	grave accent	accent | grave | tone
{	open curly bracket	brace | bracket | curly brace | curly bracket | gullwing | open curly bracket
|	ᎨᏛᎢ	ᎠᏍᏓᏅᏅᎢ | ᎦᏅᏃᏩ | ᎨᏛᎢ | ᎬᏍᏓ
}	close curly bracket	brace | bracket | close curly bracket | curly brace | curly bracket | gullwing
~	ᎠᏕᏲᎲᎢ ᎠᏍᏓᏅᏅᎢ	ᎠᏕᏲᎲᎢ ᎠᏍᏓᏅᏅᎢ
¡	inverted exclamation mark	bang | exclamation | exclamation mark | exclamation point | inverted | inverted exclamation mark
¢	ᎠᏕᎳ ᎢᏯᏓᏅᏖᏗ	ᎠᏕᎳ ᎢᏯᏓᏅᏖᏗ | ᎢᏯᏓᏅᏖᏗ
£	ᎩᎵᏏᏲ ᎠᏕᎳ	EGP | GBP | ᎠᏕᎳ | ᎩᎵᏏᏲ ᎠᏕᎳ
¤	ᏄᏬᎵᏍᏛᎾ ᎠᏕᎳ	
¥	ᏣᏩᏂᏏ ᎠᏕᎳ	CNY | JPY | ᎠᏕᎳ | ᏓᎶᏂᎨᏍᏛ ᎠᏕᎳ | ᏣᏩᏂᏏ ᎠᏕᎳ
§	ᎾᎿ ᎨᏒ	ᎢᎦᏓ | ᎾᎿ ᎨᏒ | ᎾᎿ ᎨᏒ ᎪᏪᎶᏗ | ᏗᎧᏁᏍᏗ
¨	diaeresis	diaeresis | tréma | umlaut
©	ᎤᏤᎵᎢ ᎤᎯᏴᎢ	c | ᎤᏤᎵᎢ ᎤᎯᏴᎢ
«	ᎠᎦᏍᎦᏂ ᎩᎺ	ᎠᎦᏍᎦᏂ | ᎠᎦᏍᎦᏂ ᎩᎺ | ᎧᏁᎢᏍᏙᏗ | ᏓᏍᏓᏅᏅ ᏚᎷᏨ | ᏔᎵ ᏗᎭᏰᎳᏍᏗ | ᏕᎦᏂᏴᏛ | ᏤᏫᎳᏂ
¬	ᎤᏴᏟ	ᎤᏴᏟ | ᎥᏝ
®	ᎠᎪᏪᎳᏅᎢ	r | ᎠᎪᏪᎳᏅᎢ
°	ᎢᎦᎢ ᎢᎦᏘ	ᎢᎦᎢ ᎢᎦᏘ | ᎢᏳᏟᎶᏓ | ᎪᎯᏳᏙᏗ
±	ᎦᏟᏐᏗᏱ-ᎠᏣᎴᏍᏗᏱ	ᎦᏟᏐᏗᏱ-ᎠᏣᎴᏍᏗᏱ
²	ᎤᏍᏗ ᎦᎸᎳᏗ ᏔᎵ	ᎤᏍᏗ ᎦᎸᎳᏗ | ᎤᏍᏗ ᎦᎸᎳᏗ ᏔᎵ | ᏔᎵ
³	ᎤᏍᏗ ᎦᎸᎳᏗ ᏦᎢ	ᎤᏍᏗ ᎦᎸᎳᏗ | ᎤᏍᏗ ᎦᎸᎳᏗ ᏦᎢ | ᏦᎢ
´	acute accent	accent | acute | tone
µ	ᎤᏍᏗ ᎪᏪᎶᏗ	ᎢᏳᏟᎶᏓ | ᎤᏍᏗ ᎪᏪᎶᏗ
¶	ᎤᏓᏡᎬ ᎪᏪᎸ	ᎤᏓᏡᎬ | ᎤᏓᏡᎬ ᎪᏪᎸ | ᎤᏓᏥᏍᎬ | ᎤᏓᏥᏍᎬ ᎪᏪᎸ
·	ᎤᏓᏓᎸ ᎠᏰᏟ	ᎠᏰᏟ | ᎤᏓᏓᎸ | ᎭᏫᏂ ᏗᏜ ᎤᏓᏓᎸ
¹	ᎤᏍᏗ ᎦᎸᎳᏗ ᏌᏊ	ᎤᏍᏗ ᎦᎸᎳᏗ | ᎤᏍᏗ ᎦᎸᎳᏗ ᏌᏊ | ᏌᏊ
»	ᎠᎦᏘᏏ ᎩᎺ	ᎠᎦᏘᏏ | ᎠᎦᏘᏏ ᎩᎺ | ᎧᏁᎢᏍᏙᏗ | ᏓᏍᏓᏅᏅ ᏚᎷᏨ | ᏔᎵ ᏗᎭᏰᎳᏍᏗ | ᏕᎦᏂᏴᏛ | ᏤᏫᎳᏂ
¿	ᏗᎧᎷᏆᏗᏅᏗ ᎠᏛᏛᎲᏍᎩ ᎪᏪᎸ	ᎠᏛᏛᎲᏍᎩ | ᎠᏛᏛᎲᏍᎩ ᎪᏪᎸ | ᏗᎧᎷᏆᏗᏅᏗ | ᏗᎧᎷᏆᏗᏅᏗ ᎠᏛᏛᎲᏍᎩ ᎪᏪᎸ
×	ᎢᏳᏩᎪᏗ ᎪᏪᎶᏗ	ᎠᏴᎦᎴᏫᏒᎯ | ᎢᏳᏩᎦᏗ | ᎢᏳᏩᎪᏗ | ᎢᏳᏩᎬᏗ | ᎪᏪᎶᏗ
÷	ᎢᎦᏛ ᎪᏪᎶᏗ	ᎢᎦᏓ | ᎢᎦᏛ ᎪᏪᎶᏗ | ᎢᏓᏛ | ᎣᏇᎷᏏ
֏	ᎠᎵᎻᏂᎠ ᎠᏕᎳ	
؋	ᎠᏫᎨᏂᏍᏖᏂ ᎠᏕᎳ	
،	arabic comma	arabic | comma
؛	arabic semicolon	arabic | arabic semicolon | semi-colon
؟	ᎡᎳᏈ ᎠᏛᏛᎲᏍᎩ ᎪᏪᎸ	ᎠᏛᏛᎲᏍᎩ | ᎠᏛᏛᎲᏍᎩ ᎪᏪᎸ | ᎡᎳᏈ | ᎡᎳᏈ ᎠᏛᏛᎲᏍᎩ ᎪᏪᎸ
৳	ᏆᏂᎦᎵᏕᏍ ᎠᏕᎳ	
฿	ᏔᏯᎴᏂ ᎠᏕᎳ	
៛	ᎧᎹᏉᏗᎠᏂ ᎠᏕᎳ	
‐	ᏍᏆᎳ ᎠᏍᏓᏅᏅ	ᏍᏆᎳ ᎠᏍᏓᏅᏅ | ᏍᏆᎳ ᎠᏍᏓᏅᏅᎢ
–	ᎡᏂ ᏍᏆᎳ ᎠᏍᏓᏅᏅ	ᎡᏂ | ᎡᏂ ᏍᏆᎳ ᎠᏍᏓᏅᏅ | ᏍᏆᎳ ᎠᏍᏓᏅᏅ
—	ᎡᎻ ᏍᏆᎳ ᎠᏍᏓᏅᏅ	ᎡᎻ | ᎡᎻ ᏍᏆᎳ ᎠᏍᏓᏅᏅ | ᏍᏆᎳ ᎠᏍᏓᏅᏅ
―	ᎠᏍᏓᏅᏅᎢ ᎢᏳᏍᏗ	ᎠᏍᏓᏅᏅᎢ | ᎠᏍᏓᏅᏅᎢ ᎢᏳᏍᏗ | ᎨᏛᎢ | ᏍᏆᎳ ᎠᏍᏓᏅᏅ
‘	left apostrophe	apostrophe | left apostrophe | quote | single quote | smart quote
’	right apostrophe	apostrophe | quote | right apostrophe | single quote | smart quote
‚	low right apostrophe	apostrophe | low quote | low right apostrophe | quote
“	left quotation mark	double quote | left quotation mark | quotation | quote | smart quotation
”	right quotation mark	double quote | quotation | quote | right quotation mark | smart quotation
„	low right quotation mark	double quote | low quotation | low right quotation mark | quotation | quote | smart quotation
†	ᎭᏰᎳᏍᏗ ᎪᏪᎶᏗ	ᎣᏇᎵᏍᎩ | ᎣᏇᎷᏏ | ᎭᏰᎳᏍᏗ | ᎭᏰᎳᏍᏗ ᎪᏪᎶᏗ
‡	ᏔᎵ ᏗᎭᏰᎳᏍᏗ ᎪᏪᎶᏗ	ᎣᏇᎵᏍᎩ | ᎣᏇᎷᏏ | ᎭᏰᎳᏍᏗ | ᏔᎵ | ᏔᎵ ᏗᎭᏰᎳᏍᏗ ᎪᏪᎶᏗ
•	ᎦᏂ	ᎤᏓᏓᎸ | ᎦᏂ
…	ellipsis	dots | ellipsis | omission
‧	hyphenation point	dash | hyphen | hyphenation point | point
‰	per mille	per mil | per mille | permil | permille
′	prime	prime
″	double prime	double prime | prime
‴	triple prime	prime | triple prime
‸	caret	caret
