# CLDR symbol names for cv: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	кăшкăру палли	кăшкăру палли
#	решетке палли	номер | решетке | решетке палли | фунт | хеш | хэш
$	доллар	АПШ | валюта | доллар | укҫа
%	процент	процент | ҫӗрмӗш пай
&	амперсанд палли	амперсанд | тата
'	машина апостроф	апостол | кавычка | машина апостроф | пĕр хутлă чĕрнешке
)	хупӑ çаврака хăлăпка	ҫаврака | хăлăпка | хупӑ
*	ҫӑлтӑр палли (астерикс)	астерикс | ҫӑлтӑр
+	плюс палли	плюс | плюс палли | ӳстерни | хушасси
,	хÿреллĕ пăнчă	хÿреллĕ пăнчă
-	дефис-минус	дефис | дефис-минус | минус | тире
.	пӑнчӑ	вӗҫӗ | пӑнчӑ
/	чалӑш йӗр	слэш | чалӑш йӗр
:	икĕ пăнчă	икĕ пăнчă
;	пăнчăпа хӳреллĕ пăнчă	пăнчăпа хӳреллĕ пăнчă
<	пĕчĕреххине	кĕтесле хăлăпкасем | кĕтесле хăлăпкасем уҫни | пĕчĕреххине | тег | тег уҫни
=	танлăх	танлăх | танлăх палли
>	пысăкраххине	кĕтесле хăлăпкасем | кĕтесле хăлăпкасем хупӑнни | пысăкраххине | тег | тег хупӑнни
?	ыйту палли	ыйту палли
@	йытă палли	йытă палли | коммерци аt | коммерци ку
[	уҫакан тӑваткал хăлăпка	тӑваткал | уҫакан | хăлăпка
\	каялла чалӑш йӗр	бэкслэш | каялла чалӑш йӗр
]	хупӑ тӑваткал хăлăпка	тӑваткал | хăлăпка | хупӑ
^	циркумфлекс	домик | исключающее или | карет | крышечка | оператор | циркумфлекс
_	аялтан туртни палли	аялтан туртни палли
`	кутăн пусăм палли (гравис)	гравис | кутăн пусăм палли
{	уҫакан фигурăлла хăлăпка	уҫакан | фигурӑллӑ | хăлăпка
|	вертикаллӗ лини	вертикаллӗ йĕр | вертикаллӗ лини
}	хупӑ фигурăлла хăлăпка	фигурӑллӑ | хăлăпка | хупӑ
~	тильда	тильда | эквивалентлӑх ҫыхӑнӑвӗ
¡	ӳпӗнтернӗ кӑшкӑру палли	ӳпӗнтернӗ кӑшкӑру палли
¢	цент	цент | центсем
£	фунт	валюта | стерлинги | фунт | фунт стерлингов
¤	паллӑ мар валюта	
¥	иена	валюта | иена | китай юань | юань | япони иени
§	параграф	пайлану | параграф | пункт
¨	диерезис	диерезис | трема | умлаут | умляут
©	автор правине хӳтӗлемелли значок	автор правине хӳтӗлемелли значок | автор правине хӳтӗлемелли Значок | автор правине хӳтӗлемелли Паллӑ | автор правине хӳтӗлени | автор прависем | автор прависене | автор прависене хӳтӗлени | копирайт
«	уҫакан француз чĕрнешке	сулахаялла | уҫакан француз чĕрнешке | чӑрӑш | шеврон
¬	тунни	çуклатни | мар | пăрахăçлани | тунни
®	регистрациленӗ тавар палли	регистрациленӗ | регистрациленӗ тавар паллине | тавар палли
°	градус	çирӗплетсе пани | градус | сехет
±	плюс-минус	плюс-минус
²	строка тĕлĕнче цифри "иккӗ"	иккӗ | икке хăпарт | строка тĕлĕнче цифри
³	строка тĕлĕнче цифри "виҫҫӗ"	виҫҫӗ | виҫҫе хăпарт | строка тĕлĕнче цифри
´	пусăм палли (акут)	акут | пусăм палли
µ	палли "микро"	палли "микро"
¶	абзац палли	абзац | палли | пилкроу палли
·	интерпункт	вӑтам | интерпункт | пӑнчӑ
¹	строка тĕлĕнче цифри "пӗрре"	пӗрре | строка тĕлĕнче цифри
»	хупӑ француз чĕрнешке	сылтӑмалла | хупӑ француз чĕрнешке | чӑрӑш | шеврон
¿	ӳпӗнтернӗ ыйту палли	ӳпӗнтернӗ | ӳпӗнтернӗ ыйту палли | ыйту | ыйту палли
×	хутлас паллӑ	нумайлатни | хутлани | хутлас паллӑ | хутласси
÷	пайлану палли	обелюс | пайла | пайлану | пайлану палли
֏	Армени драмӗ	
؋	Афганистан афганийӗ	
،	араб хÿреллĕ пăнчă	араб хÿреллĕ пăнчă
؛	араб пăнчăпа хӳреллĕ пăнчă	араб пăнчăпа хӳреллĕ пăнчă
؟	араб ыйту палли	араб | ыйту | ыйту палли
৳	Бангладеш таки	
฿	Таиланд бачӗ	
