# CLDR symbol names for cy: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	rhyfeddnod	bang | ebychnod | pwynt ebychnod | rhyfeddnod
#	arwydd hash	arwydd hash | hash | hashnod | lb | punt | rhif
$	doler	arian | doler | peso | USD
%	y cant	y cant
&	ampersand	a | ampersand | et
'	collnod teipiadur	collnod | collnod teipiadur | dyfynnod | dyfynnod sengl
)	cromfach cau	braced | braced crwn | cromfach | cromfach cau
*	seren	cerdyn gwyllt | seren
+	arwydd plws	arwydd plws | plws | ychwanegu
,	coma	coma
-	cysylltnod-minws	cysylltnod | cysylltnod-minws | llinell | minws
.	atalnod llawn	atalnod llawn | dot
/	slaes	dewisnod | lletraws | slaes | solidws | strôc | whack
:	colon	colon
;	hanner colon	gwahannod | hanner colon
<	llai na	llai na | tag | tag agor
=	cyfartal	cyfartal | cyfartal i | cyfatral
>	mwy na	mwy na | tag | tag cau
?	gofynnod	cwestiwn | gofynnod
@	arwydd at	ampersat | arobase | arroba | arwydd at | at masnachol | marc at | strudel
[	braced sgwâr agor	braced | braced sgwâr | braced sgwâr agor | crosiet
\	slaes ôl	slaes ôl | solidws gwrthdro | whack
]	braced sgwâr cau	braced | braced sgwâr | braced sgwâr cau | crosiet
^	acen grom	acen | acen grom | arwydd xor | caret | chevron | het | lletem | pŵer | pwyntydd | rheolaeth
_	llinell isel	llinell | llinell isel | tanlinellu | underdash
`	acen bedd	acen | bedd | tôn
{	braced agor cyrliog	braced | braced agor cyrliog | braced cyrliog | cwplws | cyplysnod | cyplysnod cyrliog
|	llinell fertigol	bar | bar fertigol | ffon | llinell | llinell fertigol | penhwyaid | pibell | strôc | strôc sheffer | vbar
}	braced cau cyrliog	braced | braced cau cyrliog | braced cyrliog | cwplws | cyplysnod | cyplysnod cyrliog
~	tild	tild
¡	pwynt ebychnod gwrthdro	bang | ebychnod | gwrthdro | pwynt ebychnod | pwynt ebychnod gwrthdro
¢	sent	sent
£	punt	arian cyfred | EGP | GBP | punt
¤	Arian Cyfred Anhysbys	
¥	ien	arian cyfred | CNY | ien | iwan | JPY
§	adran	adran | arwydd adran | paragraff | rhan
¨	didolnod	didolnod | tréma | umlaut
©	hawlfraint	c | hawlfraint
«	dyfynodau saethau dwbl i’r chwith	bracedi | caretau | chevron | dyfyniad | dyfynodau saethau dwbl i’r chwith | dyfynodau saethau i’r chwith | i’r chwith | ongl
¬	negyddu	ddim | negyddu
®	cofrestredig	cofrestredig | r
°	gradd	awr | gradd | prawf
±	plws-minws	plws-minws
²	uwchysgrifen dau	dau | sgwâr | uwchysgrifen
³	uwchysgrifen tri	ciwbiedig | tri | uwchysgrifen
´	acen acíwt	acen | acíwt | tôn
µ	arwydd micro	arwydd micro | mesur
¶	marc paragraff	alinea | marc paragraff | paraff | paragraff | pilcrow
·	dot canol	canol | dot
¹	uwchysgrifen un	un | uwchysgrifen
»	dyfynodau saethau dwbl i’r dde	bracedi | caretau | chevron | dyfyniad | dyfynodau saethau dwbl i’r dde | dyfynodau saethau i’r dde | i’r dde | ongl
¿	gofynnod gwrthdro	cwestiwn | gofynnod | gwrthdro
×	arwydd lluosi	arwydd lluosi | lluosi | lluosiad
÷	arwydd rhannu	arwydd rhannu | obelws | rhaniad | rhannu
֏	Dram Armenia	
؋	Afghani Afghanistan	
،	coma Arabeg	Arabeg | coma
؛	hanner colon Arabeg	Arabeg | hanner colon | hanner colon Arabeg
؟	gofynnod Arabeg	Arabeg | cwestiwn | gofynnod
৳	Taka Bangladesh	
฿	Baht Gwlad Thai	
៛	Riel Cambodia	
‐	cysylltnod	cysylltnod | llinell
–	llinell doriad en	en | llinell doriad | llinell doriad en
—	llinell doriad em	em | llinell doriad | llinell doriad em
―	bar llorweddol	bar | bar llorweddol | llinell
‘	collnod chwith	collnod | collnod chwith | dyfynnod | dyfynnod craff | dyfynnod sengl
’	collnod de	collnod | collnod de | dyfynnod | dyfynnod craff | dyfynnod sengl
‚	collnod de isel	collnod | collnod de isel | dyfynnod | dyfynnod isel
“	dyfynnod chwith	dyfynnod | dyfynnod chwith | dyfynnod craff | dyfynnod dwbl
”	dyfynnod dde	dyfynnod | dyfynnod craff | dyfynnod dde | dyfynnod dwbl
„	dyfynnod dde isel	dyfynnod | dyfynnod craff | dyfynnod dde isel | dyfynnod dwbl | dyfynnod isel
†	arwydd dager	arwydd dager | dager | obelisg | obelws
