# CLDR symbol names for da: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	udråbstegn	bang | idé | tegn | tegnsætning | udråb | udråbstegn
#	hashtag	antal | hash | hashtag | nummer
$	dollar	AUD | CAD | dollar | HKD | NZD | penge | USD
%	procent	procent | procenttegn
&	og-tegn	og | og-tegn
'	apostrof	anførselstegn | apostrof | citat | citationstegn | enkelt anførselstegn | enkelt citationstegn
)	slutparentes	parentes | rund parentes | slutparentes
*	asterisk	asterisk | jokertegn | stjerne
+	plustegn	addere | lægge til | plus | plustegn
,	komma	grammatik | komma | pause | sætningsopdeling
-	tankestreg-minus	minus | streg | tankestreg | tankestreg-minus
.	punktum	prik | punktum
/	skråstreg	skrå | skråstreg | soliduslinje
:	kolon	definition | kolon | tegn | tegnsætning
;	semikolon	grammatik | kolon | semi | semikolon | tegn | tegnsætning
<	mindre end	mindre end | start-tag | tag
=	lig med	er lig med | lig med | lighed
>	større end	afsluttende tag | slut-tag | større end | tag
?	spørgsmålstegn	spørgsmål | spørgsmålstegn
@	snabel-a	ampersat | at-tegn | commercial a | snabel-a
[	venstre firkantet parentes	firkantet parentes | kantet parentes | parentes | venstre firkantet parentes
\	omvendt skråstreg	backslash | omvendt skråstreg | omvendt solidustegn
]	højre firkantet parentes	firkantet parentes | højre firkantet parentes | kantet parentes | parentes
^	accent circumfleks	accent | caret | chevron | circumfleks | eksklusiv eller | hat | kile | kontrol | pointer | potens | xeller | xor
_	lav streg	lav streg | lav tankestreg | streg | tankestreg | understregning | understregningstegn
`	accent grave	accent | grave | tone
{	venstre akkolade	akkolade | klammeparentes | krøllet parentes | tuborgparentes | venstre akkolade
|	lodret streg	ikke og | lodret søjle | lodret streg | pipe | sheffers streg | streg | uforenelig med
}	højre akkolade	akkolade | højre akkolade | klammeparentes | krøllet parentes | tuborgparentes
~	tilde	tilde
¡	omvendt udråbstegn	omvendt udråbstegn | på hovedet | udråbstegn
¢	cent	cent
£	pund	EGP | GBP | pund | sterling | valuta
¤	ukendt valuta	
¥	yen	CNY | JPY | valuta | yen | yuan
§	paragraf	jura | lov | paragraf | paragraftegn | punkt
¨	tréma	diaeresis | tréma | umlaut
©	copyright	copyright | copyright-tegn | ophavsret
«	venstre fransk anførselstegn	anførselstegn | citattegn | indskudstegn | parentes | venstre | venstre fransk anførselstegn | vinkel
¬	negation	ikke | negation | negere
®	registreret varemærke	registreret | registreret varemærke
°	grader	grader | gradtegn | time
±	plus/minus	minus | plus | plus/minus
²	hævet total	anden potens | hævet | kvadrat | to | total
³	hævet tretal	hævet | kubik | tre | tredje potens | tretal
´	accent aigu	accent | accenttegn | aigu | tone
µ	mikrotegn	mål | mikrosymbol | mikrotegn | my | my-symbol
¶	afsnitstegn	a linea | afsnit | afsnitstegn | alinea | pilcrow
·	underordnet punkttegn	mellem | prik | punkttegn | underordnet
¹	hævet ettal	en | et | ettal | hævet
»	højre fransk anførselstegn	anførselstegn | citattegn | højre | højre fransk anførselstegn | indskudstegn | parentes | vinkel
¿	omvendt spørgsmålstegn	omvendt | spørgsmål | spørgsmålstegn
×	gangetegn	gange | gangetegn | multiplicere | multiplikation | multiplikationstegn
÷	divisionstegn	dele | dividere | division | divisionstegn
֏	armensk dram	
؋	afghansk afghani	
،	arabisk komma	arabisk komma | grammatik | tegnsætning
؛	arabisk semikolon	arabisk | semikolon
؟	arabisk spørgsmålstegn	arabisk | spejlvendt | spørgsmål | spørgsmålstegn
