# CLDR symbol names for de: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	Ausrufezeichen	Ausrufezeichen | Ausrufungszeichen
#	Doppelkreuz	Doppelkreuz | Hash | Nummernzeichen | Raute
$	Dollar	Dollar | Geld | Peso | USD
%	Prozent	Hundertstel | Prozent | Prozentzeichen | vom Hundert
&	Et-Zeichen	Et-Zeichen | kaufmännisches Und-Zeichen | und | Und-Zeichen
'	gerader Apostroph	Anführungszeichen | Apostroph | einfaches Anführungszeichen oben | gerader Apostroph
)	schließende runde Klammer	Klammer | Parenthese | runde Klammer | schließende runde Klammer
*	Sternchen	Asterisk | Stern | Sternchen
+	Pluszeichen	addieren | plus | Pluszeichen
,	Komma	Beistrich | Komma
-	Bindestrich-Minus	Bindestrich | Bindestrich-Minus | Divis | Minuszeichen | Trennstrich
.	Punkt	Punkt | Satzendepunkt | Schlusspunkt
/	Schrägstrich	Schrägstrich | Slash | Solidus | Vorwärtsschrägstrich
:	Doppelpunkt	Doppelpunkt
;	Semikolon	Semikolon | Strichpunkt
<	kleiner als	kleiner als | Kleiner-als-Zeichen
=	Gleichheitszeichen	gleich | Gleichheitszeichen
>	größer als	größer als | Größer-als-Zeichen
?	Fragezeichen	Frage | Fragezeichen
@	At-Zeichen	Ad-Zeichen | Adresszeichen | Affenschaukel | Affenschwanz | At | At-Zeichen | Klammeraffe
[	öffnende eckige Klammer	eckige Klammer | eckige Klammer links | öffnende eckige Klammer
\	umgekehrter Schrägstrich	Backslash | linksseitiger Schrägstrich | Rückstrich | umgekehrter Schrägstrich
]	schließende eckige Klammer	eckige Klammer | eckige Klammer rechts | schließende eckige Klammer
^	Zirkumflex	Akzentzeichen | Caret | Dach | Zirkumflex
_	Unterstrich	Gedankenstrich unten | Tiefstrich | Unterstreichung | Unterstrich
`	Gravis	Akzent | Betonung | Gravis
{	öffnende geschweifte Klammer	geschweifte Klammer | geschwungene Klammer | geschwungene Klammer links | öffnende geschweifte Klammer
|	senkrechter Strich	Pipe | Pipe-Symbol | Pipe-Zeichen | senkrechter Strich | vertikaler Strich
}	schließende geschweifte Klammer	geschweifte Klammer | geschweifte Klammer rechts | geschwungene Klammer | geschwungene Klammer rechts | schließende geschweifte Klammer
~	Tilde	proportional | Tilde | Tilde-Zeichen
¡	umgekehrtes Ausrufezeichen	Ausruf | Ausrufezeichen | spanisch | umgekehrt
¢	Cent	Cent
£	Pfund Sterling	britisches Pfund | EGP | GBP | Pfund | Pfund Sterling | Währung
¤	Unbekannte Währung	
¥	Yen	CNY | JPY | Renminbi | Währung | Yen | Yuan
§	Paragraf	Absatz | Abschnitt | Paragraf | Paragraph
¨	Trema	Diärese | Trema | Umlaut
©	Copyright	C | Copyright
«	nach links weisendes Guillemet	Anführungszeichen | Caret | Chevron | Klammer | links | nach links weisendes Guillemet | Spitzzeichen
¬	Negationszeichen	Negationszeichen | nicht
®	Registered-Trademark	Markenzeichen | R | Registered-Trademark
°	Grad Alkohol	Grad | Grad Alkohol | Proof | Stunde | Volumenprozent
±	Plusminuszeichen	Plus-Minus-Zeichen | Plusminus | Plusminuszeichen
²	hochgestellte Zwei	hoch zwei | hochgestellt | hochgestellte Zwei | im Quadrat | Quadrat | Zwei
