# CLDR symbol names for de_CH: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
)	schliessende runde Klammer	Klammer | Parenthese | runde Klammer | schliessende runde Klammer
>	grösser als	grösser als | Grösser-als-Zeichen
]	schliessende eckige Klammer	eckige Klammer | eckige Klammer rechts | schliessende eckige Klammer
}	schliessende geschweifte Klammer	geschweifte Klammer | geschweifte Klammer rechts | geschwungene Klammer | geschwungene Klammer rechts | schliessende geschweifte Klammer
µ		Masseinheit | Mikro-Zeichen | My
”	schliessendes doppeltes Anführungszeichen oben	Anführung | doppeltes Anführungszeichen | schliessendes doppeltes Anführungszeichen oben
⇦	weisser Pfeil nach links	weisser Pfeil nach links
⇧	weisser Pfeil nach oben	weisser Pfeil nach oben
⇨	weisser Pfeil nach rechts	weisser Pfeil nach rechts
⇩	weisser Pfeil nach unten	weisser Pfeil nach unten
⇪	weisser Pfeil nach oben von Strich weglaufend	weisser Pfeil nach oben von Strich weglaufend
≥	grösser als oder gleich	gleich | grösser als | grösser als oder gleich | ist gleich | Vergleichszeichen
≧	grösser als über gleich	grösser als über gleich
≫	viel grösser als	viel grösser als
≯	nicht grösser als	nicht grösser als
≳	grösser als oder äquivalent	grösser als oder äquivalent
⋙	sehr viel grösser als	sehr viel grösser als
Ⓜ		Buchstabe | eingekreist | Grossbuchstabe | Kreis | M
□	weisses Quadrat	weisses Quadrat
▢	weisses Quadrat mit abgerundeten Ecken	weisses Quadrat mit abgerundeten Ecken
▣	schwarzes Quadrat in weissem Quadrat	enthält | Quadrat | schwarz | weiss
▫	kleines weisses Quadrat	kleines weisses Quadrat | Kleines weisses Quadrat | Quadrat | weiss
▭	weisses Rechteck	weisses Rechteck
△	weisses nach oben weisendes Dreieck	weisses nach oben weisendes Dreieck
▵	weisses nach oben weisendes kleines Dreieck	weisses nach oben weisendes kleines Dreieck
▷	weisses nach rechts weisendes Dreieck	weisses nach rechts weisendes Dreieck
▹	weisses nach rechts weisendes kleines Dreieck	weisses nach rechts weisendes kleines Dreieck
▻	weisser nach rechts weisender Zeiger	weisser nach rechts weisender Zeiger
▽	weisses nach unten weisendes Dreieck	weisses nach unten weisendes Dreieck
▿	weisses nach unten weisendes kleines Dreieck	weisses nach unten weisendes kleines Dreieck
◁	weisses nach links weisendes Dreieck	weisses nach links weisendes Dreieck
◃	weisses nach links weisendes kleines Dreieck	weisses nach links weisendes kleines Dreieck
◅	weisser nach links weisender Zeiger	weisser nach links weisender Zeiger
◇	weisses Karo	weisses Karo
◈	weisses Karo mit kleinem schwarzem Karo	weisses Karo mit kleinem schwarzem Karo
◉	weisser Kreis mit kleinem schwarzem Kreis	weisser Kreis mit kleinem schwarzem Kreis
◕	schwarzer Kreis mit weissem Viertel oben links	schwarzer Kreis mit weissem Viertel oben links
◙	schwarzes Quadrat mit weissem Kreis	schwarzes Quadrat mit weissem Kreis
◦	weisses Aufzählungszeichen	weisses Aufzählungszeichen
◯	grosser hohler Kreis	grosser hohler Kreis | Kreis | Ring
◳	weisses Quadrat mit Viertel oben rechts	weisses Quadrat mit Viertel oben rechts
◷	weisser Kreis mit Viertel oben rechts	weisser Kreis mit Viertel oben rechts
◻	mittelgrosses weisses Quadrat	mittelgrosses weisses Quadrat | Quadrat | weiss
◼	mittelgrosses schwarzes Quadrat	mittelgrosses schwarzes Quadrat | Mittelgrosses schwarzes Quadrat | Quadrat | schwarz
◿	weisses Dreieck unten rechts	weisses Dreieck unten rechts
♨	heisse Quellen	Dampf | dampfend | heiss | heisse Quelle | heisse Quellen | Quelle | Quellen
⛑		bergen | erste Hilfe | Helm | Helm mit weissem Kreuz | Hilfe | Kreuz | retten | Rettungshelm | roter Helm | Sanitäter
⪚	gleich über grösser als	gleich über grösser als
〉	schliessende spitze Klammer	Pfeilspitze rechts | schliessende spitze Klammer | schliessende Winkelklammer | spitze Klammer | spitze Klammer rechts | Winkelklammer
》	schliessende doppelte spitze Klammer	doppelte spitze Klammer | Klammer | schliessende doppelte spitze Klammer
」	schliessende Eckklammer	Eckklammer | Klammer | schliessende Eckklammer
』	schliessende hohle Eckklammer	hohle Eckklammer | Klammer | schliessende hohle Eckklammer
】	schliessende schwarze konkave Klammer	Klammer | konkave Klammer | schliessende schwarze konkave Klammer | schwarze konkave Klammer
〕	schliessende stumpfe Klammer	rechte stumpfe Klammer | schliessende stumpfe Klammer | stumpfe Klammer
〗	schliessende hohle konkave Klammer	hohle konkave Klammer | Klammer | konkave Klammer | schliessende hohle konkave Klammer
🅰	Grossbuchstabe A in rotem Quadrat	a | Blut | Blutgruppe | Grossbuchstabe | negativ | positiv
🅱	Grossbuchstabe B in rotem Quadrat	b | Blut | Blutgruppe | Grossbuchstabe | negativ | positiv
🅾	Grossbuchstabe O in rotem Quadrat	0 | Blut | Blutgruppe | Grossbuchstabe | negativ | O | positiv
🅿	Grossbuchstabe P in blauem Quadrat	Grossbuchstabe | P | parken | Parkplatz | Taste
🌥	Sonne hinter grosser Wolke	bewölkt | grosse Wolke | Sonne | Sonne hinter grosser Wolke | Wetter | Wolke
🏙		Gebäude | Grossstadt | Häuser | Hochhäuser | Skyline | Stadt | Wolkenkratzer
🏜		heiss | Wüste
🏳	weisse Flagge	Fahne | wehen | Wehende weisse Fahne | weisse Fahne | weisse Flagge
🛣		Autobahn | Schnellstrasse
