# CLDR symbol names for dsb: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	wuwołak	interpunkciske znamuško | wukśik | wuwołak
#	dwójna kśicka	dwójna kśicka | tastatura
$	symbol za dolar	dolar | pjenjeze | płaśidło | symbol | symbol za dolar
%	znamuško "procent"	procent | procenty | tastatura | znamuško "procent"
&	znamuško ampersand	& | et | tastatura | znamuško | znamuško ampersand | znamužko &
'	narownańske znamuško za apostrof	apostrof | narownańske znamuško | narownańske znamuško za apostrof
)	zacynjona kulowata spinka	kulowata | spinka | zacynjona
*	gwězdka	gwězdka | tastatura
+	znamje plus	aděrowaś | plus | znamje plus
,	koma	interpunciske znamuško | koma
-	smužka-minus	minus | smužka | smužka-minus
.	dolny dypk	dolny dypk | dypk
/	nakósna smužka napšawo	nakósna smužka | nakósna smužka nalěwo | nakósna smužka napšawo | nalěwo | smuzka
:	dwójodypk	dwójodypk | interpunkciske znamuško
;	semikolon	interpunkciske znamuško | semikolon
<	mjeńše ako	matematika | mjeńše ako
=	rowno	rowno
>	wětše ako	matematika | wětše ako
?	pšašak	interpunkciske znamuško | pšašak | pšašanje
@	znamuško et	tastatura | znamuško | znamuško et
[	wótcynjona rožkata spinka	rožkata spinka | spinka | wótcynjona | wótcynjona rožkata spinka
\	nakósna smužka nalěwo	nakósna smužka | nakósna smužka nalěwo | nalěwo | smužka
]	zacynjona rožkata spinka	spinka | zacynjona | zacynjona rožkata spinka
^	wobrośona kokulka	interpunkciske znamuško | wobrośona kokulka
_	dolna smužka	dolna smužka | pódsmužka | smužka
`	smužka nalěwo	akcent | akcentuěrowane | interpunkciske znamuško | smužka | smužka nalěwo
{	wótcynjona kulowata spinka	kokulata | spinka | wótcynjona | wótcynjona kulowata spinka
|	padorowna smuga	matematika I | padorowna smuga | smuga
}	zacynjona kokulata spinka	kokulata | spinka | zacynjona
~	tilda	tilda
¡	wobrośony wuwołak	interpunkciske znamuško | na głowje stojaś | wobrośony wuwołak | wuwołak | znak
¢	symbol za cent	cent | pjenjeze | płaśidło | symbol za cent
£	symbol za punt	britiski punt | pjenjeze | płaśidło | punt | symbol | symbol za punt
¤	njeznate pjenjeze	
¥	symbol za yen	pjenjeze | płaśidło | symbol | symbol za yen | yen
§	paragraf	kazń | paragraf | pšawnistwo | wótstawk | źěł
¨	dypka wušej pismika	dypka wušej pismika | interpunkciske znamuško | pśezuk
