# CLDR symbol names for el: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	θαυμαστικό	αναφώνηση | θαυμαστικό | μπανγκ
#	σύμβολο δίεσης	hashtag | αριθμός | δίεση | ετικέτα δίεσης | σύμβολο δίεσης
$	δολάριο	USD | δολάριο | λεφτά | πέσο
%	τοις εκατό	τοις εκατό
&	συμπλεκτικό σύμβολο	και | σύμβολο & | συμπλεκτικό σύμβολο | χαρακτήρας &
'	ίσια απόστροφος	απόστροφος | εισαγωγικό | ίσια απόστροφος | μονό εισαγωγικό
)	δεξιά παρένθεση	δεξιά παρένθεση | παρένθεση
*	αστερίσκος	αστεράκι | αστερίσκος | χαρακτήρας μπαλαντέρ
+	σύμβολο συν	πρόσθεση | σύμβολο συν | συν
,	κόμμα	κόμμα
-	ενωτικό-πλην	ενωτικό | ενωτικό-πλην | μείον | παύλα | πλην
.	τελεία	τελεία
/	κάθετος	δεξιοπλαγία | κάθετος | πλαγία | πλαγιοκάθετος
:	άνω και κάτω τελεία	άνω και κάτω τελεία | άνω κάτω τελεία
;	ελληνικό ερωτηματικό	ελληνικό ερωτηματικό
<	μικρότερο από	ετικέτα | ετικέτα ανοίγματος | μικρότερο από
=	ίσον	είναι ίσο | ίσον | ισούται
>	μεγαλύτερο από	ετικέτα | ετικέτα κλεισίματος | μεγαλύτερο από
?	λατινικό ερωτηματικό	ερώτηση | λατινικό ερωτηματικό
@	παπάκι	παπάκι | σημείο @ | σύμβολο @
[	αριστερή αγκύλη	αγκύλη | αριστερή αγκύλη | τετραγωνική αγκύλη
\	ανάστροφη κάθετος	ανάποδη κάθετος | ανάστροφη διαγώνιος | ανάστροφη κάθετος | αντιπλαγία | χαρακτήρας οπισθοπλαγίας
]	δεξιά αγκύλη	αγκύλη | δεξιά αγκύλη | τετραγωνική αγκύλη
^	τόνος σιρκουμφλέξ	ανεστραμμένο σχήμα ν | δείκτης | δύναμη | καρέ | σιρκουμφλέξ | σφήνα | τόνος
_	κάτω παύλα	γραμμή | κάτω παύλα | παύλα | υπογράμμιση | χαμηλή παύλα
`	βαρεία	βαρεία | τόνος
{	αριστερό άγκιστρο	άγκιστρο | αριστερό άγκιστρο
|	κάθετη γραμμή	γραμμή | κάθετη | κατακόρυφη μπάρα | μολυβιά | μπάρα | ράβδος
}	δεξί άγκιστρο	άγκιστρο | δεξί άγκιστρο
~	ισοδύναμο	ισοδύναμο
¡	ανάποδο θαυμαστικό	ανάποδο | αναφώνηση | επιφώνημα | θαυμαστικό | μπουμ
¢	σεντ	σεντ
£	λίρα στερλίνα	EGP | GBP | λίρα | λίρα Αγγλίας | λίρα Αιγύπτου | λίρα στερλίνα | νόμισμα
¤	Άγνωστο νόμισμα	
¥	γιεν	CNY | JPY | γιεν | γιουάν | Ιαπωνικό γιεν | Κινεζικό γιουάν | νόμισμα
§	ενότητα	ενότητα | μέρος | παράγραφος | σύμβολο ενότητας
¨	διαλυτικά	διαλυτικά | διαλυτικά μεταφωνίας
©	πνευματική ιδιοκτησία	c | πνευματικά δικαιώματα | πνευματική ιδιοκτησία
«	αριστερά γωνιακά εισαγωγικά	αγκύλες | αριστερά γωνιακά εισαγωγικά | αριστερό | γωνία | διάσημα | εισαγωγικό | καρέ
¬	άρνηση	άρνηση | όχι
®	σήμα κατατεθέν	r | αναγνωρισμένο | καταχωρισμένο | σήμα κατατεθέν
°	βαθμός	αλκοολικός βαθμός | βαθμός | ώρα
±	συν-πλην	συν-πλην
²	εκθέτης δύο	δύο | εκθέτης | στο τετράγωνο
³	εκθέτης τρία	εκθέτης | στον κύβο | τρία
´	οξεία	οξεία | τόνος
µ	σύμβολο του μικρόν	μέτρηση | σύμβολο του μικρόν
¶	σημάδι παραγράφου	παράγραφος | παραγραφόσημο | σημάδι παραγράφου | σύμβολο παραγράφου
·	άνω τελεία	άνω τελεία | μέση | μέση στιγμή | τελεία | τελεία διαχωρισμού
¹	εκθέτης ένα	εκθέτης | ένα
»	δεξιά γωνιακά εισαγωγικά	αγκύλες | γωνία | δεξί | δεξιά γωνιακά εισαγωγικά | διάσημα | εισαγωγικό | καρέ
¿	ανάποδο λατινικό ερωτηματικό	ανάποδο | ανάποδο λατινικό ερωτηματικό | ερώτηση | λατινικό ερωτηματικό
×	σύμβολο πολλαπλασιασμού	επί | πολλαπλασιάζω | πολλαπλασιασμός | σύμβολο πολλαπλασιασμού
÷	σύμβολο διαίρεσης	δια | διαίρεση | διαιρώ | σύμβολο διαίρεσης
֏	Ντραμ Αρμενίας	
؋	Αφγάνι Αφγανιστάν	
،	αραβικό κόμμα	αραβικό | κόμμα
؛	αραβική άνω τελεία	ανάποδο ερωτηματικό | αραβική άνω τελεία
؟	αραβικό ερωτηματικό	αραβικό | ερωτηματικό | ερώτηση
৳	Τάκα Μπαγκλαντές	
฿	Μπατ Ταϊλάνδης	
៛	Ρίελ Καμπότζης	
‐	ενωτικό	ενωτικό | παύλα
–	μικρή παύλα	μικρή | παύλα
—	μεγάλη παύλα	μεγάλη | παύλα
―	οριζόντια παύλα	γραμμή | οριζόντια παύλα | παύλα
‘	αριστερή απόστροφος	απόστροφος | αριστερή απόστροφος | εισαγωγικά | καλλιγραφικά εισαγωγικά | μονό εισαγωγικό
’	δεξιά απόστροφος	απόστροφος | δεξιά απόστροφος | εισαγωγικό | καλλιγραφικά εισαγωγικά | μονό εισαγωγικό
‚	κάτω δεξιά απόστροφος	απόστροφος | εισαγωγικό | κάτω δεξιά απόστροφος | κατωφερές εισαγωγικό
“	αριστερά εισαγωγικά	αριστερά εισαγωγικά | διπλό εισαγωγικό | εισαγωγικό | καλλιγραφικά εισαγωγικά | παράθεση
”	δεξιά εισαγωγικά	δεξιά εισαγωγικά | διπλό εισαγωγικό | εισαγωγικό | καλλιγραφικά εισαγωγικά | παράθεση
„	κάτω δεξιά εισαγωγικά	διπλά εισαγωγικά | εισαγωγικά | κάτω δεξιά εισαγωγικά | κάτω εισαγωγικά | παράθεση
†	σύμβολο σταυρού στίξης	δια | οβελίσκος | σταυρός στίξης | σύμβολο σταυρού στίξης
‡	σύμβολο διπλού σταυρού στίξης	δια | διπλός | οβελίσκος | σταυρός στίξης | σύμβολο διπλού σταυρού στίξης
