# CLDR symbol names for en_001: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
%	per cent	
'	straight apostrophe	apostrophe | quote | single quote | straight apostrophe | typewriter apostrophe
)		bracket | close parenthesis | parens | parenthesis | round bracket
.	full stop	
@	at sign	ampersat | arobase | arroba | at mark | at sign | commercial at | strudel
[		bracket | crotchet | left square bracket | open square bracket | square bracket
]		bracket | close square bracket | crotchet | right square bracket | square bracket
^		accent | caret | chevron | circumflex | hat | power | wedge
_	underscore	dash | line | low dash | underdash | underline | underscore
{		brace | bracket | curly brace | curly bracket | gullwing | left curly bracket | open curly bracket
|		bar | line | pipe | sheffer stroke | vertical bar | vertical line
}		brace | bracket | close curly bracket | curly brace | curly bracket | gullwing | right curly bracket
£		currency | EGP | GBP | pound | quid | sterling
®		r | registered | trademark
µ		measure | micro sign | mu
،	Arabic comma	Arabic | comma
؛	Arabic semicolon	Arabic | Arabic semicolon | semi-colon
؟	Arabic question mark	Arabic | Arabic question mark | question | question mark
‘		apostrophe | curly quote | left apostrophe | quote | single quote | smart quote
’		apostrophe | curly quote | quote | right apostrophe | single quote | smart quote
“		curly quotes | double quote | left quotation mark | quotation | quote | smart quotation
”		curly quotes | double quote | quotation | quote | right quotation mark | smart quotation
†	dagger symbol	dagger | dagger sign | dagger symbol | obelisk | obelus
‡	double dagger symbol	dagger | double | double dagger sign | double dagger symbol | obelisk | obelus
‰		per mil | per mill | per mille | permil | permille
⁉		! | !? | ? | exclamation question mark | interrobang | punctuation | question
₢		Brazil | BRB | cruzeiro | currency
₣	French franc	currency | franc | France | French franc
₤		currency | Italy | lira
₰	German penny	currency | German penny | pfennig
₳		ARA | Argentina | austral | currency
₶		currency | France | livre tournois
₹	Indian rupee	currency | Indian rupee | rupee
₽	rouble	currency | rouble | ruble
↚	leftwards arrow with stroke	leftwards arrow with stroke
↛	rightwards arrow with stroke	rightwards arrow with stroke
↞	leftwards two-headed arrow	leftwards two-headed arrow
↟	upwards two-headed arrow	upwards two-headed arrow
↠	rightwards two-headed arrow	rightwards two-headed arrow
↡	downwards two-headed arrow	downwards two-headed arrow
↢	leftwards arrow with tail	leftwards arrow with tail
↣	rightwards arrow with tail	rightwards arrow with tail
↨	up-down arrow with base	up-down arrow with base
↫	leftwards arrow with loop	leftwards arrow with loop
↬	rightwards arrow with loop	rightwards arrow with loop
↭	left-right wave arrow	left-right wave arrow
↮	left-right arrow with stroke	left-right arrow with stroke
↰	upwards arrow with leftwards tip	upwards arrow with leftwards tip
↱	upwards arrow with rightwards tip	upwards arrow with rightwards tip
↲	downwards arrow with leftwards tip	downwards arrow with leftwards tip
↳	downwards arrow with rightwards tip	downwards arrow with rightwards tip
↴	rightwards arrow with downwards corner	rightwards arrow with downwards corner
↵	downwards arrow with leftwards corner	downwards arrow with leftwards corner
↶	anticlockwise top-semicircle arrow	anticlockwise top-semicircle arrow
↷	clockwise top-semicircle arrow	clockwise top-semicircle arrow
↸	north-west arrow to long bar	arrow | bar | long | north | north-west | west
↺	anticlockwise open-circle arrow	anticlockwise open-circle arrow
↻	clockwise open-circle arrow	clockwise open-circle arrow
↼	leftwards harpoon with upwards barb	leftwards harpoon with upwards barb
↽	leftwards harpoon with downwards barb	leftwards harpoon with downwards barb
↾	upwards harpoon with rightwards barb	upwards harpoon with rightwards barb
↿	upwards harpoon with leftwards barb	upwards harpoon with leftwards barb
⇀	rightwards harpoon with upwards barb	rightwards harpoon with upwards barb
⇁	rightwards harpoon with downwards barb	rightwards harpoon with downwards barb
⇂	downwards harpoon with rightwards barb	downwards harpoon with rightwards barb
⇃	downwards harpoon with leftwards barb	downwards harpoon with leftwards barb
⇍	leftwards double arrow with stroke	leftwards double arrow with stroke
⇎	left-right double arrow with stroke	left-right double arrow with stroke
⇏	rightwards double arrow with stroke	rightwards double arrow with stroke
⇔	left-right double arrow	left-right double arrow
⇖	north-west double arrow	arrow | double | north | north-west | west
⇗	north-east double arrow	arrow | double | east | north | north-east
⇘	south-east double arrow	arrow | double | east | south | south-east
⇙	south-west double arrow	arrow | double | south | south-west | west
⇞	upwards arrow with double stroke	upwards arrow with double stroke
⇟	downwards arrow with double stroke	downwards arrow with double stroke
⇤	leftwards arrow to bar	leftwards arrow bar | leftwards arrow to bar
⇥	rightwards arrow to bar	rightwards arrow bar | rightwards arrow to bar
⇵	downwards and upwards arrows	downwards and upwards arrows
∂		differential | partial derivative | partial differential
∃		existential | exists | mathematics | quantifier | there
∅		empty | mathematics | null | operator | set | sign
∉		an | element | not | set
∎	end of proof	
∑		mathematics | n-ary summation | sigma | summation
∓		minus-or-plus | minus-plus
∝	is proportional	is proportional | proportional | proportionality
∣		divides | divisor | vertical bar
∥	parallel to	parallel | parallel to
