# CLDR symbol names for en_AU: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
$		AUD | dollar | money
‼		double exclamation mark | exclamation | mark | punctuation
⁉		exclamation | mark | punctuation | question
₪	Israeli Shekel	
₹		currency | Indian rupee | INR | rupee
≤		inequality | less-than | less-than or equal
≥		greater-than | greater-than or equal | inequality
⋭	does not contain as normal subgroup equal	does not contain as normal subgroup | does not contain as normal subgroup or equal | group theory | mathematics
⏲	timer	
☎		landline | phone | telephone
☑		ballot | box | check box with check | tick | tick box with tick
♣		card | club suit | clubs | game
♦		card | diamond suit | diamonds | game
♾		eternal | forever | infinity | unbound | universal
⛩	Shinto shrine	religion | Shinto | shrine
⛱	beach umbrella	beach | sand | sun | umbrella
⛸		ice | ice skating | skate
✔		check mark | heavy tick mark | mark | tick
✝	Christian cross	Christian | cross | religion
🅿		car park | carpark | P | P button | parking
🌶		chilli | hot pepper | pepper
🎟		admission | admission tickets | entry | ticket
🏌		ball | golf | golfer | person golfing
🏟		arena | stadium
🕰	clock	clock
🕵		detective | investigator | sleuth | spy
🕶		dark | eyewear | glasses | shades | sun | sunnies
🕷		arachnid | spider
🗂	index card dividers	
🗄	filing cabinet	
🗑	waste paper basket	rubbish bin | trash | waste paper basket
🛋		couch | couch and lamp | hotel | lamp | sofa | sofa and lamp
🛎	porter bell	bell | hotel | porter
🛠		hammer | hammer and spanner | hammer and wrench | spanner | tool | wrench
🛣	freeway	freeway | highway | road
