# CLDR symbol names for en_CA: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
$		CAD | cash | dollar | dollars | money | peso | USD
%		per cent | per-cent | percent | percentage
)		bracket | close parenthesis | paren | parens | parenthesis | right round bracket | round bracket
<	less than	less than | less-than sign | open tag | tag
>	greater than	close tag | greater than | greater-than sign | tag
@	at sign	
[		bracket | crotchet | left square bracket | open square bracket | square bracket
]		bracket | close square bracket | crotchet | right square bracket | square bracket
|		bar | line | pipe | sheffer stroke | vertical bar | vertical line
¢		cent | cents
¤	unknown currency	
®		r | registered | trademark
،	Arabic comma	Arabic | comma
؛	Arabic semicolon	Arabic | Arabic semicolon | semi-colon
؟	Arabic question mark	Arabic | Arabic question mark | question | question mark
‘		apostrophe | curly quote | left apostrophe | quote | single quote | smart quote
’		apostrophe | curly quote | quote | right apostrophe | single quote | smart quote
“		curly quotes | double quote | left quotation mark | quotation | quote | smart quotation
”		curly quotes | double quote | quotation | quote | right quotation mark | smart quotation
⁉		! | !? | ? | exclamation | mark | punctuation | question
₢		Brazil | BRB | cruzeiro | currency
₣	French franc	
₤		currency | Italy | lira
₰	German penny	
₱		peso | pesos
₳		ARA | Argentina | austral | currency
₶		currency | France | livre tournois
₹	Indian rupee	currency | Indian rupee | rupee
™	trademark	
∂		differential | partial derivative | partial differential
∃		existential | mathematics | quantifier | there exists
∉	not an element of	
∎	end of proof	
∝	is proportional	is proportional | proportional | proportionality
∣		divides | divisor | vertical bar
∥	parallel to	parallel | parallel to
≃	asymptotically equal to	
≅	approximately equal to	
≈		about | almost equal | approximate | approximation | around
≌	all equal to	
≣	strictly equivalent to	
≤	less than or equal to	equal | equals | inequality | less than or equal to | less-than
≥	greater than or equal to	equal | equals | greater than or equal to | greater-than | inequality
≳	greater-than or equivalent to	
⊃	superset of	
⊆	subset of or equal to	
⊇	superset of or equal to	
⊶	original of	
⋭	does not contain as normal subgroup or equal	
▦	square with orthogonal crosshatch fill	
▧	square with upper left to lower right fill	
▨	square with upper right to lower left fill	
▩	square with diagonal crosshatch fill	square with diagonal crosshatch fill
▲		arrow | black up-pointing triangle | filled up-pointing triangle | triangle | up
▼		arrow | black down-pointing triangle | down | filled down-pointing triangle | triangle
◈		hollow diamond containing filled diamond | white diamond containing black diamond
◉		circled dot | concentric circles filled | fisheye | hollow circle containing filled circle | white circle containing black circle
○		circle | hollow circle | ring | white circle
●		black circle | circle | filled circle
◔	circle with upper-right quadrant filled	
◕	circle with all but upper-left quadrant filled	
◜	upper-left quadrant circular arc	
◝	upper-right quadrant circular arc	
◞	lower-right quadrant circular arc	
◟	lower-left quadrant circular arc	
◢	filled lower-right triangle	
◣	filled lower-left triangle	
◤	filled upper-left triangle	
◥	filled upper-right triangle	
◯		circle | large hollow circle | large white circle | ring
◳	hollow square with upper-right quadrant	
◷	hollow circle with upper-right quadrant	
☑		✓ | box | check | check box with check | tick | tick box with tick
☦	Orthodox cross	Christian | cross | Orthodox cross | religion
☪		Islam | Muslim | religion | star and crescent
☯		religion | Tao | Taoist | yang | yin
⚰		casket | coffin | death
⛩	Shinto shrine	religion | Shinto | shrine
✈		aeroplane | airplane | flight
✝	Latin cross	Christian | cross | Latin cross | religion
✡	Star of David	David | Jewish | Judaism | religion | star | Star of David
⨧	plus sign with subscript two	
⨯	vector or cross product	cross product | vector | vector or cross product
🏋		lifter | person lifting weights | weight | weightlifter
🏙		city | cityscape | skyline
🏛		classical | classical building | column
🏳		surrender | waving | white flag
🕵		detective | private eye | sleuth | spy
🗨		balloon | bubble | dialog | dialogue | left speech bubble | speech
🛋		couch | couch and lamp | hotel | lamp | sofa | sofa and lamp
🛣	highway	
🛥	motorboat	
🛩		aeroplane | airplane | small airplane | small plane
