# CLDR symbol names for en_GB: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
↚		arrow | leftwards | stroke
↛		arrow | rightwards | stroke
↞		arrow | headed | leftwards | two
↟		arrow | headed | two | upwards
↠		arrow | headed | rightwards | two
↡		arrow | downwards | headed | two
↢		arrow | leftwards | tail
↣		arrow | rightwards | tail
↨		arrow | base | down | up | with
↫		arrow | leftwards | loop
↬		arrow | loop | rightwards
↭		arrow | left | right | wave
↮		arrow | left | right | stroke
↰		arrow | leftwards | tip | upwards
↱		arrow | rightwards | tip | upwards
↲		arrow | downwards | leftwards | tip
↳		arrow | downwards | rightwards | tip
↴		arrow | corner | downwards | rightwards
↵		arrow | corner | downwards | leftwards
↶		anticlockwise | arrow | semicircle | top
↷		arrow | clockwise | semicircle | top
↸		arrow | bar | long | north-west
↺		anticlockwise | arrow | circle | open
↻		arrow | circle | clockwise | open
↼		barb | harpoon | leftwards | upwards
↽		barb | downwards | harpoon | leftwards
↾		barb | harpoon | rightwards | upwards
↿		barb | harpoon | leftwards | upwards
⇀		barb | harpoon | rightwards | upwards
⇁		barb | downwards | harpoon | rightwards
⇂		barb | downwards | harpoon | rightwards
⇃		barb | downwards | harpoon | leftwards
⇍		arrow | double | leftwards | stroke
⇎		arrow | double | left | right | stroke
⇏		arrow | double | rightwards | stroke
⇔		arrow | double | left | right
⇖		arrow | double | north-west
⇗		arrow | double | north-east
⇘		arrow | double | south-east
⇙		arrow | double | south-west
⇞		arrow | double | stroke | upwards
⇟		arrow | double | downwards | stroke
⇤		arrow | bar | leftwards
⇥		arrow | bar | rightwards
⇵		arrow | downwards | leftwards | upwards
∃		existential | mathematics | quantifier
∅		mathematics | null set | null sign | set operator
∉		element | set
∎		halmos | proof | q.e.d. | qed | tombstone
∝		proportional | proportionality
∮		complex analysis
≃		asymptote | asymptotically | equal | mathematics
≅		approximately | congruence | equal | equality | isomorphism | mathematics
≌		equality | mathematics
≣		equality | mathematics | strictly equivalent
≳		equivalent | greater-than | inequality | mathematics
≺		mathematics | ordered set | set operator
≻		follows | mathematics | ordered set | set operator
⊁		mathematics | not | ordered set | set operator | succeed
⊃		mathematics | proper superset | set operator
⊇		equal | mathematics | superset
⊕		direct sum | exclusive or | logic | mathematics
⊖		erosion | mathematics | symmetric difference
⊗		Kronecker | product | tensor
⊙		mathematics | vector | XNOR
⊛		asterisk | circled | operator
⊞		addition-like | free additive convolution | mathematics
⊮		mathematics
⊰		mathematics | ordered set | set operator
⊱		mathematics | ordered set | set operator
⋭		does not contain as normal subgroup or equal | group theory | mathematics
⋰		ellipsis | mathematics | upwards diagonal ellipsis
⋱		ellipsis | mathematics
■		black square
□		white square
▢		white square with rounded corners
▣		white square containing black small square
▦		crosshatch | fill | orthogonal | square
▧		fill | left | lower | right | square | upper
▨		fill | left | lower | right | square | upper
▩		crosshatch | diagonal | fill | square
▬		black rectangle
▭		white rectangle
▮		black vertical rectangle
▰		black parallelogram
△		white up-pointing triangle
▴		black up-pointing small triangle
▵		white up-pointing small triangle
▷		white right-pointing triangle
▸		black right-pointing triangle
▹		white right-pointing small triangle
►		black right-pointing pointer
▻		white right-pointing pointer
▽		white down-pointing triangle
▾		black down-pointing small triangle
▿		white down-pointing small triangle
◁		white left-pointing triangle
◂		black left-pointing small triangle
◃		white left-pointing small triangle
◄		black left-pointing pointer
◅		white left-pointing pointer
◆		black diamond
◇		white diamond
◈		white diamond containing black small diamond
◉		circled dot | concentric circles filled | fisheye | white circle containing black small circle
◐		circle | filled | half | left
◑		circle | filled | half | right
◒		circle | filled | half | lower
◓		circle | filled | half | upper
◔		circle | filled | quadrant | right | upper
◕		all | but | circle | filled | left | quadrant | upper
◖		left half black circle
◗		right half black circle
◙		black square containing hollow circle | inverse hollow circle
◜		arc | circular | left | quadrant | upper
◝		arc | circular | quadrant | right | upper
◞		arc | circular | lower | quadrant | right
◟		arc | circular | left | lower | quadrant
◢		black lower-right triangle
◣		black lower-left triangle
◤		black upper-left triangle
◥		black upper-right triangle
◳		white square with upper-right quadrant
◷		white circle with upper-right quadrant
☀		bright | rays | space | sunny | sunshine | weather
☁		cloudy | weather
☂		open | rain
⛈		lightning | rain | thunder | thunderstorm | weather
⛩	Shinto shrine	religion | shrine | torii
⛱		beach | ground | sun | sunshade
✈		fly | flying | jet | plane | travel
⩽		inequality | mathematics
⪚		inequality | mathematics
🌡		temperature | weather
🌶		chilli | pepper
🎗		awareness | celebration | ribbon
🏍		motorbike | racing
🏕		tent
🏗		construction | crane | site
🏛		building | column
🏜		cactus
🏝		island | palm | tree
🏞		mountain | park | river | tree
🛎		bell | concierge | hotel | reception | service
🛩		aeroplane | aircraft | light | plane
🛳		cruise | liner | ship
