# CLDR symbol names for es: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	exclamación de cierre	exclamación | exclamación de cierre | signo de admiración | sorpresa
#	almohadilla	almohadilla | hashtag | numeral | número | sostenido
$	dólar	dinero | dólar | peso | USD
%	porcentaje	por cien | por ciento | porcentaje | tanto por ciento
&	ampersand	ampersand | and | et | y
'	comillas rectas	apóstrofo | comillas | comillas rectas | comillas simples
)	paréntesis de cierre	cerrar paréntesis | paréntesis | paréntesis de cierre
*	asterisco	asterisco | comodín
+	signo más	más | signo más | suma | sumar
,	coma	coma
-	guion menos	guion | menos | raya
.	punto	punto
/	barra	barra | barrita | diagonal | inclinada | oblicua
:	dos puntos	dos puntos
;	punto y coma	punto y coma
<	menor que	antilambda | corchete angular | etiqueta | etiqueta de apertura | menor que
=	igual	igual | igual a
>	mayor que	antilambda | corchete angular | etiqueta | etiqueta de cierre | mayor que
?	interrogación de cierre	interrogación | interrogación de cierre | pregunta | signo de interrogación
@	arroba	@ | arroba | correo | Internet | símbolo
[	corchete de apertura	abrir corchetes | corchete | corchete de apertura | paréntesis
\	barra invertida	backlash | barra | barra invertida | contrabarra | diagonal inversa | diagonal invertida | inversa
]	corchete de cierre	cerrar corchetes | corchete | corchete de cierre | paréntesis
^	acento circunflejo	acento | circunflejo | control | intercalación | potencia
_	guion bajo	guion | guion bajo | línea | raya | subrayado
`	acento grave	acento | grave | tono
{	llave de apertura	abrir llaves | llave | llave de apertura | paréntesis
|	línea vertical	barra | línea vertical | palo | pleca
}	llave de cierre	cerrar llaves | llave | llave de cierre | paréntesis
~	virgulilla	tilde de la eñe | virgulilla
¡	exclamación de apertura	exclamación | exclamación de apertura | signo de admiración | sorpresa
¢	céntimo	centavo | céntimo
£	libra esterlina	divisa | EGP | GBP | libra | libra esterlina | moneda
¤	moneda desconocida	
¥	yen	CNY | divisa | JPY | moneda | yen | yuan
§	signo de sección	párrafo | sección | signo | signo de párrafo | signo de sección
¨	diéresis	crema | diéresis | tréma | umlaut
©	copyright	c | copyright | símbolo
«	comillas latinas de apertura	apertura | comillas angulares | comillas de apertura | comillas españolas | comillas francesas | comillas latinas de apertura
¬	negación	negación | no
®	marca registrada	marca registrada | r | símbolo de marca registrada
°	grado	grado | o volada | o voladita
±	signo más/menos	mas | menos | signo | signo más/menos
²	dos en superíndice	al cuadrado | dos | superíndice
³	tres en superíndice	al cubo | superíndice | tres
´	acento agudo	acento | agudo | tono
µ	símbolo de micro	medida | micro | signo | símbolo de micro | unidad
¶	calderón	calderón | marca de párrafo | párrafo | signo de párrafo
·	punto medio	alto | interpunto | medio | punto | punto centrado
¹	uno en superíndice	superíndice | uno
»	comillas latinas de cierre	cierre | comillas angulares | comillas de cierre | comillas españolas | comillas francesas | comillas latinas de cierre
¿	interrogación de apertura	interrogación | interrogación de apertura | pregunta | signo de interrogación
×	signo de multiplicación	multiplicación | multiplicar | signo de multiplicación
÷	signo de división	dividir | división | lemnisco | óbelo | signo | signo de división
֏	dram armenio	
؋	afgani afgano	
،	coma árabe	árabe | coma
