# CLDR symbol names for es_419: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
-	menos	guion | menos
.		punto | punto final
_		guion | guion bajo | línea
¢	centavo	centavo
§	sección	párrafo | parte | sección | signo de sección
©		autor | copyright | derechos | derechos de autor | signo de copyright | signo de derechos autor
«	diple de apertura	apertura | comillas angulares | comillas de apertura | comillas españolas | comillas francesas | diple de apertura
®		marca | R | registrada | signo de marca registrada | signo marca registrada
µ	signo micro	
»	diple de cierre	cierre | comillas angulares | comillas de cierre | comillas españolas | comillas francesas | diple de cierre
฿	baht tailandes	
‐		guion
–		guion | guion corto
―		barra | barra horizontal | guion | línea
‘	apóstrofe izquierdo	apóstrofe | apóstrofe izquierdo | comillas | comillas simples
’		apóstrofe | apóstrofo derecho | comillas | comillas simples
‚	apóstrofe derecho bajo	apóstrofe derecho bajo | apóstrofo | comillas | comillas bajas
†	signo de daga	daga | obelisco | signo de daga
‡	signo de daga doble	daga | doble | obelisco | signo de daga doble
•	viñeta	punto | viñeta
…		elipsis | omisión | puntos suspensivos
‧		guion | punto | punto de unión con guion
‸		caret | intercalación
‼		exclamación | exclamación doble | puntuacion | puntuación | signo
‽		exclarrogativo | interrobang
‾		línea superpuesta | superposición | vinculum
⁂		asterismo | estrellas | tres asteriscos
⁉		! | !? | ? | exclamación | exclamación e interrogación | interrogación | pregunta | símbolo
₢		BRB | cruceiro | divisa
₣		divisa | franco | franco francés | FRF
₤		divisa | lira
₥	mill	mil | mill
₨		divisa | rupia
₰		divisa | penique | penique alemán | pfennig
₳		ARA | austral | divisa
₶		divisa | libra tornesa
₷		divisa | spesmilo
₸	tenge kazajo	
₿	bitcoin	
™	marca comercial	marca | marca comercial | registrada | signo | signo de marca comercial | símbolo | símbolo de marca comercial | símbolo de marca registrada | trademark
ℹ		i | información | oficina | símbolo
↕		abajo | arriba | flecha | flecha arriba y abajo
↖		arriba | flecha | flecha esquina izquierda | flecha hacia esquina izquierda arriba | izquierda | noroeste
↗		arriba | derecha | dirección | flecha esquina derecha | flecha hacia esquina derecha arriba | noreste
↘		abajo | derecha | flecha | flecha esquina derecha | flecha hacia esquina derecha abajo | sudeste
↙		abajo | flecha | flecha esquina izquierda | flecha hacia esquina izquierda abajo | izquierda | suroeste
↴	flecha hacia abajo con punta hacia la esquina derecha	flecha hacia abajo con punta hacia la esquina derecha
