# CLDR symbol names for es_MX: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
'	apóstrofo de ancho fijo	apóstrofo | apóstrofo de ancho fijo | comillas | comillas simples
)		corchete | paréntesis | paréntesis de cierre | redondo
-	guion-menos	guion | guion-menos | menos | raya
.		punto | punto final | punto y aparte | punto y seguido
[		corchete de apertura
]		corchete de cierre
_		baja | bajo | guion | raya | subraya
{		llave de apertura
}		llave de cierre
©	símbolo de derechos de autor	autor | copyright | derechos | signo de derechos autor | símbolo de derechos de autor
«	comilla angular de apertura	angular | comilla | comilla angular de apertura | comilla de apertura | izquierda
®	símbolo de marca registrada	marca | registrada | signo de marca registrada | símbolo de marca registrada
±		más | menos | signo | signo más/menos
»	comilla angular de cierre	angular | comilla | comilla angular de cierre | comilla de cierre | derecha
×	multiplicación	
÷	división	
฿	baht tailandés	
‐		guion | raya
―		barra | barra horizontal | línea | raya
‘	apóstrofo izquierdo	apóstrofo | apóstrofo izquierdo | comilla | comilla simple
’		apóstrofo | apóstrofo derecho | comilla | comilla simple
‚	apóstrofo derecho bajo	apóstrofo bajo | apóstrofo derecho bajo | cita | cita baja
“	comilla doble izquierda	cita | comilla | comilla doble izquierda | doble
”	comilla doble derecha	cita | comilla | comilla doble derecha | doble
„	comilla doble derecha baja	cita baja | comilla | comilla doble derecha baja | doble
…	elipsis	elipsis | omisión | puntos
‧	punto de separación	guion | punto | punto de separación | raya
‸	inserción	inserción
⁄	Barra de fracciones	Barra de fracciones
₥	mil	mil
₩		won
₿		bitcoin | BTC
™	marca registrada	
↓		abajo | flecha | flecha apuntando hacia abajo
↖		arriba | dirección | flecha | flecha hacia el noroeste | flecha hacia la esquina superior izquierda | noroeste
↗		derecha | dirección | flecha | flecha hacia el noreste | flecha hacia la esquina superior derecha | noreste
↘	flecha hacia el sureste	flecha hacia el sureste
↙	flecha hacia el suroeste	flecha hacia el suroeste
↴	Flecha hacia la derecha con la esquina hacia abajo	Flecha hacia la derecha con la esquina hacia abajo
↵	Flecha hacia abajo con la esquina hacia la izquierda	Flecha hacia abajo con la esquina hacia la izquierda
↶	Flecha de semicírculo superior en sentido antihorario	Flecha de semicírculo superior en sentido antihorario
↷	Flecha de semicírculo superior a la derecha	Flecha de semicírculo superior a la derecha
↸	Barra larga de flecha hacia el noroeste	Barra larga de flecha hacia el noroeste
↹	Barra de flecha hacia la izquierda sobre barra de flecha hacia la derecha	Barra de flecha hacia la izquierda sobre barra de flecha hacia la derecha
↺	Flecha de círculo abierto en sentido antihorario	Flecha de círculo abierto en sentido antihorario
↻	Flecha de círculo abierto en sentido horario	Flecha de círculo abierto en sentido horario
↼	Arpón a la izquierda con púa hacia arriba	Arpón a la izquierda con púa hacia arriba
↽	Arpón a la izquierda con púa hacia abajo	Arpón a la izquierda con púa hacia abajo
↾	Arpón hacia arriba con púa hacia la derecha	Arpón hacia arriba con púa hacia la derecha
↿	Arpón hacia arriba con púa hacia la izquierda	Arpón hacia arriba con púa hacia la izquierda
⇀	Arpón a la derecha con púa hacia arriba	Arpón a la derecha con púa hacia arriba
⇁	Arpón a la derecha con púa hacia abajo	Arpón a la derecha con púa hacia abajo
⇂	Arpón hacia abajo con púa hacia la derecha	Arpón hacia abajo con púa hacia la derecha
⇃	Arpón hacia abajo con púa hacia la izquierda	Arpón hacia abajo con púa hacia la izquierda
⇄	Flecha hacia la derecha sobre flecha hacia la izquierda	Flecha hacia la derecha sobre flecha hacia la izquierda
⇇		Flechas pareadas a la izquierda | par de flechas hacia la izquierda
⇈	Flechas pareadas hacia arriba	Flechas pareadas hacia arriba
⇉	Flechas pareadas hacia la derecha	Flechas pareadas hacia la derecha
⇊	Flechas pareadas hacia abajo	Flechas pareadas hacia abajo
⇋	Arpón hacia la izquierda sobre arpón hacia la derecha	Arpón hacia la izquierda sobre arpón hacia la derecha
⇌	Arpón hacia la derecha sobre arpón hacia la izquierda	Arpón hacia la derecha sobre arpón hacia la izquierda
⇍	Doble flecha hacia la izquierda con trazo	Doble flecha hacia la izquierda con trazo
⇎	Doble flecha bidireccional con trazo	Doble flecha bidireccional con trazo
⇏	Doble flecha hacia la derecha con trazo	Doble flecha hacia la derecha con trazo
⇐	Doble flecha hacia la izquierda	Doble flecha hacia la izquierda
⇑	Flecha doble hacia arriba	Flecha doble hacia arriba
⇒	Doble flecha hacia la derecha	Doble flecha hacia la derecha
⇓	Doble flecha hacia abajo	Doble flecha hacia abajo
⇔	Doble flecha bidireccional	Doble flecha bidireccional
⇖	Doble flecha en dirección noroeste	Doble flecha en dirección noroeste
⇗	Doble flecha en dirección noreste	Doble flecha en dirección noreste
⇘	Doble flecha en dirección sureste	Doble flecha en dirección sureste
⇙	Doble flecha en dirección suroeste	Doble flecha en dirección suroeste
⇚	Flecha triple hacia la izquierda	Flecha triple hacia la izquierda
⇛	Flecha triple hacia la derecha	Flecha triple hacia la derecha
⇜	Flecha garabateada hacia la izquierda	Flecha garabateada hacia la izquierda
⇝	Flecha garabateada hacia la derecha	Flecha garabateada hacia la derecha
⇞	Flecha hacia arriba con doble trazo	Flecha hacia arriba con doble trazo
⇟	Flecha hacia abajo con doble trazo	Flecha hacia abajo con doble trazo
⇠	Flecha punteada hacia la izquierda	Flecha punteada hacia la izquierda
⇡	Flecha punteada hacia arriba	Flecha punteada hacia arriba
⇢	Flecha punteada hacia la derecha	Flecha punteada hacia la derecha
⇣	Flecha punteada hacia abajo	Flecha punteada hacia abajo
⇤	Flecha hacia la izquierda hacia la barra	Flecha hacia la izquierda hacia la barra
⇥	Flecha hacia la derecha hacia la barra	Flecha hacia la derecha hacia la barra
⇦	Flecha blanca hacia la izquierda	Flecha blanca hacia la izquierda
⇧	Flecha blanca hacia arriba	Flecha blanca hacia arriba
⇨	Flecha blanca hacia la derecha	Flecha blanca hacia la derecha
⇩	Flecha blanca hacia abajo	Flecha blanca hacia abajo
⇪	Flecha blanca hacia arriba de la barra	Flecha blanca hacia arriba de la barra
⇵	Flecha blanca hacia abajo de la barra	Flecha blanca hacia abajo de la barra
∀	Para todos	Para todos
∂	Diferencial parcial	Diferencial parcial
∃	Existe	Existe
∅	Conjunto vacío	Conjunto vacío
∉	No es un elemento de	No es un elemento de
∋	Contiene como miembro	Contiene como miembro
∎	Fin de la prueba	Fin de la prueba
∏	Producto n-ario	Producto n-ario
∑	Suma n-aria	Suma n-aria
∓	Signo menos o más	Signo menos o más
∕	Barra de división	Barra de división
∗	Operador de asterisco	Operador de asterisco
∘	Operador de anillo	Operador de anillo
∙	Operador de bala	Operador de bala
∝	Proporcional a	Proporcional a
∣	divisor	
∥	en paralelo	en paralelo
∧	lógico y	ac | atque | cuña | lógico y
∬		cálculo | doble integral | integral doble
∴		lógica | por lo tanto
∶	relación	relación
∼		operador | operador de tilde | operador de virgulilla
∽	tilde invertida	tilde | tilde invertida
≃	asintóticamente igual	asíntota | asintóticamente igual | matemáticas
≅	aproximadamente igual	aproximadamente igual | congruencia | igualdad | isomorfismo | matemáticas
≒	aproximadamente igual a la imagen	aproximadamente igual a la imagen
≖	anillo en igualdad	anillo en igualdad | igualdad | matemáticas
≦	menos que sobre igual	desigualdad | matemáticas | menos que sobre igual
≪	mucho menos que	desigualdad | matemáticas | mucho menos que
≫		desigualdad | matemáticas | mucho mayor que
≮	No menos que	No menos que
≯	No mayor que	No mayor que
≳	mayor o equivalente a	desigualdad | matemáticas | mayor o equivalente a
≺		matemáticas | operador de conjunto | precede
≻		matemáticas | operador de conjunto | sucede
