# CLDR symbol names for es_US: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	signo exclamación	exclamación | punto de admiración | signo de exclamación | signo exclamación | sorpresa
#	signo número	hashtag | libras | numeral | número | signo número
'	comilla recta	apóstrofo | comilla | comilla recta | comilla simple
)		paréntesis | paréntesis de cierre | paréntesis redondo
*		asterisco | comodín | estrella
-		guion | guion-menos | menos
/	diagonal	barra diagonal | barra oblicua | diagonal | inclinada | oblicua | trazo
<		corchete | corchete abierto | menor que
>		corchete | corchete cerrado | mayor que
?	signo interrogación	pregunta | signo de interrogación | signo interrogación
@		ampersat | arroba | comercial a | en | junto a | signo arroba
[		corchete | corchete de apertura | paréntesis | paréntesis cuadrado
\	diagonal inversa	
]		corchete | corchete de cierre | paréntesis | paréntesis cuadrado
^		acento | cheurón | circunflejo | control | exponente | indicador | intercalación | potencia | signo xor | sombrero
_		guion | guion bajo | línea | línea baja | subrayado
{		abrir llaves | llave de apertura | paréntesis | paréntesis curveado
|		barra | barra vertical | línea | línea vertical | palo | trazo | tubo
}		cerrar llaves | llave de cierre | paréntesis | paréntesis curveado
¡	signo exclamación invertida	exclamación | invertida | punto de admiración | signo de exclamación | signo de exclamación de apertura | signo de exclamación invertida | signo exclamación invertida | sorpresa
§		párrafo | parte | sección
©		c | copyright | signo de derechos autor | signo de derechos de autor
«	comillas de apertura	
®		marca registrada | r | signo de marca registrada
¶	signo de párrafo	calderón | párrafo | signo de párrafo
·		interpunto | medio | punto
»	comillas de cierre	
¿	signo interrogación invertida	invertida | pregunta | signo de interrogación de apertura | signo de interrogación invertida | signo interrogación invertida
؟	signo de interrogación árabe	árabe | pregunta | signo de interrogación | signo de interrogación árabe
฿	bat	
–	guión corto	guión | guión corto
—	guión largo	guión | guión largo
‘	comilla izquierda	apóstrofo | comilla | comilla izquierda | comilla simple
’	comilla derecha	apóstrofo | comilla | comilla derecha | comilla simple
‚	comilla derecha baja	apóstrofo | comilla | comilla baja | comilla derecha baja
“	comilla doble izquierda	comilla doble izquierda | comillas | comillas de apertura | comillas dobles | comillas dobles izquierdas
”	comilla doble derecha	comilla | comilla doble | comilla doble derecha | comilla doble dereha | comillas | comillas de cierre
„	comilla doble baja derecha	comilla baja | comilla doble | comilla doble baja derecha
†	signo obelisco	daga | obelisco | óbelo | signo obelisco
‡	signo doble obelisco	daga | doble | obelisco | óbelo | signo doble obelisco
※	signo de referencia	signo de referencia
‼		! | !! | exclamación | exclamación doble | puntuación | sorpresa
‽		exclarrogativo | interabang | interrobang
‾		línea superpuesta | sobreraya | vinculum
⁂		asterismo | dinkus | estrellas
⁄	diagonal para fracción	barra oblicua | diagonal para fracción | trazo
⁉		! | !? | ? | exclamación | exclamación e interrogación | interrogación | pregunta
₢		BRB | cruceiro | moneda
₣		fanco | franco francés | moneda
₤		lira | moneda
₥	mil	
₨		moneda | rupia
₰		moneda | penique | penique alemán | pfennig
₳		ARA | austral | moneda
₶		libra tornesa | moneda
₷		moneda | spesmilo
™		marca | marca comercial | registrada | símbolo | símbolo de marca comercial
←		flecha | flecha apuntando hacia la izquierda | izquierda
↑		arriba | flecha | flecha apuntando hacia arriba
→		derecha | flecha | flecha apuntado hacia la derecha | flecha apuntando hacia la derecha
↓		abajo | flecha | flecha apuntando hacia abajo
↔		flecha | flecha izquierda y derecha
