# CLDR symbol names for et: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	hüüumärk	hüüatus | hüüumärk
#	trellimärk	number | trellid | trellimärk | trellsilt
$	dollar	dollar | peeso | raha | USD
%	protsendimärk	protsendimärk | protsent
&	ja-märk	ampersand | ja | ja-märk
'	kirjutusmasina stiilis ülakoma	jutumärgid | kirjutusmasina stiilis ülakoma | ühekordsed jutumärgid | ülakoma | viide
)	lõpusulg	lõpusulg | sulg | sulud | ümarsulg
*	tärn	metamärk | täht | tärn
+	plussmärk	liitmine | pluss | plussmärk
,	koma	koma
-	sidekriips-miinus	keskkriips | kriips | miinus | sidekriips-miinus
.	punkt	lauselõpumärk | punkt
/	kaldkriips	kaldkriips | kaldu | kriips
:	koolon	koolon
;	semikoolon	semikoolon
<	väiksem kui	algusmärgend | märgend | väiksem kui
=	võrdusmärk	võrdne | võrdub | võrdusmärk
>	suurem kui	lõpumärgend | märgend | suurem kui
?	küsimärk	küsimärk | küsimus
@	kommertsmärk	ätt | ätt-märk | kommertsmärk
[	kandiline algussulg	kandiline algussulg | kandiline sulg | kantsulg | sulg
\	längkriips	kurakriips | längkriips
]	kandiline lõpusulg	kandiline lõpusulg | kandiline sulg | kantsulg | sulg
^	tsirkumfleks	aktsent | katus | rõhk | rööpnool | tsirkumfleks
_	alakriips	alajoon | alakriips | joon | kriips
`	graavis	graavis | hääldus | rõhk
{	loogeline algussulg	loogeline algussulg | loogeline sulg | looksulg | sulg
|	vertikaaljoon	joon | kriips | püstjoon | püstkriips | vertikaaljoon | vertikaalkriips
}	loogeline lõpusulg	loogeline lõpusulg | loogeline sulg | looksulg | sulg
~	tilde	tilde
¡	pöördhüüumärk	hüüatus | hüüumärk | pöördhüüumärk | tagurpidi
¢	sent	sent
£	nael	EGP | GBP | nael | valuuta
¤	määramata rahaühik	
¥	jeen	CNY | jeen | JPY | jüaan | valuuta
§	paragrahv	jaotis | osa | paragrahv
¨	täpid	täpid | treema
©	autoriõigus	autoriõigus | c
«	topeltnool vasakule	nurk | nurksulud | topeltnool vasakule | tsitaat | vasak | vasaknooled
¬	eitus	eitus | mitte
®	registreeritud	r | registreeritud
°	kraad	kraad | proov | tund
±	pluss-miinus	pluss-miinus
²	astmel 2	2 | aste | astmel 2 | ruudus
³	astmel 3	aste | astmel 3 | kolm | kuubis
´	akuut	akuut | rõhk | toon
µ	mikro märk	mikro | mikro märk | mõõtühik
¶	paragrahvimärk	paragrahv | paragrahvimärk
·	keskmine punkt	keskmine | punkt | vahepunkt
¹	astmel 1	aste | astmel 1 | üks
»	topeltnool paremale	nurk | nurksulud | parem | paremnooled | topeltnool paremale | tsitaat
¿	pöördküsimärk	küsimärk | küsimus | pöördküsimärk | tagurpidi
×	korrutusmärk	korda | korrutamine | korrutusmärk
÷	jagamismärk	jaga | jagamine | jagamismärk
֏	Armeenia dramm	
؋	Afganistani afgaani	
،	araabia koma	araabia | koma
؛	araabia semikoolon	araabia | semikoolon
؟	araabia küsimärk	araabia | küsimärk | küsimus
৳	Bangladeshi taka	
฿	Tai baat	
៛	Kambodža riaal	
‐	sidekriips	kriips | sidekriips
–	enn-kriips	enn-kriips | kriips | N | N-kriips
—	emm-kriips	emm-kriips | kriips | M | M-kriips
―	horisontaaljoon	horisontaaljoon | joon | kriips | mõttekriips
‘	vasakule kaldu ülakoma	jutumärgid | nutikad jutumärgid | ühekordsed jutumärgid | ülakoma | vasakule kaldu ülakoma | viide
’	paremale kaldu ülakoma	jutumärgid | nutikad jutumärgid | paremale kaldu ülakoma | ühekordsed jutumärgid | ülakoma | viide
‚	alumine ühekordne jutumärk	alumine jutumärk | alumine ühekordne jutumärk | jutumärgid | ühekordne jutumärk
“	vasakule kaldu jutumärk	jutumärgid | nutikad jutumärgid | tsitaat | vasakule kaldu jutumärk | viitamine
”	paremale kaldu jutumärk	jutumärgid | nutikad jutumärgid | paremale kaldu jutumärk | tsitaat | viitamine
„	alumine jutumärk	alumine jutumärk | jutumärgid | nutikad jutumärgid | tsitaat | viitamine
†	ristimärk	pistoda | rist | ristimärk
‡	topeltristi märk	pistoda | topelt | topeltristi märk
•	mumm	mumm | punkt
…	mõttepunktid	kolm punkti | mõttepunktid | väljajätt
‧	poolituspunkt	kriips | poolitusmärk | poolituspunkt | punkt
‰	promillimärk	promill | promillimärk
′	priim	priim
″	topeltpriim	priim | topeltpriim
‴	kolmekordne priim	kolmekordne priim | priim
‸	katus	katus
※	viitemärk	viitemärk
‼	topelthüüumärk	! | !! | hüüumärk | kirjavahemärk | märk | topelt
‽	interrobang	interabang | interrobang
‾	ülakriips	ülakriips
⁂	asterism	asterism | dinkus | tähed
⁄	murru kaldkriips	kaldkriips | kriips | murru kaldkriips
⁉	küsimärgiga hüüumärk	! | !? | ? | hüüumärk | küsimärgiga hüüumärk | küsimärk
⁻	ülamiinus	miinus | ülakiri | ülamiinus
₡	Costa Rica koloon	
₢	kruseiro	kruseiro
₣	Prantsuse frank	Prantsuse frank
₤	liir	liir | valuuta
₥	mill	mil | mill
₦	Nigeeria naira	
₧	Hispaania peseeta	
₨	ruupia	ruupia | valuuta
₩	vonn	KPW | KRW | vonn
₪	Iisraeli uus seekel	
₫	Vietnami dong	
€	euro	EUR | euro | valuuta
₭	Laose kiip	
₮	Mongoolia tugrik	
₰	Saksa penn	penn | pfennig | saksa | valuuta
₱	peeso	peeso
₲	Paraguay guaranii	
₳	austral	ARA | austral | valuuta
₴	Ukraina grivna	
₵	Ghana sedi	
₶	Toursi livr	livr | Toursi | valuuta
₷	spesmilo	spesmilo | valuuta
₸	Kasahstani tenge	
₹	India ruupia	India ruupia | valuuta
₺	Türgi liir	
₼	Aserbaidžaani manat	
₽	rubla	rubla | valuuta
₾	Gruusia lari	
₿	bitcoin	bitcoin | BTC
℗	helisalvestise autoriõigus	autoriõigus | heli | helisalvestise autoriõigus | salvestamine
™	kaubamärk	kaubamärk | märk
ℹ	teabeallikas	i | info | teabeallikas | teave
←	vasaknool	nool | vasak | vasaknool
↑	ülesnool	nool | üles | ülesnool
→	paremnool	nool | parem | paremnool
↓	allanool	alla | allanool | nool
↔	nool paremale-vasakule	nool | nool paremale-vasakule
↕	nool üles-alla	nool | nool üles-alla
↖	nool üles vasakule	loe | nool | nool üles vasakule | suund
↗	nool üles paremale	kirre | nool | nool üles paremale | suund
↘	nool alla paremale	kagu | nool | nool alla paremale | suund
↙	nool alla vasakule	edel | nool | nool alla vasakule | suund
↚	sirge vasaknool	sirge vasaknool
↛	sirge paremnool	sirge paremnool
↜	laineline vasaknool	laineline vasaknool
↝	laineline paremnool	laineline paremnool
↞	kahe peaga vasaknool	kahe peaga vasaknool
↟	kahe peaga ülesnool	kahe peaga ülesnool
↠	kahe peaga paremnool	kahe peaga paremnool
↡	kahe peaga allanool	kahe peaga allanool
↢	sabaga vasaknool	sabaga vasaknool
↣	sabaga paremnool	sabaga paremnool
↤	vasakule nool ribast	vasakule nool ribast
↥	ülesnool ribast	ülesnool ribast
↦	paremale nool ribast	nool | paremale | riba
↧	allanool ribast	allanool ribast
↨	ülesnool alusega	ülesnool alusega
↩	kaardus nool vasakule	kaardus nool vasakule | nool | vasak
