# CLDR symbol names for eu: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	harridura-marka	harridura | harridura-marka | kolpea
#	traola	hashtaga | traol-hitza | traola
$	dolarra	dirua | dolarra | pesoa | USD
%	ehunekoa	ehuneko | ehunekoa
&	eta-ikurra	eta | eta-ikurra
'	kakotx zuzena	apostrofoa | kakotx bakuna | kakotx zuzena | kakotxa
)	eskuineko parentesia	eskuineko parentesia | parentesia
*	izartxoa	izarra | izartxoa | komodina
+	plus-ikurra	gehitu | plus | plus-ikurra
,	koma	koma
-	minus-marra	marra | marratxoa | minus | minus-marra
.	puntua	puntua
/	barra zeiharra	barra | zeiharra
:	bi puntu	bi puntu
;	puntu eta koma	puntu eta koma
<	hau baino txikiagoa	etiketa | hau baino txikiagoa | itxi etiketa
=	berdin	berdin | berdin-ikurra
>	hau baino handiagoa	etiketa | hau baino handiagoa | itxi etiketa
?	galdera-marka	galdera | galdera-marka
@	a bildua	a bildua | arroba
[	ezkerreko kako zuzena	ezkerreko kako zuzena | kako zuzena | kakoa
\	alderantzizko barra	alderantzizko barra | alderantzizko solidus
]	eskuineko kako zuzena	eskuineko kako zuzena | kako zuzena | kakoa
^	azentu zirkunflexua	azentu zirkunflexua | azentua | txapela | zirkunflexua
_	beheko marra	azpimarra | beheko marra | marra
`	azentu kamutsa	azentu kamutsa | azentua | kamutsa | tonua
{	ezkerreko giltza	ezkerreko giltza | giltza
|	lerro bertikala	barra | barra bertikala | lerro bertikala | lerroa
}	eskuineko giltza	eskuineko giltza | giltza
~	tileta	tileta
¡	harridura-marka alderantzikatua	alderantzikatua | harridura | harridura-marka | kolpea
¢	zentaboa	zentaboa
£	libera	diru | EGP | GBP | libera
¤	moneta ezezaguna	
¥	yena	CNY | diru | JPY | yen | yena | yuan
§	sekzioa	paragrafo | sekzio | sekzioa | zati
¨	dieresia	dieresia
©	copyrighta	C | copyrighta
«	ezkerreko komatxoak	azentu zirkunflexu | ezkerra | ezkerreko komatxo | ezkerreko komatxoak | komatxo | kortxete | xebroi
¬	ezezkoa	ez | ezezkoa
®	marka erregistratua	erregistratu | erregistratuta | marka erregistratua | R
°	gradu	froga | gradu | ordu
±	plus-minus	plus-minus
²	goi-indizeko bi	bi | goi-indize | goi-indizeko bi
³	goi-indizeko hiru	goi-indize | goi-indizeko hiru | hiru | kubiko
´	azentu zorrotza	azentu zorrotza | azentua | tonua | zorrotza
µ	mikro-ikurra	mikro-ikur | mikro-ikurra | neurketa
¶	paragrafo-marka	paragrafo-marka | paragrafoa
·	erdiko puntua	erdia | erdiko puntu | erdiko puntua | puntu
¹	goi-indizeko bat	bat | goi-indize | goi-indizeko bat
»	eskuineko komatxoak	azentu zirkunflexu | eskuina | eskuineko komatxo | eskuineko komatxoak | komatxo | kortxete | xebroi
¿	galdera-marka alderantzikatua	alderantzikatua | galdera | galdera-marka
×	biderketa-ikur	aldiak | biderkatu | biderketa | biderketa-ikur
÷	zatiketa-ikur	zatiketa | zatiketa-ikur | zatitu
֏	dram armeniarra	
؋	afgani afganiarra	
،	koma arabiarra	arabiarra | koma
؛	puntu eta koma arabiarra	arabiarra | puntu eta koma | puntu eta koma arabiarra
؟	galdera-marka arabiarra	arabiarra | galdera | galdera-marka
৳	taka bangladeshtarra	
฿	baht thailandiarra	
៛	riel kanbodiarra	
‐	marratxoa	marra | marratxoa
–	marra laburra	labur | marra | marra laburra
—	marra luzea	luze | marra | marra luzea
―	barra horizontala	barra | barra horizontala | lerroa | marra
‘	ezkerreko apostrofoa	apostrofoa | ezkerreko apostrofoa | kakotx adimenduna | kakotx bakuna | kakotxa
’	eskuineko apostrofoa	apostrofoa | eskuineko apostrofoa | kakotx adimenduna | kakotx bakuna | kakotxa
‚	beheko eskuineko apostrofoa	apostrofoa | beheko eskuineko apostrofoa | beheko komatxoa | komatxoa
“	ezkerreko komatxoa	ezkerreko komatxoa | kakotx bikoitza | kakotxa | komatxo adimenduna | komatxoa
”	eskuineko komatxoa	eskuineko komatxoa | kakotx bikoitza | kakotxa | komatxo adimenduna | komatxoa
„	beheko eskuineko komatxoa	beheko eskuineko komatxoa | beheko komatxoa | kakotx bikoitza | kakotxa | komatxo adimenduna | komatxoa
†	gurutzea	gurutze | gurutzea | obelisko
‡	gurutze bikoitza	bikoitz | gurutze | gurutze bikoitza | obelisko
•	bulleta	bullet | bulleta | puntu
…	elipsia	elipsia | puntuak
‧	hitzak bereizteko puntua	hitzak bereizteko puntua | marra | marratxoa | puntua
‰	milakoa	milako | milakoa
′	kakotxa	kakotxa
″	kakotx bikoitza	kakotx bikoitza | kakotxa
‴	kakotx hirukoitza	kakotx hirukoitza | kakotxa
‸	caret-a	caret | caret-a
※	erreferentzia-marka	erreferentzia-marka
‼	harridura-marka bikoitza	! | !! | harridura-marka bikoitza | marka
‽	interrobang-a	interabang | interrobang-a
‾	goi-marra	gain-marra | goi-marra | vinculum
⁂	asterismo	asterismo | izarrak
⁄	zatikiaren barra	barra okertu | marra | zatikiaren barra
⁉	harridura- eta galdera-ikurra	! | !? | ? | harridura- eta galdera-ikurra | marka
⁻	goi-indizeko minusa	goi-indize | goi-indizeko minusa | minus
₡	colon costarricarra	
₢	cruzeiro	BRB | cruzeiro | moneta
₣	libera frantsesa	libera | libera frantsesa | moneta
₤	lira	lira | moneta
₥	milarena	milarena
₦	naira nigeriarra	
₧	pezeta espainiarra	
₨	errupia	errupia | moneta
₩	wona	KPW | KRW | wona
₪	shekel israeldar berria	
₫	dong vietnamdarra	
€	euroa	diru | EUR | euro | euroa
₭	kip laostarra	
₮	tugrik mongoliarra	
₰	penny alemana	moneta | penny aleman | penny alemana | pfennig
₱	pesoa	pesoa
₲	guarani paraguaitarra	
₳	australa	ARA | australa | moneta
₴	hryvnia ukrainarra	
₵	cedi ghanatarra	
₶	Tourseko libera	moneta | Tourseko libera
₷	spesmiloa	moneta | spesmilo | spesmiloa
₸	tenge kazakhstandarra	
₹	errupia indiarra	diru | errupia | errupia indiar | errupia indiarra
₺	lira turkiarra	
₼	manat azerbaijandarra	
₽	errubloa	diru | errublo | errubloa
₾	lari georgiarra	
₿	bitcoina	bitcoina | BTC
℗	soinu-grabaketaren copyrighta	copyright | grabaketa | soinu | soinu-grabaketaren copyrighta
™	marka komertziala	komertzial | marka | marka komertziala | tm
ℹ	informazio-iturburua	i | informazio | informazio-iturburua
←	ezkerrera seinalatzen duen gezia	ezkerra | ezkerrera seinalatzen duen gezia | gezia
↑	gora seinalatzen duen gezia	gezia | gora | gora seinalatzen duen gezia
→	eskuinera seinalatzen duen gezia	eskuinera | eskuinera seinalatzen duen gezia | gezia
↓	behera seinalatzen duen gezia	behera | behera seinalatzen duen gezia | gezia
↔	ezkerrera eta eskuinera gezia	ezkerrera eta eskuinera gezia | gezi
↕	gora eta behera gezia	gezi | gora eta behera gezia
↖	gora eta ezkerrera gezia	gezi | gora eta ezkerrera gezia | ipar-mendebalde | kardinal arteko | norabide
↗	gora eta eskuinera gezia	gezi | gora eta eskuinera gezia | ipar-ekialde | kardinal arteko | norabide
↘	behera eta eskuinera gezia	behera eta eskuinera gezia | gezi | hego-ekialde | kardinal arteko | norabide
↙	behera eta ezkerrera gezia	behera eta ezkerrera gezia | gezi | hego-mendebalde | kardinal arteko | norabide
↚	ezkerrerako gezia trazuarekin	ezkerrerako gezia trazuarekin
↛	eskuinerako gezia trazuarekin	eskuinerako gezia trazuarekin
↜	ezkerrerako uhin-gezia	ezkerrerako uhin-gezia
↝	eskuinerako uhin-gezia	eskuinerako uhin-gezia
↞	ezkerrerako bi buruko gezia	ezkerrerako bi buruko gezia
↟	gorako bi buruko gezia	gorako bi buruko gezia
↠	eskuinerako bi buruko gezia	eskuinerako bi buruko gezia
↡	beherako bi buruko gezia	beherako bi buruko gezia
↢	ezkerrerako gezi buztanduna	ezkerrerako gezi buztanduna
↣	eskuinerako gezi buztanduna	eskuinerako gezi buztanduna
↤	ezkerrerako gezia barratik	ezkerrerako gezia barratik
↥	gorako gezia barratik	gorako gezia barratik
↦	eskuinerako gezia barratik	eskuinerako gezia barratik
↧	beherako gezia barratik	beherako gezia barratik
↨	gorako eta beherako gezia barratik	gorako eta beherako gezia barratik
↩	ezkerrera okertzen den eskuinera gezia	ezkerrera okertzen den eskuinera gezia | gezi
↪	eskuinera okertzen den ezkerrera gezia	eskuinera okertzen den ezkerrera gezia | gezi
↫	ezkerrerako gezia begiztarekin	ezkerrerako gezia begiztarekin
↬	eskuinerako gezia begiztarekin	eskuinerako gezia begiztarekin
↭	ezkerrerako uhin-gezia begiztarekin	ezkerrerako uhin-gezia begiztarekin
↮	ezkerrerako eta eskuinerako gezia trazuarekin	ezkerrerako eta eskuinerako gezia trazuarekin
↯	beherako gezia sigi-saga eginez	beherako gezia sigi-saga eginez | sigi-saga
↰	gorako gezia ezkerrako puntarekin	gorako gezia ezkerrako puntarekin
↱	gorako gezia eskuinerako puntarekin	gorako gezia eskuinerako puntarekin
↲	beherako gezia ezkerrako puntarekin	beherako gezia ezkerrako puntarekin
↳	beherako gezia eskuinerako puntarekin	beherako gezia eskuinerako puntarekin
↴	eskuinerako gezia beherako izkinarekin	eskuinerako gezia beherako izkinarekin
↵	beherako gezia ezkerrerako izkinarekin	beherako gezia ezkerrerako izkinarekin
↶	ezkerrerako goi-zirkuluerdiaren gezia	ezkerrerako goi-zirkuluerdiaren gezia
↷	eskuinerako goi-zirkuluerdiaren gezia	eskuinerako goi-zirkuluerdiaren gezia
↸	ipar-mendebaldeko gezia barra luzearekin	ipar-mendebaldeko gezia barra luzearekin
↹	ezkerrerako gezi barraduna eskuinerako gezi barradunaren gainean	barra | eskuinera | eskuinerantz | ezkerrera | ezkerrerako gezi barraduna eskuinerako gezi barradunaren gainean | ezkerrerantz | gezia
↺	ezkerrerako zirkuluerdi irekiaren gezia	ezkerrerako zirkuluerdi irekiaren gezia
↻	eskuinerako zirkuluerdi irekiaren gezia	eskuinerako zirkuluerdi irekiaren gezia
↼	ezkerrerako goiko arpoi-bizarra	bizarra | ezkerrerako goiko arpoi-bizarra
↽	ezkerrerako beheko arpoi-bizarra	ezkerrerako beheko arpoi-bizarra
↾	gorako eskuineko arpoi-bizarra	bizarra | gorako eskuineko arpoi-bizarra
↿	gorako ezkerreko arpoi-bizarra	bizarra | gorako ezkerreko arpoi-bizarra
⇀	eskuinerako goiko arpoi-bizarra	bizarra | eskuinerako goiko arpoi-bizarra
