# CLDR symbol names for fa: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	علامت تعجب	بنگ | تعجب | علامت تعجب
#	علامت هش	پوند | شماره | علامت هش | هش | هشتگ
$	دلار	پزو | پول | دلار | دلار آمریکا
%	درصد	در صد | درصد
&	نماد «و»	امپرساند | نماد «و» | و
'	آپاستروف ماشین تحریری	آپاستروف | آپاستروف ماشین تحریری | نقل قول | نقل قول مفرد
)	پرانتز بسته	پرانتز | پرانتز بسته | کمان | کمانک | کمانک گرد | کمان‌ها
*	علامت ستاره	ستاره | علامت ستاره | نویسۀ عمومی
+	علامت بعلاوه	اضافه | جمع | علامت بعلاوه
,	کاما	، | کاما
-	خط تیره-منها	خط تیره | خط تیره-منها | خط فاصله | منها
.	نقطه	توقف کامل | دات | نقطه
/	نشان ممیز	سهم | ضربه | کج‌خط | ممیز | مورب | نشان ممیز | ویرگول
:	دونقطه	دونقطه
;	نقطه‌ویرگول	نقطه-ویرگول | نقطه‌ویرگول
<	کوچکتر از	تگ | تگ باز | کوچکتر از
=	مساوی	برابر | مساوی
>	بزرگتر از	بزرگتر از | تگ | تگ بسته
?	علامت سؤال	سؤال | علامت سؤال
@	علامت اَت	آروبا | آروباز | آمپرست | ات‌ساین | ات‌مارک | استرودل | علامت اَت
[	کروشه باز	چنگک | کروشه | کروشه باز | کمانک
\	واکج‌خط	خط مورب وارونه | ممیز | واکج‌خط
]	کروشه بسته	چنگک | کروشه | کروشه بسته | کمانک
^	کُلاهک	آکسان | توان | چنبری | خمان | شورون | کلاهک | کُلاهک | کنترل | گوه | نشانه‌رو | هشتک
_	خط زیرین	خط | خط زیرین | خط فاصله | خط فاصله پایین | خط فاصله زیرین | زیرخط
`	اکسان گراو	اکسان | تون | گراو
{	آکولاد باز	آکلاد | آکولاد | آکولاد باز | بال‌پرنده‌ای | کروشه خمیده | کمانک
|	خط عمودی	چوب | خط | خط عمودی | دسته | ضربه | ضربه شفر | لوله | میله | نوار عمودی | وی‌بار
}	آکولاد بسته	آکلاد | آکولاد | آکولاد بسته | بال‌پرنده‌ای | کروشه خمیده
~	علامت مد	علامت مد | مد
¡	علامت تعجب وارونه	بنگ | تعجب | علامت تعجب | علامت تعجب وارونه | نشان تعجب | وارونه
¢	سنت	سنت
£	پوند	ارز | پوند | پوند انگلیس | پوند مصر
¤	ارز نامشخص	
¥	ین	ارز | ین | ین ژاپن | یوان | یوان چین
§	بخش	بخش | پاراگراف | جزء | نشان بخش
¨	اوملاوت	اوملاوت | ترما | دونقطه
©	حق نسخه‌برداری	حق تکثیر | حق چاپ | حق طبع و نشر | حق نسخه‌برداری | حق نشر | کپی رایت
«	گیومه بسته	جهت‌نما | چپ | کروشه | گوشه | گیومه بسته | نشان | نقل‌قول
¬	نقیض	نقیض | نیست
®	نشان تجاری ثبت‌شده	ثبت‌شده | علامت تجاری ثبت‌شده | نشان تجاری ثبت‌شده
°	درجه	خلوص | درجه | ساعت
±	به‌اضافه-منها	بعلاوه-منها | به‌اضافه-منها
²	عدد دو بالانگاشت	بالانگاشت | بالانوشت | توان ۲ | دو | زِبَرنوشت | عدد دو بالانگاشت
³	عدد سه بالانگاشت	بالانگاشت | توان ۳ | توان سه | زِبَرنوشت | سه | عدد سه بالانگاشت
´	اکسان اگو	اکسان | اگو | تون
µ	نشان میکرو	سنجه | نشان میکرو
¶	نشان پاراگراف	پاراف | علامت پاراگراف | نشان پاراگراف | نماد پاراگراف
·	نقطه میانی	میان‌نقطه | میانی | نقطه | نقطه‌گذاری میانی
¹	یک بالانوشت	بالانگاشت | بالانوشت | زِبَرنوشت | یک
»	گیومه باز	جهت‌نما | راست | کروشه | گوشه | گیومه باز | نشان | نقل‌قول
¿	علامت سؤال وارونه	سؤال | علامت سؤال | علامت سؤال وارونه | وارونه
×	علامت ضرب	چند برابر | ضرب | ضرب کردن | علامت ضرب
÷	علامت تقسیم	بخش کردن | تقسیم | تقسیم کردن | علامت تقسیم
֏	درام ارمنستان	
؋	افغانی افغانستان	
،	کامای عربی	عربی | کاما | کامای عربی
؛	دونقطه عربی	دونقطه عربی | عربی | نقطه-ویرگول
؟	علامت سؤال فارسی	سؤال | عربی | علامت سؤال | علامت سؤال عربی | علامت سؤال فارسی
৳	تاکای بنگلادش	
฿	بات تایلند	
៛	ری‌یل کامبوج	
‐	خط پیوند	خط پیوند | خط فاصله
–	خط‌فاصله کوتاه	خط‌فاصله | کوتاه
—	خط‌فاصله بلند	بلند | خط‌فاصله
―	نرده افقی	خط | خط فاصله | نرده افقی | نوار
‘	آپاستروف چپ	آپاستروف | آپاستروف چپ | نقل قول | نقل قول مفرد | نقل قول هوشمند
’	آپاستروف راست	آپاستروف | آپاستروف راست | نقل قول | نقل قول مفرد | نقل قول هوشمند
‚	آپاستروف پایین راست	آپاستروف | آپاستروف پایین راست | نقل قول | نقل قول پایین
“	علامت نقل قول چپ	علامت نقل قول چپ | گفتاورد | گفتاورد هوشمند | نقل قول | نقل قول دوتایی
”	علامت نقل قول راست	علامت نقل قول راست | گفتاورد | گفتاورد هوشمند | نقل قول | نقل قول دوتایی
„	علامت نقل قول پایین راست	علامت نقل قول پایین راست | گفتاورد | گفتاورد پایین | گفتاورد هوشمند | نقل قول | نقل قول دوتایی
†	نشان چلیپا	تک‌ستون | چلیپا | نشان چلیپا
‡	نشان چلیپای دوگانه	تک‌ستون | چلیپا | دوگانه | نشان چلیپا | نشان چلیپای دوگانه
•	گلوله	گلوله | نقطه
…	سه‌نقطه	حذف | سه‌نقطه | نقاط
‧	نقطه خط تیره	خط تیره | خط فاصله | نقطه | نقطه خط تیره
‰	در هزار	در هزار | درهزار
′	پریم	پریم
″	دبل پریم	پریم | دبل پریم | زگوند
‴	تریپل پریم	پریم | تریپل پریم
‸	هشتک	هشتک
※	علامت مرجع	علامت مرجع
‼	علامت تعجب دوتایی	دو علامت تعجب | علامت تعجب | علامت تعجب دوتایی | علامت‌گذاری
‽	نقطه پرسشی	نقطه پرسشی
‾	رو خط	رو خط
⁂	سه ستاره	سه ستاره
⁄	خط مایل کسری	خط مایل کسری
⁉	علامت تعجب و سؤال	! | ؟! | علامت تعجب | علامت تعجب و سؤال | علامت سؤال | علامت‌گذاری
⁻	منفی زِبَرنوشت، منفی برنوشته	زِبَرنوشت، برنوشته | منفی | منفی زِبَرنوشت، منفی برنوشته
₡	کولون کاستاریکا	
₢	کروزیرو	کروزیرو
₣	فرانک فرانسه	فرانک فرانسه
₤	لیره	لیره
₥	میلیون	میلیون
₦	نایرای نیجریه	
₧	پزتای اسپانیا	
₨	روپیه	روپیه
₩	وون	وون | وون کرۀ جنوبی | وون کرۀ شمالی
₪	شِکِل جدید اسرائیل	
₫	دانگ ویتنام	
€	یورو	ارز | یورو
₭	کیپ لائوس	
₮	توگریک مغولستان	
₰	پنی آلمانی	پنی آلمانی
₱	پزو	پزو
₲	گوارانی پاراگوئه	
₳	آئوسترال	آئوسترال
₴	هریونیای اوکراین	
₵	سدی غنا	
₶	لیور تورنوا	لیور تورنوا
₷	اسپسمیلو	اسپسمیلو
₸	تنگهٔ قزاقستان	
₹	روپیه هند	ارز | روپیه | روپیه هند
₺	لیرهٔ ترکیه	
₼	منات جمهوری آذربایجان	
₽	روبل	ارز | روبل
₾	لاری گرجستان	
₿	بیت‌کوین	BTC | بیت‌کوین
℗	حق نسخه‌برداری برای ضبط صدا	حق نسخه‌برداری | حق نسخه‌برداری برای ضبط صدا | صدا | ضبط کردن
™	نماد بازرگانی	TM | تی‌ام | علامت | علامت تجاری | علامت تجاری ثبت شده | نشان تجاری | نماد بازرگانی
ℹ	اطلاعات	i | اطلاعات
←	پیکان روبه چپ	پیکان | پیکان روبه چپ | چپ
↑	پیکان روبه بالا	بالا | پیکان | پیکان روبه بالا
→	پیکان روبه راست	پیکان | پیکان روبه راست | راست
↓	پیکان روبه پایین	پایین | پیکان | پیکان روبه پایین
↔	پیکان دوطرفه	پیکان | پیکان دوطرفه
↕	پیکان بالا و پایین	پیکان | پیکان بالا و پایین
↖	پیکان بالا چپ	پیکان | پیکان بالا چپ | جهت فرعی | شمال غربی | مسیر
↗	پیکان بالا راست	پیکان | پیکان بالا راست | جهت فرعی | شمال شرقی | مسیر
↘	پیکان پایین راست	پیکان | پیکان پایین راست | جنوب شرقی | جهت فرعی | مسیر
↙	پیکان پایین چپ	پیکان | پیکان پایین چپ | جنوب غربی | جهت فرعی | مسیر
↚	پیکان به سمت چپ در کنار خط اریب	پیکان به سمت چپ در کنار خط اریب
↛	پیکان به سمت راست در کنار خط اریب	پیکان به سمت راست در کنار خط اریب
↜	پیکان موجی به سمت چپ	پیکان موجی به سمت چپ
↝	پیکان موجی به سمت راست	پیکان موجی به سمت راست
