# CLDR symbol names for fi: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	huudahdus	huudahdus | huutomerkki | pamaus | parahdus
#	ristikkomerkki	hashtag | lb | numero | pauna | ristikko | ristikkomerkki
$	dollari	dollari | peso | raha | USD
%	prosentti	prosentti
&	et-merkki	et | et-merkki | ja
'	koneheittomerkki	heittomerkki | koneheittomerkki | lainaus | puolilainausmerkki
)	oikea kaarisulje	kaarisulje | kaarisulku | oikea kaarisulje | sulje | sulkeet | sulkeva | sulkumerkki | sulut
*	asteriski	asteriski | tähti | tähtimerkki
+	plus	lisätä | plus | plusmerkki | summa
,	pilkku	desimaalierotin | pilkku
-	miinusviiva	miinus | miinusviiva | tavuviiva | viiva
.	piste	piste
/	kauttaviiva	kauttaviiva | vino | vinoviiva
:	kaksoispiste	kaksoispiste
;	puolipiste	puolipiste
<	pienempi kuin	kulmasulje | pienemmyysmerkki | pienempi kuin | vasen kulmasulje
=	yhtä suuri kuin	yhtä suuri kuin | yhtäsuuruusmerkki
>	suurempi kuin	kulmasulje | oikea kulmasulje | suuremmuusmerkki | suurempi kuin
?	kysymys	kysymys
@	ät-merkki	ät-merkki | kissanhäntä | miukumauku
[	vasen hakasulje	alkava | hakasulje | hakasulku | sulje | sulkeet | sulkumerkki | vasen hakasulje
\	kenoviiva	käänteinen kauttaviiva | kenoviiva
]	oikea hakasulje	hakasulje | hakasulku | oikea hakasulje | sulje | sulkeet | sulkeva | sulkumerkki
^	sirkumfleksi	hattu | sirkumfleksi | tarke | ylöspäin osoittava nuolenkärki
_	alaviiva	alaviiva | viiva
`	gravis	gravis | tarke
{	vasen aaltosulje	aaltosulje | aaltosulku | alkava | sulje | sulkeet | sulkumerkki | vasen aaltosulje
|	pystyviiva	jakaa | palkki | putki | pystyviiva | Shefferin viiva | vbar | viiva
}	oikea aaltosulje	aaltosulje | aaltosulku | alkava | oikea aaltosulje | sulje | sulkeet | sulkumerkki
~	tilde	aaltoviiva | tilde
¡	käänteinen huutomerkki	huudahdus | huutomerkki | käänteinen | pamaus
¢	sentti	sentti
£	punta	GBP | punta | valuutta
¤	tuntematon rahayksikkö	
¥	jeni	jeni | JPY | juan | valuutta
§	pykälämerkki	kappale | osa | pykälämerkki
¨	treema	diereesi | treema | umlaut
©	tekijänoikeusmerkki	C | tekijänoikeus | tekijänoikeusmerkki
«	vasen kulmalainausmerkki	kaksoisnuoli | kulma | kulmalainausmerkki | lainausmerkki | poisjääntimerkit | vasen
¬	negaatio	negaatio | vastakohta
®	rekisteröity-merkki	R | rekisteröity | rekisteröity-merkki
°	aste	aste | tunti | vastaavuus
±	plus-miinus	plus-miinus | plus-miinusmerkki
²	yläindeksi kaksi	kaksi | neliö | yläindeksi
³	yläindeksi kolme	kolme | kuutio | yläindeksi
´	akuutti	akuutti | tarke
µ	mikromerkki	mikro-merkki | mikromerkki | mitta | myy
¶	kappalemerkki	alinea | kapp. | kappale | kappaleen merkki | kappalemerkki
·	rivinkeskinen piste	piste | piste keskellä | rivinkeskinen piste
¹	yläindeksi yksi	yksi | yläindeksi
»	oikea kulmalainausmerkki	kaksoisnuoli | kulma | kulmalainausmerkki | lainausmerkki | oikea | poisjääntimerkit
¿	käänteinen kysymysmerkki	käänteinen | kysymys | kysymysmerkki
×	kertolaskumerkki	kerro | kertaa | kertolasku | kertolaskumerkki | kertomerkki
÷	jakolaskumerkki	jaa | jakolasku | jakolaskumerkki | jakomerkki
֏	Armenian dram	
؋	Afganistanin afgaani	
،	arabialainen pilkku	arabialainen | pilkku
؛	arabialainen puolipiste	arabialainen | puolipiste
؟	arabialainen kysymysmerkki	arabialainen | kysymys | kysymysmerkki
৳	Bangladeshin taka	
฿	Thaimaan baht	
៛	Kambodžan riel	
‐	yhdysviiva	tavuviiva | yhdysviiva
–	lyhyt ajatusviiva	ajatusviiva | lyhyt ajatusviiva | n-viiva | viiva
—	pitkä ajatusviiva	ajatusviiva | m-viiva | pitkä ajatusviiva | viiva
―	vaakaviiva	tavuviiva | vaakaviiva | väliviiva | viiva
‘	vasen heittomerkki	apostrofi | heittomerkki | lainaus | puolilainausmerkki | vasen heittomerkki
’	oikea heittomerkki	apostrofi | heittomerkki | lainaus | oikea heittomerkki | puolilainausmerkki
‚	oikea alaheittomerkki	alaheittomerkki | apostrofi | lainaus | oikea alaheittomerkki
“	vasen lainausmerkki	heittomerkki | lainaus | lainausmerkki | vasen lainausmerkki
”	oikea lainausmerkki	heittomerkki | lainaus | lainausmerkki | oikea lainausmerkki
„	oikea alalainausmerkki	alalainausmerkki | kokolainausmerkki | lainaus | oikea alalainausmerkki
†	ristimerkki	risti | ristimerkki
‡	kaksoisristimerkki	kaksoisristi | kaksoisristimerkki | risti | ristimerkki
•	luettelomerkki	luetelmapallo | luettelomerkki | piste
…	kolme pistettä	ellipsi | kolme pistettä | pistekolmikko
‧	tavupiste	tavu | tavupiste | väli | viiva
‰	promille	promille
′	yläpuolinen indeksointipilkku	yläpuolinen indeksointipilkku
″	kaksinkertainen yläpuolinen indeksointipilkku	kaksinkertainen yläpuolinen indeksointipilkku | yläpuolinen indeksointipilkku
‴	kolminkertainen yläpuolinen indeksointipilkku	kolminkertainen yläpuolinen indeksointipilkku | yläpuolinen indeksointipilkku
‸	poisjääntimerkki	poisjääntimerkki
※	viitemerkki	viitemerkki
‼	kaksoishuutomerkki	2 | huutomerkki | kaksoishuutomerkki | merkki | välimerkki
‽	kysymys-huutomerkki	kysymys-huutomerkki
‾	ylleviivaus	ylleviivaus
⁂	asterismi	asterismi | kolme tähteä
⁄	murtoluvun vinoviiva	murtoluvun vinoviiva
⁉	huuto-kysymysmerkki	2 | huuto-kysymysmerkki | huutomerkki | kysymysmerkki | merkki | välimerkki
⁻	yläindeksi miinus	miinus | yläindeksi
₡	Costa Rican colón	
₢	cruzeiro	BRB | cruzeiro | valuutta
₣	Ranskan frangi	frangi | Ranskan frangi | valuutta
₤	liira	liira | valuutta
₥	milli	milli
₦	Nigerian naira	
₧	Espanjan peseta	
₨	rupia	rupia | valuutta
₩	won	KPW | KRW | won
₪	Israelin uusi sekeli	
₫	Vietnamin dong	
€	euro	EUR | euro | valuutta
₭	Laosin kip	
₮	Mongolian tugrik	
₰	Saksan penni	pfennig | Saksan penni | valuutta
₱	peso	peso
₲	Paraguayn guarani	
₳	austral	ARA | austral | valuutta
₴	Ukrainan hryvnia	
₵	Ghanan cedi	
₶	Toursin livre	Toursin livre | valuutta
₷	spesmilo	spesmilo | valuutta
₸	Kazakstanin tenge	
₹	Intian rupia	INR | Intian rupia | rupia | valuutta
₺	Turkin liira	
₼	Azerbaidžanin manat	
₽	rupla	RUB | rupla | valuutta
₾	Georgian lari	
₿	bitcoin	bitcoin
℗	äänitteen tekijänoikeus	ääni | äänite | äänitteen tekijänoikeus | tekijänoikeus
™	tavaramerkki	merkki | tavaramerkki | TM
ℹ	info	i | info | info-piste | tietoja
←	vasemmalle osoittava nuoli	nuoli | vasemmalle | vasemmalle osoittava nuoli
↑	ylös osoittava nuoli	nuoli | ylös | ylös osoittava nuoli
→	oikealle osoittava nuoli	nuoli | oikealle | oikealle osoittava nuoli
↓	alas osoittava nuoli	alas | alas osoittava nuoli | nuoli
↔	nuoli oikealle ja vasemmalle	nuoli | nuoli oikealle ja vasemmalle | suunta
↕	nuoli ylös ja alas	nuoli | nuoli ylös ja alas | suunta
↖	nuoli ylävasemmalle	ilmansuunta | luode | nuoli | nuoli ylävasemmalle | väli-ilmansuunta
↗	nuoli yläoikealle	ilmansuunta | koillinen | nuoli | nuoli yläoikealle | väli-ilmansuunta
↘	nuoli alaoikealle	ilmansuunta | kaakko | nuoli | nuoli alaoikealle | väli-ilmansuunta
↙	nuoli alavasemmalle	ilmansuunta | lounas | nuoli | nuoli alavasemmalle | väli-ilmansuunta
↚	vasemmalle vetävä nuoli	vasemmalle vetävä nuoli
↛	oikealle vetävä nuoli	oikealle vetävä nuoli
↜	aaltonuoli vasemmalle	aaltonuoli vasemmalle
↝	aaltonuoli oikealle	aaltonuoli oikealle
↞	kaksipäinen nuoli vasemmalle	kaksipäinen nuoli vasemmalle
↟	kaksipäinen nuoli ylös	kaksipäinen nuoli ylös
↠	kaksipäinen nuoli oikealle	kaksipäinen nuoli oikealle
↡	kaksipäinen nuoli alas	kaksipäinen nuoli alas
↢	hahlonuoli vasemmalle	hahlonuoli vasemmalle
↣	hahlonuoli oikealle	hahlonuoli oikealle
↤	nuoli palkista vasemmalle	nuoli palkista vasemmalle
↥	nuoli palkista ylös	nuoli palkista ylös
↦	nuoli palkista oikealle	nuoli palkista oikealle
