# CLDR symbol names for fil: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	tandang pandamdam	tandang pandamdam
#	hash sign	hash sign
$	dolyar	dolyar | pera | peso | piso | USD
%	porsiyento	porsiyento
&	ampersand	ampersand
'	makinilyang apostrope	apostrophe | makinilyang apostrope | panipi | single quote | typewriter apostrophe
)	pansarang panaklong	bracket | panaklong | pansarang panaklong | paren | parens | round bracket
*	asterisk	asterisk | bituin | wildcard
+	tanda ng pagdaragdag	tanda ng pagdaragdag
,	kuwit	kuwit
-	gitling- pananda ng pagbabawas	gatlang | gitling | gitling na minus | gitling- pananda ng pagbabawas | minus
.	tuldok	buong hinto | tuldok
/	slash	slash
:	tutuldok	tutuldok
;	tuldok-kuwit	tuldok-kuwit
<	mas mababa sa	mas mababa sa
=	katumbas	equal | katumbas
>	mahigit sa	mahigit sa
?	tandang pananong	tandang pananong | tanong
@	at-sign	ampersat | arobase | arroba | at na simbolo | at sign | at-sign | commercial at | simbolong at | strudel
[	bukas na kuwadradong bracket	bracket | bukas na kuwadradong bracket | crotchet | kuwadradong bracket
\	backslash	backslash | baligtad na solidus | hiwa
]	saradong kuwadradong bracket	bracket | crotchet | kuwadradong bracket | saradong kuwadradong bracket
^	circumflex accent	accent | chevron | circumflex | control | karit | pakupya | pointer | power | wedge | xor na simbolo
_	mababang linya	gatlang | linya | mababang gatlang | mababang linya | salungguhit | underdash
`	grave accent	accent | grave | tono
{	bukas na kulot na bracket	brace | bracket | bukas na kulot na bracket | gullwing | kulot na brace | kulot na bracket
|	patayong linya	patayong linya
}	saradong kulot na braket	brace | bracket | gullwing | kulot na brace | kulot na bracket | saradong kulot na bracket | saradong kulot na braket
~	tilde	tilde
¡	baligtad na tandang pandamdam	baligtad na tandang pandamdam
¢	sentimo	sentimo
£	pound	EGP | GBP | pera | pound
¤	Hindi Kilalang Pera	
¥	yen	CNY | JPY | pera | yen | yuan
§	seksyon	bahagi | seksyon | silcrow | talata
¨	diaeresis	diaeresis | tréma | umlaut
©	karapatang magpalathala	copyright | karapatan | karapatang magpalathala | magpalathala | pag-aari
«	pakaliwang guillemet	anggulo | chevron | kaliwa | mga bracket | mga caret | pakaliwang guillemet | quote
¬	negasyon	negasyon
®	rehistrado	legal | rehistrado
°	degree	degree | oras | proof
±	dagdag-bawas	dagdag-bawas
²	superscript na dalawa	dalawa | squared | superscript | superscript na dalawa
³	superscript na tatlo	cubed | superscript | superscript na tatlo | tatlo
´	acute accent	accent | acute | tono
