# CLDR symbol names for fo: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	rópitekn	róp | rópitekn | útróp
#	tvíkrossmerki	fýrakantur | hash | tvíkrossur
$	dollari	dollar | dollari | gjaldoyra
%	prosent	prosent
&	teknið og	& | og | teknið og
'	apostrofa	apostrofa | burturfalsmerki | hvørsfalsmerki
)	klomba endar	klomba | klomba endar | klombur
*	asteriskur	algildistekn | asterisk | asteriskur | stjørna
+	plussmerki	merki | pluss | plussmerki | tekin
,	komma	komma
-	minus bindistrika	bindistrika | minus | strika
.	punktum	prikkur | punktum
/	skrástrika	framskák | skákstrika | skrástrika
:	kolon	kolon
;	semikolon	semikolon
<	minni enn	minni | minni enn
=	javnamerki	javnamerki | javnatekn | javnlíkt | javnstórt | ligvið | ligviðstekn | tekin
>	størri enn	størri | størri enn
?	spurnartekn	spurnartekn | spurningur
@	kurla	at | kurla
[	hornklomba byrjar	hornklomba | hornklomba byrjar | klomba | klombur
\	bakskák	bakskák | skákstrika | skrástrika
]	hornklomba endar	hornklomba | hornklomba endar | klomba | klombur
^	tvíbroddur	hattur | sirkumfleks | tvíbroddur
_	lág strika	lág | strika | undirstriking
`	bakbroddur	bakbroddur | djúpur | tóni | tónleikur
{	purluklomba byrjar	klomba | klombur | purluklomba byrjar | purlut
|	loddrøtt strika	linja | loddrøtt strika | strika
}	purluklomba endar	klomba | klombur | purluklomba endar | purlut
~	tilda	tilda
¡	øvut rópitekn	øvut | róp | rópitekn | útróp
¢	sentur	cent | gjaldoyra | sentur
£	sterlingspund	gjaldoyri | pund | sterlingspund
¤	Ókent gjaldoyra	
¥	jenn	gjaldoyra | jenn | jennur | yen
§	brot	brot | partur
¨	tvíprikkur	diaeresis | trema | tvíprikkur
©	upphavsrættur	c | upphavsrætt | upphavsrættur
«	vinstra serlig gásareygu	fronsk | gásareygu | talutekn | vinstra serlig gásareygu
¬	negasjón	negasjón | noktan | sýtan
®	skrásett	r | skrásett | skrásettur
°	stig	prógv | stig
±	pluss-minusmerki	merki | minus | pluss | pluss-minus | tekin
²	háskrift tvey	ferningur | háskrift | kvadrat | tvey
³	háskrift trý	háskrift | rúmtal | trý
´	frambroddur	frambroddur | spískur | tóni | tónleikur
µ	mikrotekin	mikro | tekin
¶	reglubrottekn	reglubrot | reglubrottekn
·	miðprikkur	mið | miðprikkur | prikkur
¹	háskrift eitt	eitt | háskrift
»	høgra serlig gásareygu	fronsk | gásareygu | talutekn | vinstra serlig gásareygu
¿	øvut spurnartekn	øvut | spurnartekn | spurningur
×	faldingarmerki	falda | faldingarmerki | ganga | merki | tekin
÷	býtingarmerki	býta | býtingarmerki | merki | tekin
֏	Armenia dram	
