# CLDR symbol names for fr: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	point d’exclamation	exclamation | point d’exclamation
#	symbole dièse	croisillon | dièse | hash | numéro | symbole dièse
$	dollar	argent | dollar | peso | USD
%	pourcent	pour cent | pourcent
&	esperluette	and | esperluette | et
'	apostrophe dactylographique	apostrophe | apostrophe dactylographique | guillemet | guillemet simple
)	parenthèse fermante	parenthèse | parenthèse fermante | parenthèses
*	astérisque	astérisque | caractère générique | étoile
+	signe plus	ajouter | plus | signe plus
,	virgule	virgule
-	trait d’union-moins	moins | tiret | trait d’union | trait d’union-moins
.	point	point | point final
/	slash	barre de division | barre de fraction | barre oblique | oblique | slash
:	deux-points	deux-points
;	point-virgule	point-virgule
<	inférieur à	chevron | chevron ouvrant | inférieur à
=	égal	égal | est égal
>	supérieur à	chevron | chevron fermant | supérieur à
?	point d’interrogation	point d’interrogation | question
@	arobase	a commercial | arobase | arroba | arrobe | signe at | symbole at
[	crochet ouvrant	crochet | crochet ouvrant | crochets
\	antislash	antislash | barre oblique inversée | oblique
]	crochet fermant	crochet | crochet fermant | crochets
^	accent circonflexe	accent circonflexe | caret | chapeau | chevron | circonflexe | puissance | symbole xor
_	trait de soulignement	ligne | tiret | tiret bas | trait de soulignement
`	accent grave	accent grave | grave
{	accolade ouvrante	accolade | accolade ouvrante | accolades
|	ligne verticale	barre | barre de Sheffer | barre verticale | ligne verticale | trait | tube
}	accolade fermante	accolade | accolade fermante | accolades
~	tilde	tilde
¡	point d’exclamation inversé	exclamation | inversé | point d’exclamation | point d’exclamation inversé
¢	cent	cent
£	livre	devise | EGP | GBP | livre
¤	devise inconnue ou non valide	
¥	yen	CNY | devise | JPY | yen | yuan
§	section	paragraphe | partie | section | symbole
¨	diérèse	diérèse | tréma | umlaut
©	symbole copyright	© | c | copyright | droits d’auteur | propriété intellectuelle | symbole copyright | symbole Copyright
«	guillemet gauche	anti-lambda | chevron | citation | crochet oblique | crochets | gauche | guillemet gauche
¬	négation	négation | non
®	marque déposée	® | marque commerciale | marque déposée | r
°	degré	degré | heure | preuve
±	plus-moins	plus-moins
²	exposant deux	au carré | deux | exposant
³	exposant trois	au cube | exposant | trois
´	accent aigu	accent | aigu | ton
µ	symbole micro	mesure | symbole micro
¶	marque de paragraphe	alinéa | marque de paragraphe | paragraphe | paraphe | pied-de-mouche
·	point médian	médian | milieu | point
¹	exposant un	exposant | un
»	guillemet droit	anti-lambda | chevron | citation | crochet oblique | crochets | droit | guillemet droit
¿	point d’interrogation inversé	inversé | point d’interrogation | point d’interrogation inversé | question
×	signe de multiplication	fois | multiplication | multiplier | signe de multiplication
÷	signe de division	diviser | division | obélus | signe de division
֏	dram arménien	
؋	afghani afghan	
،	virgule arabe	arabe | virgule
؛	point-virgule arabe	arabe | point-virgule
؟	point d’interrogation arabe	arabe | point d’interrogation | point d’interrogation arabe | question
৳	taka bangladeshi	
฿	baht thaïlandais	
៛	riel cambodgien	
‐	trait d’union	tiret | trait d’union
–	tiret demi-cadratin	demi-cadratin | tiret
—	tiret cadratin	cadratin | tiret
―	barre horizontale	barre | barre horizontale | ligne | tiret
‘	apostrophe gauche	apostrophe | apostrophe gauche | guillemet | guillemet simple | guillemet typographique
’	apostrophe droite	apostrophe | apostrophe droite | guillemet | guillemet simple | guillemet typographique
‚	apostrophe droite basse	apostrophe | apostrophe droite basse | guillemet | guillemet inférieur
“	guillemet droit gauche	guillemet | guillemet double | guillemet droit gauche | guillemets | guillemets doubles
”	guillemet droit droit	guillemet | guillemet double | guillemet droit droit | guillemets | guillemets typographiques
„	guillemet droit bas	guillemet | guillemet double | guillemet droit bas | guillemets | guillemets bas | guillemets typographiques
†	obèle	dague | obèle | obélus
‡	double obèle	dague | double | obèle | obélus
•	puce	point | puce
…	points de suspension	ellipse | points de suspension | suspension
‧	point de coupure de mot	point | point de coupure de mot | tiret | union
‰	pour mille	par mille | pour mille
′	prime	prime
″	double prime	double prime | prime
‴	triple prime	prime | triple prime
‸	caret	caret
※	marque de référence	marque de référence
‼	double point d’exclamation	! | !! | double point d’exclamation | exclamation | point | ponctuation | surprise
‽	point exclarrogatif	point exclarrogatif
‾	trait suscrit	trait suscrit
⁂	astérisme	astérisme
⁄	barre oblique de fraction	barre oblique de fraction
⁉	points d’exclamation et d’interrogation	! | !? | ? | exclamation | interrogation | point d’exclamation et d’interrogation | points d’exclamation et d’interrogation | ponctuation | question | surprise
⁻	exposant moins	exposant | moins
₡	colón costaricain	
₢	cruzeiro	cruzeiro | devise
₣	franc français	devise | franc | franc français
₤	lire	devise | lire
₥	mill	mil | mill
₦	naira nigérian	
₧	peseta espagnole	
₨	roupie	devise | roupie
₩	won	KPW | KRW | won
