# CLDR symbol names for fr_CA: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
#	croisillon	croisillon | dièse | lb | livre | numéro
%	pour cent	
&	perluète	esperluette | et | perluète | perluette
/	barre oblique	barre de division | barre de fraction | barre oblique | trait oblique
@		a commercial | arobas | arobase | arroba | arrobe
\	barre oblique inverse	barre oblique inverse | barre oblique inversée | oblique
^		accent | caret | chapeau | chevron | circonflexe | puissance | symbole xor
`		accent | grave
|		barre | barre de sheffer | barre verticale | ligne | ligne verticale | trait
¤	Devise inconnue	
¨	tréma	
©		© | c | copyright | droit d’auteur | symbole copyright
´		accent | aigu
¶	symbole du paragraphe	alinéa | paragraphe | paraphe | pied-de-mouche | symbole du paragraphe
×	multiplication	
÷	division	
…	ellipse	
‧	emplacement de coupure de mots	emplacement de coupure de mots | point | tiret | union
※	appel de note	appel de note | marque de référence
‽		exclarrogatif | point
‾		surlignéation | trait suscrit | vinculé
⁂		astérisme | étoiles
⁄		barre | fraction | oblique
₥		mill
₼	manat azerbaïdjanais	
™	marque de commerce	marque de commerce | marque déposée | md
ℹ	informations	i | informations
↔	flèche pointant à gauche et à droite	à droite et à gauche | à gauche et à droite | droite gauche | flèche | flèche pointant à gauche et à droite | gauche droite
↕	flèche pointant vers le haut et vers le bas	bas haut | en bas et en haut | en haut et en bas | flèche | flèche pointant vers le haut et vers le bas | haut bas
↖	flèche pointant vers le haut à gauche	direction | en haut à gauche | flèche | flèche pointant vers le haut à gauche | nord-ouest | point intercardinal
↗	flèche pointant vers le haut à droite	direction | en haut à droite | flèche | flèche pointant vers le haut à droite | nord-est | point intercardinal
↘	flèche pointant vers le bas à droite	direction | en bas à droite | flèche pointant vers le bas à droite | lèche | point intercardinal | sud-est
↙	flèche pointant vers le bas à gauche	direction | en bas à gauche | flèche | point intercardinal | sud-ouest
↚		barrée | flèche | gauche
↛		barrée | droite | flèche
↜		flèche | gauche | ondulée
↝		droite | flèche | ondulée
↞		deux pointes | flèche | gauche
↟		deux | flèche | gauche | pointes
↠		deux | droite | flèche | pointes
↡		bas | deux | flèche | pointes
↢	flèche vers la gauche empennée	empennée | flèche | gauche
↣	flèche vers la droite empennée	droite | empennée | flèche
↤		flèche | gauche | taquet
↥		flèche | haut | taquet
↦		droite | flèche | taquet
↧		bas | flèche | taquet
↨		bas | base | flèche | haut
↩	flèche courbe vers la gauche	courbe vers la gauche | flèche | flèche courbe vers la gauche
↪	flèche courbe vers la droite	courbe vers la droite | flèche | flèche courbe vers la droite
↫	flèche vers la gauche à boucle	boucle | flèche | gauche
↬	flèche vers la droite à boucle	boucle | droite | flèche
↭		droite | flèche | gauche | ondulée
↮		barrée | droite | flèche | gauche
↯		bas | flèche | zigzag
↰		flèche | gauche | haut | pointe
↱		droite | flèche | haut | pointe
↲		bas | flèche | gauche | pointe
↳		bas | droite | flèche | pointe
↴	flèche vers la droite avec pointe vers le bas	bas | droite | flèche | pointe
↵		bas | coin | flèche | gauche
↶	flèche semi-circulaire antihoraire supérieure	antihoraire | flèche | semi-circulaire | supérieure
↷	flèche semi-circulaire sens horaire supérieure	flèche | horaire | semi-circulaire | supérieure
↸		flèche | long | nord-ouest | taquet
↹		droite | flèche | gauche | superposée | taquets
↺		antihoraire | circulaire | flèche | ouverte
↻		circulaire | flèche | horaire | ouverte
↼		barbillon | gauche | harpon | haut
↽		barbillon | bas | gauche | harpon
↾		barbillon | droite | harpon | haut
↿		barbillon | gauche | harpon | haut
⇀		barbillon | droite | harpon | haut
⇁		barbillon | bas | droite | harpon
⇂		barbillon | bas | droite | harpon
⇃		barbillon | bas | gauche | harpon
⇄		droite | flèche | gauche
⇇		flèches | gauche | paire
⇈		flèches | haut | paire
⇉		droite | flèches | paire
⇊		bas | flèches | paire
⇋		droite | gauche | harpon
⇌		droite | gauche | harpon
⇍		barrée | double | flèche | gauche
⇎		barrée | double | droite | flèche | gauche
⇏		barrée | double | droite | flèche
⇐	double flèche vers la gauche	double | flèche | gauche
⇑	double flèche vers le haut	double | flèche | haut
⇒	double flèche vers la droite	double | droite | flèche
⇓	double flèche vers le bas	barrée | bas | double | flèche
⇔	double flèche gauche-droite	double | droite | flèche | gauche
⇖	double flèche nord-ouest	double | flèche | nord-ouest
⇗	double flèche nord-est	double | flèche | nord-est
⇘	double flèche sud-est	double | flèche | sud-est
⇙	double flèche sud-ouest	double | flèche | sud-ouest
⇚	triple flèche vers la gauche	flèche | gauche | triple
⇛	triple flèche vers la droite	droite | flèche | triple
⇜		flèche | gauche | tire-bouchon
⇝		droite | flèche | tire-bouchon
⇞		barre | double | flèche | haut
⇟		barre | bas | double | flèche
⇠		discontinue | flèche | gauche | pointillée
⇡		discontinue | flèche | haut | pointillée
⇢		discontinue | droite | flèche | pointillée
⇣	flèche à traits discontinus vers le bas	bas | discontinue | flèche | pointillée
⇤		flèche | gauche | taquet
⇥		droite | flèche | taquet
⇦		creuse | flèche | gauche
⇧		creuse | flèche | haut
⇨		creuse | droite | flèche
⇩		bas | creuse | flèche
⇪		creuse | flèche | haut | taquet
⇵		bas | flèche | haut
∀	pour tous	pour tous | pour tout | quel que soit | tout | universel
∂		dérivée | partielle
∎	ce qu’il fallait démontrer	ce qu’il fallait démontrer | cqfd
∑		famille | mathématiques | sommation
∓	moins-ou-plus	moins-ou-plus | plus-moins
∕		barre | division | oblique
∗		astérisque | étoile
∘		composition | opérateur | rond
∙		opérateur | puce
∣		diviser | diviseur
∬		double | intégrale
∮		contour | intégrale
∶		proportion | rapport | ratio | taux
∼		opérateur | tilde
∽		renversé | tilde
∾		couché | renversé | s
≅		approximativement égal à | congruence | égalité | isomorphisme | mathématiques
≒		approximativement égal à | image de
≠	pas égal	inégalité | inéquation | pas égal
≤	plus petit ou égal	égal | inégalité | inférieur à | plus petit ou égal
≥	plus grand ou égal	égal | inégalité | plus grand ou égal | supérieur à
≦	Plus petit que par-dessus égal à	inégalité | mathématiques | Plus petit que par-dessus égal à
≧	plus grand que par-dessus égal à	inégalité | mathématiques | plus grand que par-dessus égal à
≪	beaucoup plus petit que	beaucoup plus petit que | inégalité | mathématiques | très inférieur à
≫	beaucoup plus grand que	beaucoup plus grand que | inégalité | mathématiques | très supérieur à
≮	pas plus petit que	inégalité | mathématiques | pas plus petit que
≯	pas plus grand que	inégalité | mathématiques | pas plus grand que
≳	plus grand ou équivalent à	inégalité | mathématiques | plus grand ou équivalent à | supérieur ou équivalent à
≺		mathématiques | opérateur ensembliste | précède
≻		mathématiques | opérateur ensembliste | suit
⊁		mathématiques | ne suit pas | opérateur ensembliste
⊃		mathématiques | opérateur ensembliste | sur-ensemble de
⊆	sous-ensemble ou égal à	sous-ensemble ou égal à
⊇	sur-ensemble ou égal à	mathématiques | opérateur ensembliste | sur-ensemble ou égal à
⊕		cerclé | plus
⊗		fois cerclé | multiplié par cerclé | produit tensoriel | vecteur pointant vers l’intérieur de la page
⊚		cerclé | opérateur | rond
⊛		astérisque | cerclé | opérateur
⊥		haut | taquet
⋁		famille | ou logique
⋂		famille | intersection
⋃		famille | union
⋅		opérateur | point
⋆		étoile | opérateur
⋒		double | intersection | mathématiques
⋘	considérablement plus petit que	considérablement inférieur à | considérablement plus petit que | inégalité | mathématiques
⋙	considérablement plus grand que	considérablement plus grand que | considérablement supérieur à | inégalité | mathématiques
⏭		bouton piste suivante | flèches | piste suivante | suivant | triangle
⏮		bouton piste précédente | flèches | piste précédente | précédent | triangle
⏯		bouton lecture/pause | droite | flèche | lecture | pause | triangle
⏲	minuterie	heure | minuterie | minuteur
⏸		barres | bouton pause | double | pause | vertical
⏹		bouton | carré | stop
⏺		bouton | bouton enregistrer | cercle | enregistrement
■		carré | plein
□		carré | creux
▢		angles | arrondis | carré | creux
▣		carré | creux | plein
▤		carré | hachuré | horizontalement
▥		carré | hachuré | verticalement
▦		carré | quadrillé
▧	carré hachuré du haut à gauche vers le bas à droite en diagonale	bas | carré | droite | gauche | hachuré | haut
▨	carré hachuré du haut à droite vers le bas à gauche	bas | carré | droite | gauche | hachuré | haut
▩		carré | diagonale | quadrillé
▬		plein | rectangle
▭		creux | rectangle
▮		plein | rectangle | vertical
▰		parallélogramme | plein
△		creux | haut | triangle
▴		haut | petit | plein | triangle
▵		creux | haut | petit | triangle
▶	bouton de lecture	bouton | droite | flèche | jouer | lecture | lire | triangle
▷		creux | droite | triangle
▸		droite | petit | plein | triangle
▹		creux | droite | petit | triangle
►		droite | pleine | pointe
▻		creuse | droite | pointe
▽		bas | creux | triangle
▾		bas | petit | plein | triangle
▿		bas | creux | petit | triangle
◀	bouton de retour	bouton | flèche | gauche | retour | triangle
◁		creux | gauche | triangle
◂		creux | gauche | triangle
◃		creux | gauche | petit | triangle
◄		gauche | pleine | pointe
◅		creuse | gauche | pointe
◆		losange | plein
◇		creux | losange
◈		creux | losange | plein
◉		cercle | creux | plein
◌		cercle | pointillés
◍		cercle | hachuré | hachures | verticalement | verticales
◎		cercles | concentriques
◐		cercle | gauche | moitié | pleine
◑		cercle | droite | moitié | pleine
◒		cercle | inférieure | moitié | pleine
◓		cercle | moitié | pleine | supérieure
◔		cercle | droit | plein | quadrant | supérieur
◕		cercle | gauche | plein | quadrant | supérieur
◖		demi-cercle | gauche | plein
◗		demi-cercle | droit | plein
◘	point en inversion	inversion | poing
◙		carré | cercle | creux | plein
◜		arc | cercle | gauche | quadrant | supérieur
◝		arc | cercle | droit | quadrant | supérieur
◞		arc | cercle | droit | inférieur | quadrant
◟		arc | cercle | gauche | inférieur | quadrant
◠		demi-cercle | supérieur
◡		demi-cercle | inférieur
◢		droit | inférieur | plein | rectangle | triangle
◣		gauche | inférieur | plein | rectangle | triangle
◤		gauche | plein | rectangle | supérieur | triangle
◥		droit | plein | supérieur | triangle rectangle
◦		creuse | puce
◳		carré | creux | droit | quadrant | supérieur
◷		cercle | creux | droit | quadrant | supérieur
◻	carré blanc de taille moyenne	carré blanc de taille moyenne | forme | géométrie
◼	carré noir de taille moyenne	carré noir de taille moyenne | forme | géométrie
◿		droit | inférieur | triangle rectangle
☂		parapluie | parapluie ouvert | pluie | vêtement
☃		bonhomme | froid | neige
☘	trèfle à trois feuilles	plante | trèfle | trois feuilles
☝		index pointant vers le haut
☣		biologique | danger
☦		chrétien | croix | orthodoxe | réligion
☪	étoile et croissant de lune	croissant | étoile | étoile et croissant de lune | islam | musulman | religion
☺		détendu | sourire | visage | visage souriant
♟	pion	duper | échec | pion | sacrifiable
♣	trèfle	carte | couleur | jeu | trèfle
♥		carte | cœur | couleur | jeu
♨	sources thermales	source | thermale
♻	symbole de recyclage	recyclage | symbole de recyclage
⚒	marteau et pic	marteau | marteau et pic | pic
⚕	symbole la médecine	Asclépios | médecine | professionnel de la santé | symbole de la médecine | symbole la médecine
⚖		balance | balance à poids | zodiaque
⚙	engrenage	engrenage | outil
⚠	avertissement	avertissement
⚧	symbole transgenre	symbole de la communauté transgenre | symbole transgenre | transgenre
⛈		éclair | nuage | nuage avec éclair et pluie | pluie
⛏	pic	mine | outil | pic
⛑	casque avec une croix blanche	casque | casque avec une croix blanche | chapeau | croix | secours | visage
⛩		religion | sanctuaire | shinto
⛱		météo | parapluie | parasol | parasol sur le sol | pluie | soleil
⛴	traversier	bateau | passager | traversier
⛷		ski | skier | skieur | sport
⛸		glace | patin
⛹	personne qui fait rebondir un ballon	ballon | personne qui fait rebondir un ballon | rebond | rebondir
✈		avion
✉		courriel | courrier | enveloppe | lettre
✌		ciseaux | V de la victoire | victoire
✒	plume noire	plume noire | stylo
✔		coche | coche noire | marque
✖	signe de multiplication	* | × | annuler | multiplier | non | signe de multiplication | x
✳	astérique à huit branches	astérique | astérique à huit branches | huit branches
✴	étoile à huit branches	étoile | étoile à huit branches | huit branches
❄	flocon de neige	flocon | froid | neige
