# CLDR symbol names for frr: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
¤	Ünbekäänd Münt	
֏	Armeensk Dram	
؋	Afghaans Afghani	
৳	Bangladesch Taka	
฿	Thai Baht	
៛	Kambodschaansk Riel	
₡	Cost Rica Colon	
₦	Nigeriaans Naira	
₪	Israeels Nei Scheekel	
₫	Wjetnameesk Dong	
₭	Laootisk Kip	
₮	Mongoolisk Tugrik	
₲	Paraguayaans Guarani	
₴	Ukrainisk Griwna	
₵	Ghanaask Cedi	
₸	Kasachstaans Tenge	
₺	Türkisk Lira	
₼	Aserbaidschaans Manat	
₾	Georgisk Lari	
