# CLDR symbol names for ga: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	comhartha uaillbhreasa	béic | comhartha uaillbhreasa | pléasc
#	comhartha haise	comhartha haise | hais | haischlib | lb | uimhir
$	dollar	airgead | dollar | peso | USD
%	céatadán	céatadán
&	amparsan	agus | amparsan | et
'	uaschamóg chlóscríobháin	aonair | comhartha athfhriotail | uaschamóg | uaschamóg chlóscríobháin
)	lúibín deiridh	lúibín | lúibín ciorclach | lúibín deiridh | lúibíní
*	réiltín	réalta | réiltín | saoróg
+	comhartha móide	comhartha móide | cuir le | móide
,	camóg	camóg
-	fleiscín-lúide	dais | fleiscín | fleiscín-lúide | lúide
.	lánstad	lánstad | ponc
/	slais	camóg | fléasc | sceabhach | slais | soladas
:	idirstad	idirstad
;	leathstad	leathstad
<	níos lú ná	clib | clib oscailte | níos lú ná
=	cothrom le	cothrom | cothrom le
>	níos mó ná	clib | clib dúnta | níos mó ná
?	comhartha ceiste	ceist | comhartha ceiste
@	comhartha @	@ tráchtála | arobase | comhartha @ | marc @
[	lúibín cearnógach tosaigh	croisín | lúibín | lúibín cearnógach | lúibín cearnógach tosaigh
\	cúlslais	cúlslais | soladas aisiompaithe
]	lúibín cearnógach deiridh	croisín | lúibín | lúibín cearnógach | lúibín cearnógach deiridh
^	cuairín	agúid | comhartha xor | cuairín | cumhacht | ding | hata | pointeoir | rachtán | rialú
_	líne íseal	dais | dais íseal | fodhais | folíne | líne | líne íseal
`	graif	graif | tón
{	lúibín catach tosaigh	cuing | cuing chatach | lúibín catach | lúibín catach tosaigh
|	líne ingearach	barra | barra ingearach | bata | líne | líne ingearach | píopa | stríoc | stríoc sheffer | v-bharra
}	lúibín catach deiridh	cuing | cuing chatach | lúibín | lúibín catach | lúibín catach deiridh
~	tilde	tilde
