# CLDR symbol names for gd: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	clisg-phuing	clisg-phuing | comharra-clisge
#	samhla hais	àireamh | hais | lb | punnd | samhla hais | taga hais
$	dolar	airgead | dolar | dollar | peso | USD
%	ceudad	ceudad | sa cheud | sa cheudad
&	agusan na Laidinne	agus | agusan | agusan na Laidinne | et | is
'	asgair clò-sgrìobhadair	apostrophe | às-aithris | às-earrann | asgair | asgair clò-sgrìobhadair | asgair tapaidh | comharra-labhairt | eadar-ràdh | iomradh | luaidh
)	camag chruinn dùnaidh	camag | camag chruinn dùnaidh | eadar-aisneis | eadar-ràdh
*	reultag	reul | reultag | saorag
+	samhla plus	cuir ris | cur ris | plus | samhla plus
,	cromag	cromag
-	tàthan-minus	dais | minus | tàthan | tàthan-minus
.	puing-stad	làn-phuing | puing | puing-stad | stad
/	slais	fiar-sgoradh | sgoradh | slais
:	còilean	còilean | dà-phuing | sgoiltean
;	leth-chòilean	leth-chòilean | leth-phunc | leth-sgoiltean | leth-stad
<	nas lugha	nas lugha | nas lugha na | taga | taga fosglaidh
=	co-ionnann	co-ionnan | co-ionnann | co-ionnannachd
>	nas motha	nas motha | nas motha na | taga | taga dùinidh
?	comharra-ceiste	ceist | comharra-ceiste
@	samhla aig	aig | arroba | at | samhla aig
[	camag cheàrnach fosglaidh	camag | camag cheàrnach | camag cheàrnach fosglaidh | eadar-aisneis | eadar-ràdh
\	slais air ais	cùl-sgoradh | sgoradh | slais | slais air ais
]	camag cheàrnach dùnaidh	camag | camag cheàrnach | camag cheàrnach dùnaidh | eadar-aisneis | eadar-ràdh
^	cuairt-lùb	ad | carait | comharra-easbhaidh | control | cuairt-lùb | mullach beag | stràc | tomhadair | xor
_	loidhne ìosal	dais | fo-loidhne | loidhne foidhe | loidhne ìosal
`	stràc throm	stràc | stràc throm | tòna | trom
{	camag dhualach fosglaidh	camag | camag dhualach | camag dhualach fosglaidh | eadar-aisneis | eadar-ràdh
|	loidhne inghearach	bàr | bàr inghearach | bata | loidhne | loidhne inghearach | pìob | pipe | stràc | stràc sheffer
}	camag dhualach dùnaidh	camag | camag dhualach | camag dhualach dùnaidh | eadar-aisneis | eadar-ràdh
~	tonn	tonn
