# CLDR symbol names for gl: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	signo de exclamación	admiración | exclamación | símbolo
#	cancelo	cardinal | grade | hashtag | sinal numérico
$	dólar	divisa | moeda | peso | USD
%	porcentaxe	por cento | tanto por cento
&	et	ampersand | e | e comercial
'	aspas simples rectas	apóstrofo | comiñas simples
)	paréntese de peche	pechar parénteses
*	asterisco	comodín | estrela
+	signo máis	máis | suma
,	coma	vírgula
-	menos	guión | trazo
.	punto	punto
/	barra	diagonal | inclinada | oblicua
:	dous puntos	dous puntos
;	punto e coma	punto e coma
<	menor que	antilambda | apertura de etiqueta | etiqueta | menor que
=	igual	igual a
>	maior que	antilambda | etiqueta | máis que | peche de etiqueta
?	signo de interrogación	interrogación | pregunta | símbolo
@	arroba	@ | arroba | correo | Internet
[	corchete de apertura	abrir corchetes | parénteses
\	barra inversa	diagonal inversa | inversa | invertida
]	corchete de peche	parénteses | pechar corchetes
^	acento circunflexo	circunflexo | control | intercalación | potencia
_	trazo baixo	guión baixo
`	acento grave	grave | ton
{	chave de apertura	abrir chaves | parénteses
|	liña vertical	barra | pau | raia vertical | vertical
}	chave de peche	parénteses | pechar chaves
~	til	abreviación | aproximadamente igual | nasalidade | trazo supralinear
¡	signo de exclamación invertido	admiración | apertura | exclamación | invertida | símbolo
¢	centavo	centésimo | céntimo
£	libra (divisa)	divisa | EGP | GBP | moeda
¤	moeda descoñecida	
¥	ien	CNY | divisa | iuan | JPY | moeda
§	sección	parágrafo | parte | signo de sección
¨	diérese	diérese
©	copyright	autor | C | copyright | dereitos
«	aspas angulares esquerdas	angulares | apertura | cita | comiñas | esquerda | latinas
¬	negación	non
®	marca rexistrada “R”	R | rexistrada
°	grao	gradación | hora
±	signo máis-menos	máis | máis-menos | menos
²	dous en superíndice	2 | cadrado | superíndice
³	tres en superíndice	3 | cubo | superíndice
´	acento agudo	agudo | ton
µ	signo de micro	medida | micro
¶	caldeirón	antígrafo | marca de parágrafo | signo de parágrafo
·	punto medio	interpunto | medio
¹	un en superíndice	1 | superíndice
»	aspas angulares dereitas	angulares cita | comiñas | dereita | latinas | peche
¿	signo de interrogación invertido	apertura | interrogación | invertida | pregunta | símbolo
×	signo de multiplicación	multiplicación | veces
÷	signo de división	división | óbelo
֏	dram armenio	
؋	afgani afgán	
،	coma árabe	árabe | coma árabe
؛	punto e coma árabe	árabe | punto e coma árabe
؟	signo de interrogación árabe	árabe | interrogación | pregunta
৳	taka de Bangladesh	
฿	baht tailandés	
៛	riel camboxano	
‐	trazo	guión
–	trazo longo	guión | longo | menos | signo menos
—	raia	longo | trazo
―	barra horizontal	guión | horizontal | liña | raia
‘	apóstrofo esquerdo	aspas simples | comiñas simples
’	apóstrofo dereito	aspas simples | comiñas simples
‚	apóstrofo baixo dereito	aspas baixas | comiñas baixas
“	aspas esquerdas	comiñas altas | duplas
”	aspas dereitas	comiñas altas | duplas
„	aspas baixas dereitas	comiñas baixas
†	signo da cruz	cruz | división | obelisco
‡	signo da dobre cruz	cruz | división | dobre | obelisco
•	viñeta	punto | viñeta
…	puntos suspensivos	elipse | omisión
‧	punto de separación	guión | separación | trazo
‰	por mil	por mil
′	prima	prima
″	segunda	segunda
‴	terceira	terceira
‸	operador exponencial	acento circunflexo
※	marca de referencia	asterisco xaponés
‼	signo de exclamación dobre	!! | admiración | dobre signo de exclamación | exclamación | símbolo
‽	interrogación con exclamación	exclamación | exclarrogativo
‾	liña alta	trazo superposto | vinculum
⁂	asterismo	estrelas | liña de asteriscos
⁄	barra de fracción	fracción | trazo | vírgula
