# CLDR symbol names for gu: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	આશ્ચર્ય ચિહ્ન	આશ્ચર્ય | આશ્ચર્ય ચિહ્ન
#	હેશની નિશાની	પાઉન્ડ | સંખ્યા | હેશ | હેશટેગ | હેશની નિશાની
$	ડોલર	ડોલર | નાણાં | પેસો | યુએસ ડોલર
%	ટકા	ટકા | ટકાવારી
&	અનેની નિશાની	અને | અનેની નિશાની | અનેનું ચિહ્ન | એમ્પર્સેન્ડ
'	ટાઇપરાઇટર એપોસ્ટ્રૉફી	અવતરણ | એપોસ્ટ્રૉફી | ક્વોટ | ટાઇપરાઇટર એપોસ્ટ્રૉફી | સિંગલ ક્વોટ
)	પૂરો થતો કૌંસ	કૌંસ | ગોળ કૌંસ | નાનો કૌંસ | પૂરો થતો કૌંસ
*	ફૂદડી	નિર્દેશક | ફૂદડી | વાઇલ્ડકાર્ડ | સ્ટાર
+	વત્તાની નિશાની	ઉમેરો | વત્તા | વત્તાની નિશાની | સરવાળો
,	અલ્પવિરામ	અલ્પવિરામ
-	હાયફન-બાદબાકી	ડેશ | બાદબાકી | હાયફન | હાયફન-બાદબાકી
.	પૂર્ણવિરામ	ટપકું | પૂર્ણવિરામ | બિંદુ
/	સ્લેશ	ઑબ્લીક | ત્રાંસી લીટી | સ્લેશ
:	મહાવિરામ	મહાવિરામ
;	અર્ધવિરામ	અર્ધ-વિરામ | અર્ધવિરામ
<	-થી નાનું	-થી નાનું | ટેગ | શરૂ થતો ટેગ
=	બરાબર	બરાબર | સરખું
>	-થી મોટું	-થી મોટું | ટેગ | પૂરો થતો ટેગ
?	પ્રશ્નાર્થ ચિહ્ન	પ્રશ્ન | પ્રશ્નાર્થ ચિહ્ન
@	એટની નિશાની	એટ ધ રેટ | એટની નિશાની | એટનું ચિહ્ન
[	શરૂ થતો મોટો કૌંસ	કૌંસ | ચોરસ કૌંસ | મોટો કૌંસ | શરૂ થતો મોટો કૌંસ
\	બેકસ્લેશ	ઉલટો સ્લેશ | બેકસ્લેશ
]	પૂરો થતો મોટો કૌંસ	કૌંસ | ચોરસ કૌંસ | પૂરો થતો મોટો કૌંસ | મોટો કૌંસ
^	સર્કમ્ફ્લૅક્સ ચિહ્ન	ઉચ્ચાર | કેરેટ | ઘાત | ટોપી | નિર્દેશક | ફાચર | વી આકારની પટ્ટી | શેવરન | સર્કમ્ફ્લૅક્સ | સર્કમ્ફ્લૅક્સ ચિહ્ન | સ્વર
_	નીચે લીટી	અન્ડરલાઇન | નીચે લીટી | લાઇન | લીટી
`	ગંભીર સ્વર	ગંભીર | સૂર | સ્વર
{	ખુલ્લો છગડિયો કૌંસ	કૌંસ | ખુલ્લો છગડિયો કૌંસ | છગડિયો કૌંસ
|	પાઇપ	ઊભી લાઇન | પાઇપ | બાર | શેફર સ્ટ્રોક | સ્ટ્રોક
