# CLDR symbol names for ha: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	alamar motsin rai	alama | alamar mtsin rai | ƙara | maki
#	alamar hash	alama | fam | hash | hashtag | lamba | lb
$	dala	dala | kuɗi | peso | USD
%	kashi	duk | ɗaya cikin ɗari | kashi | kashi ɗaya cikin ɗari
&	alamar da kuma	alamar da kuma | da kuma | et
'	alamar ambato ta keken-rubutu	alamar ambato | ambato | keken rubutu | tilo
)	bakar rufewa	baka | baka mai daʼira | baka-baka mai daʼira | daʼira | rufe
*	tauraro	tauraro | wildcard
+	alamar da	alama | ƙara | ƙari
,	waƙafi	waƙafi
-	karan-ɗori-ɗebewa	ɗebewa | ɗigo | karan-ɗori | karan-ɗori-ɗebewa
.	alamar aya	cikakke | ɗigo | waƙafi
/	karan-tsaye	bugu | karan-tsaye | tsaye | virgule | whack
:	ruwa biyu	ruwa biyu
;	waƙafi mai ruwa	waƙafi mai ruwa | waƙafi-mai-ruwa
<	ƙasa da	a buɗe | da | ƙasa | maƙala
=	daidai	daidai
>	mafi girma fiye da	da | fiye da | mafi yawa | maƙala | rufe
?	alamar tambaya	alama | tambaya
@	alamar a	a | alama | alamar a | alamar strudel | ampersat | arobase | arroba | na kasuwanci
[	bakar buɗewa sikwaya	baka | buɗe | crotchet | murabbaʼi
\	karan-tsaye ja da baya	alamar backlash | alamar baya-baya | alamar gaba-gaba | whack
]	bakar rufewa sikwaya	baka | crotchet | murabbaʼi | rufe
^	alamar lafazi mai juyawa	alama | caret | chevron | circumflex | lafazi | makunni | malafa | manuni | masarrafi | mazaɓa | xor
_	layi ƙarami	ɗigo | ƙasa | layi
`	alamar lafazin grave	alamar lafazin grave | kari | lafazi
{	bakar buɗewa mai lanƙwasa	baka | buɗe | gullwing | mai lanƙwasa
|	layin tsaye	a tsaye | fayif | kibiya | layi | sanda | sheffer | stroke | vbar
