# CLDR symbol names for he: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	סימן קריאה	סימן קריאה
#	סולמית	האש | האשטג | מספר | סולמית
$	דולר	דולר | דולר אמריקאי | כסף | מטבע
%	אחוז	אחוז | אחוזים
&	אמפרסנד	אמפרסנד | וגם
'	גרש ישר	אפוסטרוף | גרש | גרש ישר | ציטוט
)	סימן סוגריים סוגר	סוגריים | סימן סוגריים סוגר | פיסוק
*	כוכבית	כוכב קטן | כוכבית | תבליט
+	סימן פלוס	בנוסף | הוספה | סימן פלוס | פלוס
,	פסיק	פסיק
-	מקף-מינוס	מינוס | מקף | מקף-מינוס | קו
.	נקודה	נקודה | סוף משפט | פיסוק
/	לוכסן	לוכסן | לוכסן אחורי | לוכסן שמאלי | סוֹלִידוּס | קו נטוי
:	נקודתיים	נקודתיים | פיסוק
;	נקודה פסיק	נקודה פסיק | נקודה-פסיק
<	קטן מ-	פחות | קטן מ- | תג | תג פותח
=	שווה	שווה | שווה ל- | שוויון
>	גדול מ-	גדול | גדול מ- | יותר | תג | תג סוגר
?	סימן שאלה	סימן שאלה | שאלה
@	כְּרוּכִית	דואר אלקטרוני | כְּרוּכִית | שטרודל
[	סימן פותח של סוגריים מרובעים	סוגריים | סוגריים מרובעים | סימן פותח של סוגריים מרובעים | פותח | פיסוק
\	לוכסן קדמי	לוכסן | לוכסן ימני | לוכסן קדמי | סוֹלִידוּס הפוך | קו נטוי הפוך
]	סימן סוגר של סוגריים מרובעים	סוגר | סוגריים | סוגריים מרובעים | סימן סוגר של סוגריים מרובעים | פיסוק
^	סימן גג	גג | חזקה | סימן גג | סימן דיאקריטי | קארט
_	קו תחתון	מקף תחתון | קו תחתון | קו תחתי
`	סימן הטעמה משני	הטעמה | סימן דיאקריטי | סימן הטעמה משני
{	סימן פותח של סוגריים מסולסלים	סוגריים | סוגריים מסולסלים | סימן פותח של סוגריים מסולסלים | פותח
|	קו ניצב	פיסוק | קו | קו אנכי | קו ניצב
}	סימן סוגר של סוגריים מסולסלים	סוגר | סוגריים | סוגריים מסולסלים | סימן סוגר של סוגריים מסולסלים
~	טילדה	בערך | טילדה | פיסוק
¡	סימן קריאה הפוך	הפוך | סימן קריאה | סימן קריאה הפוך | סימן-קריאה
¢	סנט	כסף | מטבע | סנט
£	פאונד	ליש״ט | מטבע | פאונד
¤	מטבע שאינו ידוע	
¥	ין	ין | יפן | מטבע
§	סעיף	מקטע | סעיף | פסקה
¨	אוּמְלַאוּט	אומלאוט | אוּמְלַאוּט | טרמה | סימן דיאקריטי
©	זכויות יוצרים	זכויות יוצרים
