# CLDR symbol names for hi: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	विस्मयादिबोधक चिह्न	धमाकेदार | विस्मयादिबोधक | विस्मयादिबोधक चिह्न | विस्मयादिबोधक बिंदु
#	हैश चिह्न	lb | नंबर | पाउंड | हैश | हैश चिह्न | हैशटैग
$	डॉलर	अमरीकी डालर | डॉलर | पेसो | पैसे
%	प्रतिशत	प्रति-शत | प्रतिशत
&	ऐंपरसेंड	आदि | ऐंपरसेंड | और
'	टाइपराइटर अपॉस्ट्रॉफ़ी	अपॉस्ट्रॉफ़ी | एकल कोट | कोट | टाइपराइटर अपॉस्ट्रॉफ़ी
)	बंद कोष्ठक	कोष्ठक | गोल कोष्ठक | पैरन | पैरेंस | बंद कोष्ठक | ब्रैकेट
*	तारांकन	तारा | तारांकन | वाइल्डकार्ड
+	प्लस चिह्न	जोड़ना | धन चिह्न | प्लस | प्लस चिह्न
,	कॉमा	कॉमा
-	हाइफ़न-माइनस	डैश | माइनस | हाइफ़न | हाइफ़न-माइनस
.	विराम	डॉट | पूर्ण विराम | विराम
/	स्लैश	तिरछा | तिरछी रेखा | व्हेक | सॉलिडस | स्ट्रोक | स्लैश
:	कोलन	कोलन
;	सेमीकोलन	सेमी-कोलन | सेमीकोलन
<	इससे छोटा	इससे छोटा | ओपन टैग | टैग
=	बराबर	बराबर
>	इस से बड़ा	इस से बड़ा | इससे बड़ा | क्लोज़ टैग | टैग
?	प्रश्नवाचक चिह्न	प्रश्नवाचक चिह्न | सवाल
@	ऐट द रेट चिह्न	एट का चिन्ह | एट चिह्न | एंपरसेट | एरोबा | एरोबेस | ऐट द रेट चिह्न | वाणिज्यिक एट | स्ट्रूडेल
[	खुला वर्ग कोष्ठक	कोष्ठक | क्रोचेट | खुला वर्ग कोष्ठक | वर्ग कोष्ठक
\	बैकस्लैश	उल्टा सॉलिडस | बैकस्लैश | व्हेक
]	बंद वर्ग ब्रेकेट	क्रोचेट | बंद वर्ग ब्रेकेट | ब्रेकेट | वर्ग ब्रेकेट
^	स्वरित स्वरोच्चारण	xor का चिन्ह | उच्चारण | कील | कैरट | टोपी | नियंत्रण | शक्ति | शेवरॉन | सूचक | स्वरित | स्वरित स्वरोच्चारण
_	नीचे लाइन	अंडरडैश | अंडरलाइन | डैश | नीचे डैश | नीचे लाइन | लाइन
`	मंद स्वरोच्चारण	मंद | सुर | स्वरोच्चारण
{	खुला कर्ली ब्रेकेट	कर्ली ब्रेस | खुला कर्ली ब्रेकेट | गुल्विंग | ब्रेकेट | ब्रेस
|	ऊर्ध्वाधर रेखा	ऊर्ध्वाधर पट्टी | ऊर्ध्वाधर रेखा | पट्टी | पाइक | पाइप | लाइन | वीपट्टी | शेफ़र स्ट्रोक | स्टिक | स्ट्रोक
}	बंद कर्ली ब्रेकेट	कर्ली ब्रेस | गुल्विंग | बंद कर्ली ब्रेकेट | ब्रेकेट | ब्रेस
~	लहरिल	लहरिल
¡	उलटा विस्मयबोधक चिह्न	उलटा | उलटा विस्मयबोधक चिह्न | धमाकेदार | विस्मयादिबोधक | विस्मयादिबोधक चिह्न | विस्मयादिबोधक बिंदु
¢	सेंट	सेंट
£	पाउंड	ईजीपी | जीबीपी | पाउंड | मुद्रा
¤	अज्ञात मुद्रा	
¥	येन	जेपीवाई | मुद्रा | युआन | येन | सीएनवाई
§	सेक्शन	पैराग्राफ़ | भाग | सिलक्रो | सेक्शन
¨	डाएरेसिस	ऊमलायूट | ट्रेमा | डाएरेसिस
©	कॉपीराइट	कॉपीराइट | कॉपीराइट चिह्न
«	बायां ग्युमेट	कैरेट | कोट | कोण | कोष्ठक | बायां | बायां ग्युमेट | शेवरॉन
¬	नकारात्मक	नकारात्मक | नहीं
®	पंजीकृत चिह्न	पंजीकरण | पंजीकृत | पंजीकृत चिह्न | रजिस्टर | रजिस्टरी | रजिस्टरेशन | रजिस्टर्ड
°	डिग्री	घंटा | डिग्री | प्रमाण
±	धन-ऋण	धन-ऋण
²	सुपरस्क्रिप्ट दो	चौकोर | दो | सुपरस्क्रिप्ट
³	सुपरस्क्रिप्ट तीन	घन | तीन | सुपरस्क्रिप्ट
´	तीव्र स्वरोच्चारण	तीव्र | सुर | स्वरोच्चारण
µ	माइक्रो चिह्न	माइक्रो चिह्न | माप
¶	पैराग्राफ चिह्न	एलिनिया | पिलक्रो | पैराग्राफ़ | पैराग्राफ चिह्न | पैराफ
·	मध्य डॉट	अंतरविराम चिह्न | डॉट | मध्य | मध्यडॉट
¹	सुपरस्क्रिप्ट एक	एक | सुपरस्क्रिप्ट
»	दायां ग्युमेट	कैरेट | कोट | कोण | कोष्ठक | दायां | दायां ग्युमेट | शेवरॉन
¿	उल्टा प्रश्नवाचक चिह्न	उलटा | उल्टा प्रश्नवाचक चिह्न | प्रश्न चिह्न | सवाल
×	गुणा का चिह्न	गुणन | गुणा | गुणा का चिह्न | बार
÷	भाग चिह्न	ओबलस | भाग | भाग चिह्न | भाग देना
֏	आर्मेनियाई द्राम	
؋	अफ़गान अफ़गानी	
،	अरबी कॉमा	अरबी | कॉमा
؛	अरबी सेमीकोलन	अरबी | सेमीकोलन
؟	अरबी प्रश्नवाचक चिह्न	अरबी | अरबी प्रश्नवाचक चिह्न | प्रश्न चिह्न | सवाल
৳	बांग्लादेशी टका	
฿	थाई बहत	
៛	कंबोडियाई रियाल	
‐	हायफ़न	डैश | हाइफ़न | हायफ़न
–	एन डैश	एन | डैश
—	एम डैश	एम | डैश
―	क्षैतिज पट्टी	क्षैतिज पट्टी | डैश | पंक्ति | पट्टी
‘	बायां अपॉस्ट्रॉफ़ी	अपॉस्ट्रॉफ़ी | एकल कोट | कोट | बायां अपॉस्ट्रॉफ़ी | स्मार्ट कोट
’	दायां अपॉस्ट्रॉफ़ी	अपॉस्ट्रॉफ़ी | एकल कोट | कोट | दायां अपॉस्ट्रॉफ़ी | स्मार्ट कोट
‚	निचला दायां अपॉस्ट्रॉफ़ी	अपॉस्ट्रॉफ़ी | कोट | निचला कोट | निचला दायां अपॉस्ट्रॉफ़ी
“	बायां कोट चिह्न	उद्धरण चिह्न | कोट | दोहरे कोट | बायां कोट चिह्न | स्मार्ट कोट
”	दायां कोट चिह्न	कोट | दायां कोट चिह्न | दोहरे कोट | स्मार्ट कोट
„	निचला दायां कोट चिह्न	कोट | दोहरे कोट | निचला कोट | निचला दायां कोट चिह्न | स्मार्ट कोट
†	डैगर का चिह्न	ओबलस | ओबिलिस्क | डैगर | डैगर का चिह्न
‡	दोहरा डैगर चिह्न	ओबलस | ओबिलिस्क | डैगर | दोहरा | दोहरा डैगर चिह्न
•	बुलेट	डॉट | बुलेट
…	एलिप्सिस	एलिप्सिस | चूक | डॉट्स
‧	हाइफ़नेशन बिंदु	डैश | बिंदु | हाइफ़न | हाइफ़नेशन बिंदु
‰	प्रति मील	प्रति माईल | प्रति मील | प्रतिमील
′	प्राइम	प्राइम
″	डबल प्राइम	डबल प्राइम | प्राइम
‴	ट्रिपल प्राइम	ट्रिपल प्राइम | प्राइम
‸	त्रुटिबोधक चिह्न	त्रुटिबोधक चिह्न
※	संदर्भ चिह्न	संदर्भ चिह्न
‼	दोहरा विस्मयादिबोधक चिह्न	चिह्न | चिह्न विचार | दोहरा विस्मयादिबोधक चिह्न | विस्मयादिबोधक
‽	विस्मय-प्रश्न चिह्न	विस्मय-प्रश्न चिह्न
‾	शिरोपंक्ति	शिरोपंक्ति
⁂	ध्‍यान आ‍कर्षित करने के लिए तीन तारक-चिह्न	ध्‍यान आ‍कर्षित करने के लिए तीन तारक-चिह्न
⁄	भिन्न स्लैश	भिन्न स्लैश
⁉	विस्मयादिबोधक प्रश्न चिह्न	चिह्न | चिह्न विचार | प्रश्न | विराम चिह्न | विस्मयादिबोधक
⁻	सुपरस्क्रिप्ट माइनस	माइनस | सुपरस्क्रिप्ट
₡	कोस्टा रिका कोलोन	
₢	क्रुज़ेइरो	क्रुज़ेइरो
₣	फ्रांसीसी फ्रैंक	फ्रांसीसी फ्रैंक
₤	लीरा	लीरा
₥	मिल	मिल
₦	नाइजीरियाई नाइरा	
₨	रुपया	रुपया
₩	वॉन	केआरडब्ल्यू | केपीडब्ल्यू | वॉन
₪	इज़राइली न्यू शेकेल	
₫	वियतनामी डोंग	
€	यूरो	ईयूआर | मुद्रा | यूरो
₭	लाओशियन किप	
₮	मंगोलियाई टगरिक	
₰	जर्मन पैसा	जर्मन पैसा
₱	पेसो	पेसो
₲	पैराग्वियन गुआरानी	
₳	एस्ट्रल	एस्ट्रल
₴	यूक्रेनियन रिव्निया	
₵	घानियन सेडी	
₶	लिवर टूरनॉइस	लिवर टूरनॉइस
₷	स्पेसमिलो	स्पेसमिलो
₸	कज़ाखिस्तानी टेंज़	
₹	भारतीय रुपया	भारतीय रुपया | मुद्रा | रुपया
₺	तुर्की लीरा	
₼	अज़रबैजानी मैनेट	
₽	रूबल	मुद्रा | रूबल
₾	जॉर्जियन लारी	
₿	बिटकॉइन	बिटकॉइन | बीटीसी
℗	साउंड रिकॉर्डिंग कॉपीराइट	कॉपीराइट | रिकॉर्डिंग | साउंड
™	ट्रेड मार्क चिह्न	चिह्न | ट्रेड मार्क चिह्न | ट्रेडमार्क | व्यापार चिह्न
ℹ	सूचना	i | अक्षर आई | आई | जानकारी | सूचना
←	बाईं ओर इशारा करता तीर	तीर | बाईं | बाईं ओर इशारा करता तीर
↑	ऊपर की ओर इशारा करता तीर	ऊपर | ऊपर की ओर इशारा करता तीर | तीर
→	दाईं ओर इशारा करता तीर	तीर | दाईं | दाईं ओर इशारा करता तीर
↓	नीचे की ओर इशारा करता तीर	तीर | नीचे | नीचे की ओर इशारा करता तीर
↔	बाएँ-दाएँ तीर	तीर | बाएँ-दाएँ तीर
↕	ऊपर-नीचे तीर	ऊपर-नीचे तीर | तीर
↖	ऊपर-बायाँ तीर	इंटरकार्डिनल | उत्तर पश्चिम | उत्तर-पश्चिम दिशा | ऊपर-बायाँ तीर | ऊपर-बायां तीर | दिशा
↗	ऊपर-दायाँ तीर	इंटरकार्डिनल | उत्तर-पूर्व दिशा | उत्तरपूर्व दिशा | ऊपर-दायाँ तीर | दिशा
↘	नीचे-दायाँ तीर	इंटरकार्डिनल | दक्षिण-पूर्व दिशा | दक्षिणपूर्व | दिशा | नीचे-दायाँ तीर | नीचे-दायां तीर
↙	नीचे-बायाँ तीर	इंटरकार्डिनल | दक्षिण-पश्चिम दिशा | दक्षिणपश्चिम | दिशा | नीचे-बायाँ तीर | नीचे-बायां तीर
↚	बाईं ओर वाला तीर स्ट्रोक	बाईं ओर वाला तीर स्ट्रोक
↛	दाईं ओर वाला तीर स्ट्रोक	दाईं ओर वाला तीर स्ट्रोक
↜	बाईं ओर वाला लहरील तीर	बाईं ओर वाला लहरील तीर
↝	दाईं ओर वाला लहरील तीर	दाईं ओर वाला लहरील तीर
↞	बायाँ दो शीर्ष तीर	बायाँ दो शीर्ष तीर
↟	ऊपर की ओर दो शीर्ष वाला तीर	ऊपर की ओर दो शीर्ष वाला तीर
↠	दाईं ओर दो शीर्ष वाला तीर	दाईं ओर दो शीर्ष वाला तीर
↡	नीचे की ओर दो शीर्ष वाला तीर	नीचे की ओर दो शीर्ष वाला तीर
↢	बायाँ तीर टेल	बायाँ तीर टेल
↣	दायाँ तीर टेल	दायाँ तीर टेल
↤	बार से बाईं ओर तीर	बार से बाईं ओर तीर
↥	बार से ऊपर की ओर तीर	बार से ऊपर की ओर तीर
↦	बार से दायाँ तीर	बार से दायाँ तीर
↧	बार से नीचे की ओर तीर	बार से नीचे की ओर तीर
↨	आधार वाला ऊपर नीचे तीर	आधार वाला ऊपर नीचे तीर
↩	बाईं ओर मुड़ा दायाँ तीर	तीर | बाईं ओर मुड़ने वाला दायां तीर | बाईं ओर मुड़ा दायाँ तीर
↪	दाईं ओर मुड़ा बायाँ तीर	तीर | दाईं ओर मुड़ने वाला बायां तीर | दाईं ओर मुड़ा बायाँ तीर
↫	बाईं ओर तीर लूप	बाईं ओर तीर लूप
↬	दाईं ओर तीर लूप	दाईं ओर तीर लूप
↭	बायाँ दायाँ लहरदार तीर	बायाँ दायाँ लहरदार तीर
↮	बायां दाया तीर स्ट्रोक	बायां दाया तीर स्ट्रोक
↯	नीचे की ओर घुमावदार तीर	नीचे की ओर घुमावदार तीर
↰	ऊपर की ओर तीर की नोक बाईं ओर	ऊपर की ओर तीर की नोक बाईं ओर
↱	ऊपर की ओर तीर की नोक दाईं ओर	ऊपर की ओर तीर की नोक दाईं ओर
↲	नीचे की ओर तीर की नोक बाईं ओर	नीचे की ओर तीर की नोक बाईं ओर
↳	नीचे की ओर तीर की नोक दाईं ओर	नीचे की ओर तीर की नोक दाईं ओर
↴	दाईं ओर वाला तीर कोने से नीचे की ओर	दाईं ओर वाला तीर कोने से नीचे की ओर
↵	बाईं ओर वाला तीर कोने से नीचे की ओर	बाईं ओर वाला तीर कोने से नीचे की ओर
↶	वामावर्त शीर्ष अर्धवृत्त तीर	वामावर्त शीर्ष अर्धवृत्त तीर
↷	दक्षिणावर्त शीर्ष अर्धवृत्त तीर	दक्षिणावर्त शीर्ष अर्धवृत्त तीर
↸	लंबे बार के साथ उत्तर पश्चिमी तीर	लंबे बार के साथ उत्तर पश्चिमी तीर
↹	दाईं ओर तीर बार पर बाईं ओर तीर बार	दाईं ओर तीर बार पर बाईं ओर तीर बार
↺	वामावर्त बायाँ वृत्त तीर	वामावर्त बायाँ वृत्त तीर
↻	दक्षिणावर्त बायाँ वृत्ताकार तीर	दक्षिणावर्त बायाँ वृत्ताकार तीर
↼	बाईं ओर हार्पून बार्ब ऊपर की ओर	बाईं ओर हार्पून बार्ब ऊपर की ओर
↽	बाईं ओर हार्पून बार्ब नीचे की ओर	बाईं ओर हार्पून बार्ब नीचे की ओर
↾	ऊपर की ओर हार्पून बार्ब दाईं ओर	ऊपर की ओर हार्पून बार्ब दाईं ओर
↿	ऊपर की ओर हार्पून बार्ब बाईं ओर	ऊपर की ओर हार्पून बार्ब बाईं ओर
⇀	दाईं ओर हार्पून बार्ब ऊपर की ओर	दाईं ओर हार्पून बार्ब ऊपर की ओर
⇁	दाईं ओर हार्पून बार्ब नीचे की ओर	दाईं ओर हार्पून बार्ब नीचे की ओर
⇂	नीचे की ओर हार्पून बार्ब दाईं ओर	नीचे की ओर हार्पून बार्ब दाईं ओर
⇃	नीचे की ओर हार्पून बार्ब बाईं ओर	नीचे की ओर हार्पून बार्ब बाईं ओर
⇄	बाएँ तीर के ऊपर दायाँ तीर	बाएँ तीर के ऊपर दायाँ तीर
⇅	ऊपर और नीचे की ओर इशारे करते तीर	ऊपर | ऊपर और नीचे की ओर इशारे करते तीर | ऊपर की ओर इशारा करते और नीचे की ओर इशारा करते तीर | तीर | नीचे
⇆	दाएं इशारा करते तीर पर बाएं इशारा करता तीर	तीर | दाईं | दाईं ओर इशारा करते हुए तीर पर बाईं ओर इशारा करता तीर | दाएं इशारा करते तीर पर बाएं इशारा करता तीर | बाईं
⇇	बाईं ओर युग्मित तीर	बाईं ओर युग्मित तीर
⇈	ऊपर की ओर युग्मित तीर	ऊपर की ओर युग्मित तीर
⇉	दाईं ओर युग्मित तीर	दाईं ओर युग्मित तीर
⇊	नीचे की ओर युग्मित तीर	नीचे की ओर युग्मित तीर
⇋	दाईं ओर वाले हार्पून पर बाईं ओर वाला हार्पून	दाईं ओर वाले हार्पून पर बाईं ओर वाला हार्पून
⇌	बाईं ओर वाले हार्पून पर दाईं ओर वाला हार्पून	बाईं ओर वाले हार्पून पर दाईं ओर वाला हार्पून
⇍	स्ट्रोक वाला बाईं ओर दोहरा तीर	स्ट्रोक वाला बाईं ओर दोहरा तीर
⇎	बायां दायां दोहरा तीर स्ट्रोक	बायां दायां दोहरा तीर स्ट्रोक
⇏	दाहिनी ओर दोहरा तीर स्ट्रोक	दाहिनी ओर दोहरा तीर स्ट्रोक
⇐	बाईं ओर दोहरा तीर	बाईं ओर दोहरा तीर
⇑	ऊपर की ओर दोहरा तीर	ऊपर की ओर दोहरा तीर
⇒	दाईं ओर दोहरे तीर	दाईं ओर दोहरे तीर
⇓	नीचे की ओर दोहरा तीर	नीचे की ओर दोहरा तीर
⇔	बायां दायां दोहरा तीर	बायां दायां दोहरा तीर
⇖	उत्तर पश्चिम दोहरा तीर	उत्तर पश्चिम दोहरा तीर
⇗	उत्तर पूर्व दोहरा तीर	उत्तर पूर्व दोहरा तीर
⇘	दक्षिण पूर्व दोहरा तीर	दक्षिण पूर्व दोहरा तीर
⇙	दक्षिण पश्चिम दोहरा तीर	दक्षिण पश्चिम दोहरा तीर
⇚	बाईं ओर तिहरा तीर	बाईं ओर तिहरा तीर
⇛	दाहिनी ओर तिहरा तीर	दाहिनी ओर तिहरा तीर
⇜	बाईं ओर घुमावदार तीर	बाईं ओर घुमावदार तीर
⇝	दाईं ओर घुमावदार तीर	दाईं ओर घुमावदार तीर
⇞	ऊपर की ओर तीर दोहरा स्ट्रोक	ऊपर की ओर तीर दोहरा स्ट्रोक
⇟	नीचे की ओर तीर दोहरा स्ट्रोक	नीचे की ओर तीर दोहरा स्ट्रोक
⇠	बाईं ओर डैश तीर	बाईं ओर डैश तीर
⇡	ऊपर की ओर डैश तीर	ऊपर की ओर डैश तीर
⇢	दाईं ओर डैश तीर	दाईं ओर डैश तीर
⇣	नीचे की ओर डैश तीर	नीचे की ओर डैश तीर
⇤	बाईं ओर तीर पट्टी	बाईं ओर तीर पट्टी
⇥	दाईं ओर तीर पट्टी	दाईं ओर तीर पट्टी
⇦	बाईं ओर खोखला तीर	बाईं ओर खोखला तीर
⇧	ऊपर की ओर खोखला तीर	ऊपर की ओर खोखला तीर
⇨	दाईं ओर खोखला तीर	दाईं ओर खोखला तीर
⇩	नीचे की ओर खोखला तीर	नीचे की ओर खोखला तीर
⇪	पट्टी से ऊपर की ओर खोखला तीर	पट्टी से ऊपर की ओर खोखला तीर
⇵	नीचे की ओर तीर बाईं ओर ऊपर की ओर तीर	नीचे की ओर तीर बाईं ओर ऊपर की ओर तीर
∀	सभी के लिए	सभी के लिए
∂	आंशिक अंतर	आंशिक अंतर
∃	वहाँ मौजूद होता है	वहाँ मौजूद होता है
∅	रिक्त सेट	रिक्त सेट
∆	संवृद्ध	त्रिकोण | संवृद्ध
∇	नाबला	त्रिकोण | नाबला
∈	इसका तत्व	इसका तत्व | इसमें शामिल होता है | तत्व | सदस्यता | सेट
∉	कोई तत्व नहीं	कोई तत्व नहीं
∋	सदस्य के रूप में रखता है	सदस्य के रूप में रखता है
∎	अंत प्रमाण	अंत प्रमाण
∏	एन-अरी उत्पाद	एन-अरी उत्पाद
∑	एन-अरी योग	एन-अरी योग
−	माइनस चिह्न	घटाना | माइनस | माइनस चिह्न
∓	ऋण-या-धन	ऋण-या-धन
∕	विभाजन स्लैश	विभाजन स्लैश
∗	तारांकन ऑपरेटर	तारांकन ऑपरेटर
∘	रिंग ऑपरेटर	रिंग ऑपरेटर
∙	बुलेट ऑपरेटर	बुलेट ऑपरेटर
√	वर्गमूल	मूल | मूलांक | वर्ग | वर्गमूल | सर्ड
∝	सानुपातिक	सानुपातिक
∞	अनंत चिह्न	अनंत | अनंत चिह्न
∟	समकोण	समकोण
∠	कोण	कोण
∣	विभाजन करना	विभाजन करना
∥	समानांतर	समानांतर
∧	तार्किक and	तार्किक and
∩	इंटरसेक्शन	इंटरसेक्शन | सेट
∪	यूनियन	यूनियन | संग्रह | सेट
∫	समाकलन	समाकलन
∬	दोहरा समाकलन	दोहरा समाकलन
∮	समोच्च समाकलन	समोच्च समाकलन
∴	इसलिए	इसलिए
∵	क्योंकि	क्योंकि
∶	अनुपात	अनुपात
∷	समानुपात	समानुपात
∼	लहरिल डैश ऑपरेटर	लहरिल डैश ऑपरेटर
∽	उलटा लहरिल डैश	उलटा लहरिल डैश
∾	उल्टा लेज़ी एस	उल्टा लेज़ी एस
≃	अनंतस्पर्शी बराबर	अनंतस्पर्शी बराबर
≅	लगभग इसके बराबर	लगभग इसके बराबर
≈	लगभग बराबर	लगभग | लगभग बराबर | समीपता
≌	सभी बराबर	सभी बराबर
≒	लगभग छवि के बराबर	लगभग छवि के बराबर
≖	बराबर में रिंग	बराबर में रिंग
≠	बराबर नहीं	असमानता | बराबर नहीं
≡	इसके समरूप	इसके समरूप | ठीक वैसा | तीन | समरूप
≣	पूरीतरह से समतुल्य	पूरीतरह से समतुल्य
≤	इससे छोटा या बराबर	असमानता | इससे छोटा | इससे छोटा या बराबर | बराबर | बराबरी
≥	इससे बड़ा या बराबर	असमानता | इससे बड़ा | इससे बड़ा या बराबर | बराबर | बराबरी
≦	बराबर होने पर इससे कम	बराबर होने पर इससे कम
≧	बराबर होने पर इससे अधिक	बराबर होने पर इससे अधिक
≪	की तुलना में बहुत कम	की तुलना में बहुत कम
≫	की तुलना में बहुत अधिक	की तुलना में बहुत अधिक
≬	इसके बीच	इसके बीच
≮	इससे कम नहीं	इससे कम नहीं
≯	इससे अधिक नहीं	इससे अधिक नहीं
≳	इससे अधिक समकक्ष	इससे अधिक समकक्ष
≺	पहले आता है	पहले आता है
≻	बाद में आता है	बाद में आता है
⊁	बाद में नहीं आता है	बाद में नहीं आता है
⊂	इसका सबसेट	इसका सबसेट | सबसेट | सेट
⊃	सुपरसेट	सुपरसेट
⊆	सबसेट बराबर	सबसेट बराबर
⊇	सुपरसेट बराबर	सुपरसेट बराबर
⊕	गोलाकार धन	गोलाकार धन
⊖	गोलाकार ऋण	गोलाकार ऋण
⊗	गोलाकार समय	गोलाकार समय
⊘	गोलाकार विभाजन स्लैश	गोलाकार विभाजन स्लैश
⊙	गोलाकार डॉट ऑपरेटर	गोलाकार डॉट ऑपरेटर
⊚	गोलाकार रिंग ऑपरेटर	गोलाकार रिंग ऑपरेटर
⊛	गोलाकार तारांकन चिह्न ऑपरेटर	गोलाकार तारांकन चिह्न ऑपरेटर
⊞	वर्गाकार धन	वर्गाकार धन
⊟	वर्गाकार ऋण	वर्गाकार ऋण
⊥	अप टैक	अप टैक
⊮	बल नहीं लगाता	बल नहीं लगाता
⊰	संबंध के अंतर्गत प्रिसीड	संबंध के अंतर्गत प्रिसीड
⊱	संबंध के अंतर्गत सक्सीड	संबंध के अंतर्गत सक्सीड
⊶	मूल	मूल
⊹	हर्मिशियन संयुग्म मैट्रिक्स	हर्मिशियन संयुग्म मैट्रिक्स
⊿	समकोण त्रिभुज	समकोण त्रिभुज
⋁	एन-अरी तार्किक या	एन-अरी तार्किक या
⋂	एन-अरी इंटरसेक्शन	एन-अरी इंटरसेक्शन
⋃	एन-अरी यूनियन	एन-अरी यूनियन
⋅	डॉट ऑपरेटर	डॉट ऑपरेटर
⋆	सितारा ऑपरेटर	सितारा ऑपरेटर
⋈	नैचुरल ज्वाइन	नैचुरल ज्वाइन
⋒	दोहरा इंटरसेक्शन	दोहरा इंटरसेक्शन
⋘	की तुलना में बहुत ज्यादा कम	की तुलना में बहुत ज्यादा कम
⋙	की तुलना में बहुत ज्यादा अधिक	की तुलना में बहुत ज्यादा अधिक
⋭	सामान्य उपसमूह बराबर के रूप में शामिल नहीं है	सामान्य उपसमूह बराबर के रूप में शामिल नहीं है
⋮	अनुलंब दिर्घवृत्त	अनुलंब दिर्घवृत्त
⋯	मध्‍यरेखा क्षैतिज दिर्घवृत्त	मध्‍यरेखा क्षैतिज दिर्घवृत्त
⋰	विकर्ण ऊपर दायाँ दिर्घवृत्त	विकर्ण ऊपर दायाँ दिर्घवृत्त
⋱	विकर्ण नीचे दायाँ दिर्घवृत्त	विकर्ण नीचे दायाँ दिर्घवृत्त
⌨	कीबोर्ड	कंप्यूटर | कीबोर्ड
⏏	इजेक्ट बटन	इजेक्ट बटन | निकालें | निकालें बटन
⏭	अगला ट्रैक बटन	अगला ट्रैक | अगला ट्रैक बटन | अगला दृश्य | अगले दृश्य | तीर | त्रिकोण | त्रिभुज
⏮	पिछला ट्रैक बटन	तीर | त्रिकोण | दोहरा रीवाइंड तीर | पिछला ट्रैक | पिछला ट्रैक बटन | पिछला दृश्य | रीवाइंड
⏯	प्ले और पॉज़ बटन	चलाएँ | चलाएं | तीर | त्रिकोण | पॉज़ | प्ले | प्ले और पॉज़ बटन | प्ले या पॉज़ बटन | रोकें
⏱	स्टॉपवॉच	घड़ी | समय | स्टॉपवॉच
⏲	टाइमर घड़ी	घड़ी | टाइमर घड़ी | समय
⏸	पॉज़ बटन	दोहरा | पॉज़ बटन | बार | रोकें | रोकें बटन | लंबवत | स्थिर बटन
⏹	रोकें बटन	रोकें | रोकें बटन | वर्ग
⏺	रिकॉर्ड बटन	रिकॉर्ड | रिकॉर्ड बटन | वृत्त
Ⓜ	वृत्त के भीतर M	m | म | वृत्त | वृत्त के भीतर M
■	भरे हुए वर्गाकार	भरे हुए वर्गाकार
□	खाली वर्ग	खाली वर्ग
▢	गोल कोनों के साथ खाली वर्ग	गोल कोनों के साथ खाली वर्ग
▣	गोल कोनों के साथ भरे हुए वर्ग	गोल कोनों के साथ भरे हुए वर्ग
▤	क्षैतिज भराव के साथ वर्ग	क्षैतिज भराव के साथ वर्ग
▥	ऊर्ध्वाधर भराव के साथ वर्ग	ऊर्ध्वाधर भराव के साथ वर्ग
▦	वर्ग लंब कोणिय क्रॉसहैच भराव	वर्ग लंब कोणिय क्रॉसहैच भराव
▧	वर्ग ऊपरी बाएँ निचला दायाँ भराव	वर्ग ऊपरी बाएँ निचला दायाँ भराव
▨	वर्ग ऊपरी दाएँ निचला बायाँ भराव	वर्ग ऊपरी दाएँ निचला बायाँ भराव
▩	वर्ग विकर्ण क्रॉसहैच भराव	वर्ग विकर्ण क्रॉसहैच भराव
▪	काला छोटा वर्ग	काला छोटा वर्ग | ज्यामिति | वर्ग
▫	सफ़ेद छोटा वर्ग	ज्यामिति | ज्यामिती | सफेद छोटा वर्ग | सफ़ेद छोटा वर्ग
▬	भरा हुआ समकोण	भरा हुआ समकोण
▭	खाली समकोण	खाली समकोण
▮	भरा हुआ लंबवत समकोण	भरा हुआ लंबवत समकोण
▰	भरा हुआ समानांतर चतुर्भुज	भरा हुआ समानांतर चतुर्भुज
▲	ऊपर की ओर इंगित करता भरा हुआ त्रिकोण	ऊपर | ऊपर की ओर इंगित करता भरा हुआ त्रिकोण | ऊपर की ओर इशारा करता भरा हुआ त्रिकोण | तीर | त्रिकोण | भरा
△	खाली ऊपर की ओर इंगित करता हुआ त्रिभुज	खाली ऊपर की ओर इंगित करता हुआ त्रिभुज
▴	भरा हुआ ऊपर की ओर इंगित करता हुआ छोटा त्रिभुज	भरा हुआ ऊपर की ओर इंगित करता हुआ छोटा त्रिभुज
▵	खाली ऊपर की ओर इंगित करता हुआ छोटा त्रिभुज	खाली ऊपर की ओर इंगित करता हुआ छोटा त्रिभुज
▶	प्ले बटन	चलाएं बटन | त्रिकोण | त्रिभुज | दाहिना | प्ले बटन
▷	दाईं ओर इंगित करता हुआ खाली त्रिभुज	दाईं ओर इंगित करता हुआ खाली त्रिभुज
