# CLDR symbol names for hi_Latn: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
%	percent	
&		ampersand | aur | et
'	typewriter apostrophe	apostrophe | quote | single quote | typewriter apostrophe
)		bracket | close parenthesis | paren | parens | parenthesis | round bracket
.	period	
<	isse kam	isse kam | open tag | tag
=	baraabar	baraabar
>	isse bada	close tag | isse bada | tag
@	at-sign	ampersat | arobase | arroba | at mark | at sign | at-sign
[		bracket | crotchet | open square bracket | square bracket
]		bracket | close square bracket | crotchet | square bracket
^		accent | caret | chevron | circumflex | control | hat | xor sign
_	low line	dash | line | low dash | low line | underdash | underline
{		brace | bracket | curly brace | curly bracket | gullwing | open curly bracket
|		pike | pipe | sheffer stroke | stick | vbar | vertical bar | vertical line
}		brace | bracket | close curly bracket | curly brace | curly bracket | gullwing
£		currency | EGP | GBP | pound
¨		diaeresis | umlaut
®		R | registered
µ		measure | micro sign
،	arabic comma	arabic | comma
؛	arabic semicolon	arabic | semicolon
؟	arabic question mark	arabic | arabic question mark | question | question mark
‘		apostrophe | left apostrophe | quote | single quote | smart quote
’		apostrophe | quote | right apostrophe | single quote | smart quote
“		double quote | left quotation mark | quotation | quote | smart quotation
”		double quote | quotation | quote | right quotation mark | smart quotation
†	dagger sign	dagger | dagger sign | obelisk | obelus
‡	double dagger sign	dagger | double | double dagger sign | obelisk | obelus
‰		per mil | per mille | permil | permille
⁉		! | !? | ? | exclamation | exclamation question mark | interrobang | question mark
₡	Costa Rican colon	
₢		BRB | cruzeiro | currency
₣	french franc	currency | franc | french franc
₤		currency | lira
₰	german penny	currency | german penny | pfennig
₳		ARA | austral | currency
₶		currency | livre tournois
₹	indian rupee	currency | indian rupee | rupee
₽	ruble	currency | ruble
↙	left-down arrow	arrow | intercardinal | left-down arrow | left-down direction | southwest
↚	stroke ke saath leftwards arrow	stroke ke saath leftwards arrow
↛	stroke ke saath rightwards arrow	stroke ke saath rightwards arrow
↞	leftwards two headed arrow	leftwards two headed arrow
↟	upwards two headed arrow	upwards two headed arrow
↠	rightwards two headed arrow	rightwards two headed arrow
↡	downwards two headed arrow	downwards two headed arrow
↢	tail wala leftwards arrow	tail wala leftwards arrow
↣	tail wala rightwards arrow	tail wala rightwards arrow
↨	base ke saath up down arrow	base ke saath up down arrow
↩	left side muda hua right arrow	arrow | left side muda hua right arrow
↪	right side muda hua left arrow	arrow | right side muda hua left arrow
↫	loop wala leftwards arrow	loop wala leftwards arrow
↬	loop wala rightwards arrow	loop wala rightwards arrow
↭	left right wave arrow	left right wave arrow
↮	stroke ke saath left-right arrow	stroke ke saath left-right arrow
↰	leftwards tip wala upwards arrow	leftwards tip wala upwards arrow
↱	rightwards tip wala upwards arrow	rightwards tip wala upwards arrow
↲	leftwards tip wala downwards arrow	leftwards tip wala downwards arrow
↳	rightwards tip wala downwards arrow	rightwards tip wala downwards arrow
↴	downwards corner wala rightwards arrow	downwards corner wala rightwards arrow
↵	downwards corner wala leftwards arrow	downwards corner wala leftwards arrow
