# CLDR symbol names for hr: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	uskličnik	uskličnik | usklik
#	znak ljestve	broj | funta | hashtag | lb | ljestve | znak ljestve | znak ljestvi
$	dolar	dolar | novac | pezo | USD
%	postotak	posto | postotak
&	znak &	et | i | znak &
'	polunavodnik na pisaćem stroju	apostrof | jednostruki navodnik | navodnik | polunavodnik na pisaćem stroju
)	desna zagrada	desna zagrada | okrugla zagrada | zagrada
*	zvjezdica	asterisk | zamjenski znak | zvjezdica
+	znak plusa	plus | zbrajanje | znak plusa
,	zarez	zarez
-	spojnica-minus	crtica | minus | spojnica | spojnica-minus
.	točka	točka | točka na kraju rečenice | završna točka
/	kosa crta	kosa crta | kosina
:	dvotočka	dvotočka
;	točka sa zarezom	točka sa zarezom
<	manje	manje | manje od | oznaka | početna oznaka
=	jednako	jednako | jednako je
>	veće	oznaka | veće | veće od | završna oznaka
?	upitnik	pitanje | upitnik
@	znak „at”	monkey | vitičnik | znak „at“ | znak „at”
[	lijeva uglata zagrada	lijeva uglata zagrada | uglata zagrada | zagrada
\	obrnuta kosa crta	obrnuta kosa crta | obrnuti solidus
]	desna uglata zagrada	desna uglata zagrada | uglata zagrada | zagrada
^	dugosilazni naglasak	cirkumfleks | dugosilazni | naglasak | vrh
_	donja crta	crta | donja crta
`	kratkouzlazni naglasak	kratkouzlazni | naglasak | ton
{	lijeva vitičasta zagrada	lijeva vitičasta zagrada | vitica | vitičasta zagrada | zagrada
|	okomita crta	crta | linija | okomita crta | potez | šeferova crta | uspravna crta | v crta | vertikalna crta | vrh
}	desna vitičasta zagrada	desna vitičasta zagrada | vitica | vitičasta zagrada | zagrada
~	tilda	tilda
¡	obrnuti uskličnik	obrnuti | uskličnik | usklik
¢	cent	cent
£	funta	EGP | funta | GBP | valuta
¤	nepoznata valuta	
¥	jen	CNY | jen | JPY | juan | valuta
§	odjeljak	dio | odjeljak | odlomak | znak za odjeljak
¨	dijereza	dijereza | prijeglas | trema
©	znak za autorska prava	autorska prava | copyright | znak za autorska prava
«	lijevo usmjereni šiljasti navodnik	kareti | lijevo | lijevo usmjereni šiljasti navodnik | navodnik | ševron | ukošeno | zagrade
¬	negacija	ne | negacija
®	znak za registrirano	registrirano | znak za registrirano
°	stupanj	satni kut | stupanj | udio
±	plus-minus	plus-minus
²	eksponent 2	2 | eksponent | kvadratni
³	eksponent 3	3 | eksponent | kubični
´	dugouzlazni naglasak	dugouzlazni | naglasak | ton
µ	znak mikro	mjera | znak mikro
¶	prijelom odlomka	alineja | odjeljak | odlomak | prijelom odlomka | znak prijeloma
·	srednja točka	sredina | srednja točka | točka
¹	eksponent 1	1 | eksponent
