# CLDR symbol names for hsb: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	wuwołak	interpunkciske znamješko | wukřik | wuwołak
#	dwójny křižik	dwójny křižik | tastatura
$	symbol za dolar	dolar | měna | pjenjezy | symbol | symbol za dolar
%	znamješko "procent"	procent | procenty | tastatura | znamješko "procent"
&	znamješko ampersand	& | et | tastatura | znamješko | znamješko ampersand
'	narunanske znamješko za apostrof	apostrof | narunanske znamješko | narunanske znamješko za apostrof
)	začinjena kulojta spinka	kulojta | spinka | začinjena
*	hwěžka	hwěžka | tastatura
+	znamjo plus	aděrować | plus | znamjo plus
,	koma	interpunkciske znamješko | koma
-	smužka-minus	minus | smužka | smužka-minus
.	delni dypk	delni dypk | dypk
/	nakósna smužka doprawo	doprawa | nakósna smužka | nakósna smužka doprawa | nakósna smužka doprawo | smužka | tastatura
:	dwojodypk	dwojodypk | interpunkciske znamješko
;	semikolon	interpunkciske znamješko | semikolon
<	mjeńše hač	matematika | mjeńše hač
=	runja	runja
>	wjetše hač	matematika | wjetše hač
?	prašak	interpunkciske znamješko | prašak | prašenje
@	znamješko et	tastatura | znamješko | znamješko @ | znamješko et
[	wočinjena róžkata spinka	róžkata spinka | spinka | wočinjena | wočinjena róžkata spinka
\	nakósna smužka dolěwa	dolěwa | nakósna smužka | nakósna smužka dolěwa | smužka | tastatura
]	začinjena róžkata spinka	spinka | začinjena | začinjena róžkata spinka
^	wobroćena hóčka	interpunkciske znamješko | wobroćena hóčka
_	delnja smužka	delnja smužka | podsmužka | smužka
`	smužka nalěwo	akcent | akcentowane | interpunkciske znamješko | smužka | smužka nalěwo
{	wočinjena kwaklojta spinka	kwaklojta | spinka | wočinjena
|	padoruna smuha	matematika | padoruna smuha | smuha
}	začinjena kwaklojta spinka	kwaklojta | spinka | začinjena
~	tilda	tilda
¡	wobroćeny wuwołak	interpunkciske znamješko | na hłowje stać | wobroćeny wuwołak | wuwołak | znak
¢	symbol za cent	cent | měna | pjenjezy | symbol za cent
£	symbol za punt	britiski punt | měna | pjenjezy | punt | symbol | symbol za punt
¤	njeznata měna	
¥	symbol za yen	měna | pjenjezy | symbol | symbol za yen | yen
§	paragraf	dźěl | paragraf | prawnistwo | wotrězk | zakoń
¨	dypkaj nad pismikom	dypkaj nad pimikom | dypkaj nad pismikom | interpunkciske znamješko | přezwuk
©	symbol za awtorske prawa	awtorske prawa | c | copyright | symbol za awtorske prawa
«	francoske pazorki dolěwa	dwójna kutowa spinka | francoske pazorki | francoske pazorki dolěwa | kutowa | spinka
¬	negacija	matematika | negacija
®	zapisane markowe znamjo	marka | markowe znamjo | zapisane | zapisane markowe znamjo
°	stopjeń	alkohol | promil | stopjeń | stopjenk | temperatura
±	znamjo plus a minus	plus a minus | znamjo plus a minus
²	dwójka jako powyšene znamješko	čisło dwaj | dwójka | dwójka jako powyšene znamješko | powyšene znamješko
³	trójka jako powyšene znamješko	čisło tři | trójka | trójka jako powyšene znamješko
´	smužka naprawo	akcent | akcentowane | interpunkciske znamješko | smužka | smužka naprawo
µ	znamješko za mikro	měra | mikro | znamješko | znamješko za mikro
¶	wotrězkowa značka	wotrězk | wotrězki | wotrězkowa značka | značka
·	srjedźny dypk	dypk | srjedźny
¹	jedynka jako powyšene znamješko	čisło jedyn | jedynka | jedynka jako powyšene znamješko | powyšene znamješko
»	francoske pazorki doprawa	dwójna kutowa spinka | francoske pazorki | francoske pazorki doprawa | kutowa | spinka
¿	wobroćeny prašak	interpunkciske znamješko | na hłowje stać | prašak | prašenje | wobroćeny prašak | znak
×	symbol za multiplikaciju	króćličenje | multiplikacija | multiplikować | namnoženje | namnožić | symbol za multiplikaciju
÷	symbol za diwiziju	diwiděrować | diwizija | dźělenje přez | dźělić přez | symbol za diwiziju
֏	armenski dram	
؋	afghaniski afghani	
،	arabski koma	arabski koma | interpunkciske znamješko | koma
؛	arabski semikolon	arabski semikolon | interpunkciske znamješko | semikolon
؟	arabski prašak	arabski prašak | interpunkciske znamješko | prašak
৳	bangladešska taka	
฿	thaiski baht	
៛	kambodźaski riel	
‐	wjazaca smužka	smužka | wjazaca smužka | wjazawka
–	krótka smužka	krótka smužka | smužka
—	dołha smužka	dołha smužka | smužka
―	wodoruna smužka	linija | smužka | wodoruna
‘	apostrof nalěwo	apostrof | kwačka | nalěwo | tastatura
’	apostrof naprawo	apostrof | kwačka | naprawo | tastatura
‚	apostrof deleka naprawo	apostrof | apostrof deleka naprawo | deleka naprawo
“	pazorki nalěwo	nalěwo | pazorki | rěčana rěč
”	pazorki naprawo	naprawo | pazorki | rěčana rěč
„	pazorki deleka naprawo	deleka naprawo | pazorki | pazorki deleka naprawo
†	znamjo křiža	křiž | obelisk | znamjo křiža | znamjo swjateho křiža
‡	znamjo dwójneho křiža	dwójny křiž | křiž | obelisk | znamjo dwójneho křiža
•	dypk	dypk | kulka
…	tři dypki	dypk | dypki | tři dypki
‧	złóžki dźělacy dypk	dypk | dźělić | złóžki | złóžki dźělacy dypk | złóžki dźěłacy dypk
