# CLDR symbol names for hu: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	felkiáltójel	felkiáltás | felkiáltójel
#	kettőskereszt	hashtag | kettőskereszt | szám | számjel
$	dollár	dollár | pénz | USD
%	százalékjel	százalék jel | százalékjel
&	és jel	és | és jel | et
'	írógép-aposztróf	aposztróf | egyszeres idézőjel | idézőjel | írógép-aposztróf
)	berekesztő zárójel	berekesztő zárójel | gömbölyű zárójel | kerek zárójel | zárójel
*	csillagjel	aszteriszk | csillag | csillagjel
+	pluszjel	összeadás | plusz | pluszjel
,	vessző	vessző
-	elválasztójel	diviz | elválasztójel | kötőjel
.	pont	pont
/	perjel	ferde | perjel | tördelés | törtjel | törtvonal | vonás
:	kettőspont	kettőspont
;	pontosvessző	pontosvessző
<	kisebb, mint	címke | címke megnyitása | kisebb | kisebb, mint | mint
=	egyenlő	egyenlő | ugyanannyi
>	nagyobb, mint	címke | címke lezárása | mint | nagyobb | nagyobb, mint
?	kérdőjel	kérdés | kérdőjel
@	kukacjel	at-jel | bejgli | csiga | kukac | kukacjel
[	nyitó szögletes zárójel	nyitó szögletes zárójel | szögletes zárójel | zárójel
\	fordított perjel	fordított perjel | fordított törtvonal | tördelés
]	berekesztő szögletes zárójel	berekesztő szögletes zárójel | szögletes zárójel | zárójel
^	kúpos ékezet	beszúrásjel | csúcsos | ékezet | hajtott | hatványjel | háztető | kalap | kúpos
_	aláhúzásjel	aláhúzás | aláhúzásjel | alulvonás
`	tompa ékezet	ékezet | hangsúly | tompa
{	nyitó kapcsos zárójel	kapcsos | nyitó kapcsos zárójel | zárójel
|	függőleges vonal	függőleges vonal | sheffer-vonás | vonal | vonás
}	berekesztő kapcsos zárójel	berekesztő kapcsos zárójel | kapcsols | zárójel
~	hullámvonal	hullámvonal
¡	fordított felkiáltójel	felkiáltás | felkiáltójel | fordított
¢	cent	cent
