# CLDR symbol names for hy: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	բացականչության նշան	բացականչության կետ | բացականչության նշան | բացականչություն | հարված
#	վանդականիշ	համար | վանդականիշ | վանդակատրոհ | ֆունտ
$	դոլար	դոլար | փող
%	տոկոս	հարյուրերրորդական | հարյուրի | տոկոս | փոխորդի
&	ամպերսանդ	ամպերսանդ | եւ | և
'	գրամեքենայի ապաթարց	ապաթարց | գրամեքենայի ապաթարց | միակի չակերտ | չակերտ
)	փակող փակագիծ	կլոր փակագիծ | փակագիծ | փակող փակագիծ
*	աստղանիշ	աստղ | աստղանիշ | էջատակ | հղում | տեղադրման նշան
+	պլյուս նշան	գումարել | պլյուս | պլյուս նշան
,	ստորակետ	ստորակետ
-	ենթամնա-մինուս	գծիկ | եթամնա | ենթամնա-մինուս | մինուս
.	միջակետ	կետ | միջակետ
/	շեղ	գիծ | թեք | կտորակ | շեղ
:	վերջակետ	վերջակետ
;	կետ-ստորակետ	կետ-ստորակետ
<	փոքր է	բացող տրոհ | տրոհ | փոքր է | փոքր քան
=	հավասար է	հավասար | հավասար է | հավասարություն
>	մեծ է	մեծ է | մեծ քան | տրոհ | փակող տրոհ
?	հարցի նշան	հարց | հարցի նշան
@	ըթ-ի նշան	at | ըթ-ի նշան | շնիկ
[	բացող քառակուսի փակագիծ	բացող քառակուսի փակագիծ | փակագիծ | քառակուսի փակագիծ
\	հետշեղ	հակառակ կոտորակ | հետշեղ
]	փակող քառակուսի փակագիծ	փակագիծ | փակող քառակուսի փակագիծ | քառակուսի փակագիծ
^	տանիք շեշտ	կառավար | շեշտ | շեշտանշան | տանիք
_	ընդգիծ	գիծ | գծիկ | ենթագիծ | ընդգիծ | ցածր գծիկ
`	բութ շեշտ	բութ | բութ շեշտ | ձայներանգ
