# CLDR symbol names for ia: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
¤	moneta incognite	
֏	dram armenie	
؋	afghani	
৳	taka bengalese	
฿	baht thailandese	
៛	riel cambodgian	
₡	colon costarican	
₦	naira nigerian	
₪	nove shekel israeli	
₫	dong vietnamese	
₭	kip laotian	
₮	tugrik mongol	
₲	guarani paraguayan	
₴	hryvnia ukrainian	
₵	cedi ghanese	
₸	tenge kazakh	
₺	lira turc	
₼	manat azeri	
₾	lari georgian	
⚠	aviso	advertimento | attention | aviso
✖	multiplication	multiplication
🏳	bandiera blanc	agitante | bandiera blanc | flottante | undulante
👁	oculo	corpore | ocular | oculo | ophthalmologia | vision | visual
