# CLDR symbol names for id: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	tanda seru	dor | seru | tanda seru
#	tanda pagar	angka | hashtag | lb | pagar | pound | tanda pagar
$	dolar	dolar | peso | uang | USD
%	persen	per seratus | persen | persentase | perseratus
&	ampersan	ampersan | dan | et
'	apostrof mesin tik	apostrof | apostrof mesin tik | kutipan | tanda petik tunggal
)	kurung tutup	kurung | kurung lengkung | kurung tutup | tanda kurung
*	asterisk	asterisk | bintang | bintang kecil | tanda bintang
+	tanda plus	plus | tambah | tanda plus
,	koma	koma
-	tanda hubung-minus	dash | minus | tanda hubung | tanda hubung-minus | tanda kurang
.	titik	dot | titik
/	garis miring	garis | goresan | miring
:	titik dua	titik dua
;	titik koma	titik koma
<	kurang dari	kurang dari | tag | tag pembuka
=	sama dengan	sama dengan
>	lebih dari	lebih dari | tag | tag penutup
?	tanda tanya	pertanyaan | tanda tanya
@	tanda et	ampersat | et | tanda et | tanda et komersial
[	kurung siku buka	kurung | kurung siku buka | siku | tanda kurung
\	garis miring terbalik	garis miring | garis miring terbalik | terbalik
]	kurung siku tutup	kurung | kurung siku tutup | siku | tanda kurung
^	aksen sirkumfleks	aksen | baji | caret | chevron | hat | kontrol | pangkat | penunjuk | sirkumfleks | tanda xor
_	garis bawah	dash | dash bawah | dash rendah | garis | garis bawah
`	tanda aksen rendah	aksen | nada | rendah | tanda aksen rendah
{	kurung kurawal buka	kurawal | kurung kurawal | kurung kurawal buka | tanda kurung
|	garis vertikal	garis | garis tegak | garis vertikal | goresan | pipa | tanda pipa
}	kurung kurawal tutup	kurawal | kurung kurawal | kurung kurawal tutup | tanda kurung
~	tilde	tilde
¡	tanda seru terbalik	dor | seru | tanda seru | tanda seru terbalik | terbalik
¢	sen	sen
£	pound	EGP | GBP | mata uang | pound
¤	Mata Uang Tidak Dikenal	
¥	yen	CNY | JPY | mata uang | yen | yuan
§	bagian	bagian | paragraf | seksi | silcrow
¨	diaeresis	diaeresis | trema | umlaut
©	hak cipta	C | hak cipta
«	guillemet kiri	caret | chevron | guillemet kiri | kiri | sudut | tanda kurung | tanda petik
¬	negasi	negasi | tidak
®	terdaftar	R | terdaftar
°	derajat	derajat | jam | kadar
±	plus-minus	plus-minus
²	dua superskrip	dua | kuadrat | superskrip
³	tiga superskrip	kubik | superskrip | tiga
´	tanda aksen tirus	aksen | nada | tanda aksen tirus | tirus
µ	tanda mikro	tanda mikro | ukuran
¶	tanda paragraf	alinea | paragraf | tanda paragraf
·	titik tengah	interpunct | tengah | titik
