# CLDR symbol names for ig: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	akara exclamation	akara exclamation | ang | exclamation | exclamation mark | exclamation point
#	akara hash	akara hash | hash | hash sign | hashtag | lb | number | pound
$	dọla	dọla | ego | peso | USD
%	pasent	per cent | per-cent | percent
&	na	ampersand | et | na
'	rịkọm elu keedemede	apostrophe | quote | single quote | typewriter apostrophe
)	akara mmechi	bracket | close parenthesis | paren | parens | parenthesis | round bracket
*	asterisk	asterisk | onwa | wildcard
+	akara igbakota	akara igbakota | igbakota | tinye
,	rikom	rikom
-	njiko-mwepu	dash | mwepu | njiko | njiko-mwepu
.	mgbe	dot | kponkwem | mgbe
/	kewa	kewa | oblique | slash | solidus | stroke | virgule | whack
:	Kolon	Kolon
;	semicolon	semicolon
<	pekarịrị	pekarịrị
=	nhara	nhara
>	karirị	karirị | karịrị
?	akara ajuju	ajuju | akara ajuju
@	akara ebe	ampersat | arobase | arroba | at mark | at sign | at-sign | commercial at | strudel
[	akara mmepe sụkwia	bracket | crotchet | open square bracket | square bracket
\	backlash	backlash | backslash | reverse solidus | whack
]	akara mmechi sụkwia	bracket | close square bracket | crotchet | square bracket
^	circumflex accent	accent | caret | chevron | circumflex | control | hat | pointer | power | wedge | xor sign
_	akara dị ala	dash | line | low dash | low line | underdash | underline
`	grave accent	accent | grave | ụda
{	akara mmepe mgbagọ	brace | bracket | curly brace | curly bracket | gullwing | open curly bracket
|	ahịrị kwụ ọtọ	ahịrị kwụ ọtọ
}	akara mmechi mgbagọ	brace | bracket | close curly bracket | curly brace | curly bracket | gullwing
~	tilde	tilde
¡	inverted exclamation mark	bang | exclamation | exclamation mark | exclamation point | inverted | inverted exclamation mark
¢	sent	sent
£	paụnd	ego | EUR | GBP | paụnd
¤	Ego Amaghị	
¥	yen	CNY | ego | JPY | yen | yuan
