# CLDR symbol names for is: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	upphrópunarmerki	bang | hrópmerki | upphrópun | upphrópunarmerki
#	endamerki	endamerki | númer | pund
$	dalur	dalur | peningar | pesi | USD
%	prósent	af hundraði | hundraðshluti | prósent
&	og-merki	og | og-merki
'	prenthögg	einföld gæsalöpp | gæsalöpp | prenthögg | úrfellingarmerki
)	hægri svigi	hægri svigi | svigi | svigi lokast
*	stjarna	algildisstafur | stjarna | stjörnumerki
+	plúsmerki	leggja saman | plús | plúsmerki
,	komma	komma
-	bandstrik-mínus	bandstrik | bandstrik-mínus | mínus | þankastrik
.	punktur	depill | punktur
/	skástrik	brotastrik | hallandi | skástrik | strik á ská
:	tvípunktur	tvípunktur
;	semíkomma	semíkomma
<	minna en	lægra en | minna en | vinstri fleygur
=	jafnt	jafnt | samasem
>	stærra en	hægri fleygur | meira en | stærra en
?	spurningarmerki	spurning | spurningarmerki
@	vistmerki	á-merki | at-merki | att-merki | hjá | hjá-merki | vistmerki
[	vinstri hornklofi	hornklofi | klofi | vinstri hornklofi
\	öfugt skástrik	bakstrik | flástrik | öfugt skástrik
]	hægri hornklofi	hægri hornklofi | hornklofi | klofi
^	hattur	hattur | innskotsmerki | oddur
_	lágstrik	lágstrik | niðurstrik | strik | undirstrik
`	öfugur broddur	áhersla | broddur | öfugur broddur | tónn
{	vinstri oddsvigi	oddsvigi | slaufa | slaufusvigi | svigi | vinstri oddsvigi
|	lóðrétt lína	lóðlína | lóðrétt lína | lóðrétt strik | lóðstrik | stöng
}	hægri oddsvigi	hægri oddsvigi | oddsvigi | slaufa | slaufusvigi | svigi
~	tilda	tilda
¡	öfugt upphrópunarmerki	bang | hrópmerki | öfugt | upphrópun | upphrópunarmerki
¢	sent	sent
£	pund	EGP | GBP | gjaldmiðill | pund
¤	óþekktur gjaldmiðill	
¥	jen	CNY | gjaldmiðill | jen | JPY | júan
§	kaflamerki	efnisgrein | hluti | kaflamerki | silcrow
¨	tvídepill	hljóðvarp | hljóðvarpshljóð | tvídepill
©	höfundarréttarmerki	höfundarréttarmerki | höfundarréttarvarið | höfundarréttur
«	franskar gæsalappir vinstri	franskar gæsalappir vinstri | horn | hornklofar | innskotsmerki | setja í gæsalappir | tvíoddur | vinstri
¬	neitun	ekki | neitun
®	skráð	skráð | skráð vörumerki
°	gráða	alkóhólstyrkur | gráða | klukkustund
±	plús-mínus	plús-mínus
