# CLDR symbol names for it: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	punto esclamativo	esclamazione | punto di esclamazione | punto esclamativo
#	segno del cancelletto	cancelletto | hashtag | libbra | numero | segno del cancelletto
$	simbolo del dollaro	denaro | dollaro | peso | simbolo del dollaro | USD
%	simbolo di percentuale	% | percento | percentuale | simbolo di percentuale
&	e commerciale	e | e commerciale
'	virgoletta dritta	singola | virgoletta | virgoletta dritta
)	parentesi di chiusura	parentesi | parentesi di chiusura | tonda
*	simbolo dell’asterisco	asterisco | carattere jolly | simbolo dell’asterisco | stella
+	segno più	addizionare | addizione | aggiungere | più | segno più | somma | sommare
,	virgola	virgola
-	trattino-segno meno	lineetta | meno | trattino | trattino-segno meno
.	punto	punto
/	barra obliqua	barra | obliqua | solidus
:	due punti	due punti
;	punto e virgola	punto | punto e virgola | virgola
<	minore	apertura tag | minore | minore di | tag
=	uguale	uguale | uguale a
>	maggiore	chiusura tag | maggiore | maggiore di | tag
?	punto interrogativo	domanda | punto interrogativo
@	simbolo della chiocciola	a commerciale | chiocciola | chiocciolina | simbolo della chiocciola | strudel
[	parentesi quadra aperta	parentesi | parentesi quadra aperta | quadra
\	barra rovesciata	barra rovesciata | solidus inversa
]	parentesi quadra chiusa	parentesi | parentesi quadra chiusa | quadra
^	accento circonflesso	accento | caret | chevron | circonflesso | potenza | puntatore | segno xor
_	trattino basso	lineetta | sottolineatura | trattino | trattino basso
`	accento grave	accento | grave | tono
{	parentesi graffa aperta	aperta | parentesi graffa | parentesi graffa aperta
|	linea verticale	barra | barra verticale | linea | linea verticale | trattino | trattino verticale
}	parentesi graffa chiusa	chiusa | parentesi graffa | parentesi graffa chiusa
~	tilde	tilde
¡	punto esclamativo al contrario	al contrario | capovolto | esclamazione | punto di esclamazione | punto esclamativo | punto esclamativo al contrario
¢	centesimo	centesimo
£	simbolo della sterlina	EGP | GBP | simbolo della sterlina | sterlina | valuta
¤	valuta sconosciuta	
¥	simbolo dello yen	CNY | JPY | simbolo dello yen | valuta | yen | yuan
§	simbolo di sezione	paragrafo | parte | sezione | simbolo di sezione
¨	dieresi	dieresi | simbolo
©	copyright	copyright
«	virgolette basse doppie aperte	apertura | caporali | francesi | parentesi | virgolette | virgolette basse aperte | virgolette basse doppie aperte
¬	negazione	negazione | non
®	marchio registrato	marchio registrato | marchio registrato cerchiato
°	simbolo di grado	grado | ora | proof | simbolo di grado
±	più o meno	più o meno
²	numero due in apice	apice | due | numero due in apice | valore al quadrato
³	numero tre in apice	apice | numero tre in apice | tre | valore al cubo
´	accento acuto	accento | acuto | tono
µ	simbolo del micron	simbolo del micron | unità di misura
¶	simbolo di paragrafo	alinea | paragrafo | piede di mosca | simbolo di paragrafo
·	punto mediano	centrato | mediano | punto | segno di interpunzione
¹	numero uno in apice	apice | numero uno in apice | uno
»	virgolette basse doppie chiuse	caporali | chiusura | francesi | parentesi | virgolette | virgolette basse chiuse | virgolette basse doppie chiuse
¿	punto interrogativo al contrario	al contrario | domanda | punto interrogativo | punto interrogativo al contrario
×	segno di moltiplicazione	moltiplicare | moltiplicazione | per | segno della moltiplicazione | segno di moltiplicazione
