# CLDR symbol names for ja: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	感嘆符	! | エクスクラメーションマーク | びっくりマーク | 感嘆符 | 約物 | 記号
#	ハッシュマーク	シャープ | ナンバーサイン | ハッシュマーク | 番号 | 記号
$	ドル	USD | アメリカドル | ドル | 合衆国ドル | 米ドル | 通貨
%	パーセント	パーセント | 割合 | 百分率 | 記号
&	アンパサンド	アンド | アンパサンド | 記号
'	ストレートアポストロフィ	アポストロフィ | ストレートアポストロフィ | 一重引用符 | 引用符
)	閉じ括弧	カッコ | パーレン | 丸括弧 | 小括弧 | 括弧閉じ | 終わり括弧 | 閉じ括弧
*	アスタリスク	アスタリスク | スター | ワイルドカード | 星印 | 記号
+	プラス記号	プラス記号 | 加算 | 正符号 | 足す
,	カンマ	カンマ | コンマ | 記号
-	ハイフンマイナス	ダッシュ | ハイフンマイナス | マイナス | 記号
.	ピリオド	ドット | ピリオド | フルストップ | 終止符
/	スラッシュ	ストローク | スラッシュ | 斜線 | 記号
:	コロン	コロン | 記号
;	セミコロン	コロン | セミコロン | 記号
<	小なり	より小さい | 不等号 | 小なり | 開始タグ
=	等号	イコール | 等しい | 等号
>	大なり	より大きい | 不等号 | 大なり | 閉じタグ
?	疑問符	? | クエスチョンマーク | はてなマーク | 疑問符 | 約物 | 記号
@	アットマーク	アットマーク | 単価記号 | 記号
[	開き角括弧	カッコ | ブラケット | 大括弧 | 角括弧 | 開き角括弧
\	バックスラッシュ	バックスラッシュ | 斜線 | 記号
]	閉じ角括弧	カッコ | ブラケット | 大括弧 | 角括弧 | 閉じ角括弧
^	サーカムフレックス	アクセント | キャレット | サーカムフレックス | 発音区別符号 | 記号
_	アンダースコア	アンダースコア | アンダーライン | 下線 | 記号
`	グレイヴ アクセント	アクサングラーブ | アクセント | グレイヴ アクセント | 発音区別符号 | 記号
{	開き波括弧	カッコ | ブレース | 中括弧 | 波括弧 | 開き波括弧
|	縦棒	バーティカルバー | パイプ | 否定論理積 | 棒 | 縦棒 | 縦線
}	閉じ波括弧	カッコ | ブレース | 中括弧 | 波括弧 | 閉じ波括弧
~	チルダ	チルダ | にょろ | 波線
¡	逆感嘆符	エクスクラメーションマーク | びっくりマーク | 感嘆符 | 約物 | 記号 | 逆感嘆符
¢	セント	クォーター | セント | ダイム | ニッケル | ペニー | 硬貨
£	ポンド	EGP | GBP | エジプトポンド | ポンド | 英ポンド | 通貨
¤	不明または無効な通貨	
¥	円	CNY | JPY | 中国元 | 円 | 日本円 | 通貨
§	節記号	セクション | 段落 | 節 | 節記号 | 項
¨	ダイエリシス	アクセント | ウムラウト | ダイエリシス | トレマ | 発音区別符号 | 記号
©	著作権マーク	Cマーク | コピーライト | 著作権 | 著作権マーク | 記号
«	左山括弧	カッコ | 二重ギュメ | 山パーレン | 左ギュメ | 左山括弧 | 引用符
¬	否定	でない | 否定 | 否定記号
®	登録商標マーク	Rマーク | 登録商標 | 登録商標マーク | 記号
°	度	度 | 時間 | 温度 | 角度
±	プラスマイナス	プラスマイナス | 複号
²	上付き2	2 | 2乗 | 上付き2 | 添え字
³	上付き3	3 | 3乗 | 上付き3 | 添え字
´	アキュート アクセント	アキュート アクセント | アクサンテギュ | アクセント | 発音区別符号 | 記号
µ	マイクロ記号	マイクロ記号 | ミクロ | 単位
¶	段落記号	パラグラフ | ピルクロウ | 段落記号 | 記号
·	半角中点	中点 | 中黒 | 半角中点 | 点 | 黒丸
¹	上付き1	1 | 上付き1 | 添え字
»	右山括弧	カッコ | 二重ギュメ | 右ギュメ | 右山括弧 | 山パーレン | 引用符
¿	逆疑問符	クエスチョンマーク | はてなマーク | 疑問符 | 約物 | 記号 | 逆疑問符
×	乗算記号	乗算記号 | 倍 | 掛ける | 掛け算 | 掛け算記号
÷	除算記号	割り算 | 割り算記号 | 割る | 除算記号
֏	アルメニア ドラム	
؋	アフガニスタン アフガニー	
،	アラビック カンマ	アラビック カンマ | カンマ | コンマ | 記号
؛	アラビック セミコロン	アラビック セミコロン | セミコロン | 記号
؟	左右反転の疑問符	クエスチョンマーク | はてなマーク | 左右反転の疑問符 | 疑問符 | 約物 | 記号
৳	バングラデシュ タカ	
฿	タイ バーツ	
៛	カンボジア リエル	
‐	ハイフン	ダッシュ | ハイフン | 記号
–	enダッシュ	enダッシュ | エヌダッシュ | ダッシュ
—	emダッシュ	emダッシュ | エムダッシュ | ダッシュ
―	ホリゾンタルバー	ダッシュ | ホリゾンタルバー | 横棒 | 記号
‘	左アポストロフィ	アポストロフィ | スマートクォート | 一重引用符 | 左アポストロフィ | 引用符
’	右アポストロフィ	アポストロフィ | スマートクォート | 一重引用符 | 右アポストロフィ | 引用符
‚	下付き右アポストロフィ	アポストロフィ | 下付き右アポストロフィ | 下付き引用符 | 引用符
“	左二重引用符	クオーテーションマーク | スマートクォート | 二重引用符 | 左二重引用符 | 引用符
”	右二重引用符	クオーテーションマーク | スマートクォート | 二重引用符 | 右二重引用符 | 引用符
„	下付き右二重引用符	クオーテーションマーク | スマートクォート | 下付き右二重引用符 | 下付き引用符 | 二重引用符 | 引用符
†	短剣符	オベリスク | ダガー | 剣標 | 短剣符
‡	二重短剣符	オベリスク | ダガー | ダブルダガー | 二重剣標 | 二重短剣符
•	ビュレット	ビュレット | 点 | 箇条書き
…	省略記号	三点リーダー | 点々 | 省略 | 省略記号
‧	分綴点	ハイフネーション | 分綴 | 分綴点 | 点
‰	パーミル	パーミル | 割合 | 千分率 | 記号
′	プライム	ダッシュ | プライム | 記号
″	ダブルプライム	ダブルプライム | プライム | 記号
‴	トリプルプライム	トリプルプライム | プライム | 記号
‸	キャレット	キャレット
※	米印	※ | コメント | 注釈 | 米印 | 記号
‼	二重感嘆符	! | エクスクラメーションマーク | びっくりマーク | 二重感嘆符 | 感嘆符 | 約物 | 記号
‽	インテロバング	インテロバング
‾	オーバーライン	オーバースコア | オーバーライン | 上線
⁂	アステリズム	アスタリズム | アステリズム | 三ツ星印
⁄	分数スラッシュ	ストローク | スラッシュ | 分数スラッシュ | 斜線
⁉	感嘆符疑問符	! | !? | ? | はてなマーク | びっくりマーク | 感嘆符疑問符 | 記号
⁻	上付きマイナス	マイナス | 上付きマイナス | 添え字
₡	コスタリカ コロン	
₢	クルゼイロ	BRB | クルゼイロ | 通貨
₣	フランスフラン	フラン | フランスフラン | 通貨
₤	リラ	リラ | 通貨
₥	ミル	ミル | 通貨
₦	ナイジェリア ナイラ	
₧	スペイン ペセタ	
₨	ルピー	ルピー | 通貨
₩	ウォン	KPW | KRW | ウォン | 北朝鮮ウォン | 通貨 | 韓国ウォン
₪	イスラエル新シェケル	
₫	ベトナム ドン	
€	ユーロ	EUR | ユーロ | 通貨
₭	ラオス キープ	
₮	モンゴル トグログ	
₰	ドイツマルク	ドイツマルク | ペニヒ | 通貨
₱	ペソ	フィリピンペソ | ペソ | メキシコペソ | 通貨
₲	パラグアイ グアラニ	
₳	アウストラル	ARA | アウストラル | 通貨
₴	ウクライナ フリヴニャ	
₵	ガーナ セディ	
₶	トゥールリーブル	トゥールリーブル | 通貨
₷	スペスミーロ	スペスミーロ | 通貨
₸	カザフスタン テンゲ	
₹	インドルピー	インドルピー | ルピー | 通貨
