# CLDR symbol names for jv: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# icu-version	78.3
# unicode-version	17.0
# Generated by tools/cldr_symbol_names.py; do not edit.
!	tandha penthung	sero | tandha penthung | tembung sero
#	tandha pager	angka | lb | ngiris | pound | tandha pager
$	dolar	dhuwit | dolar | peso | USD
%	persen	per sen | per-sen | persen
&	tandha lan	et | lan | tandha lan
'	apostrof mesin tik	apostrof | apostrof mesin tik | kutip | kutip siji
)	tandha kurung	induk | indukan | kurung | kurung bunder | tandha kurung
*	tandha lintang	lintang | tandha lintang | wildcard
+	tandha tambah	ditambahi | tambah | tandha tambah
,	pada lingsa	pada lingsa
-	tandha sambung-minus	minus | tandha garis | tandha sambung | tandha sambung-minus
.	titik	bintek | mandhek dek | titik
/	garis mireng	garis mireng | oblique | solidus | stroke | virgule | whack
:	pada lungsi loro	pada lungsi loro
;	pada lungsi pada lingsa	pada lungsi pada lingsa
<	luwih cilik	luwih cilik | tandha | tandha mbuka
=	pada karo	pada karo
>	luwih gedhe	luwih gedhe | tandha | tandha tutup
?	tandha pitakon	pitakon | tandha pitakon
@	tandha at	ampersat | arobase | arroba | at | at komersial | strudel | tandha at
[	kurung kothak mbukak	khayal | kurung | kurung kothak | kurung kothak mbukak
\	tandha mireng kewalik	mbalik | solidus | tandha mireng kewalik | whack
]	kurung kothak nutup	khayal | kurung | kurung kothak | kurung kothak nutup
^	aksen sirkomflek	aksen | aksen sirkomflek | dhaya | kontrol | panunjuk | pathok | tandha sisipan | topi
_	garis ngisor	garis | garis ngisor | tandha garis | tandha pisah | tandha pisah ngisor
`	aksen abot	abot | aksen | gendhing
{	kurung kriwil mbukak	jepit | jepit kriwil | kurung | kurung kriwil | kurung kriwil mbukak | swiwi manuk
|	garis tegak lurus	coretan | garis | garis tegak lurus | lembing | ora loro-lorone | palang | palang tegak lurus | pipo | tongkat | vbar
}	kurung kriwil nutup	jepit | jepit kriwil | kurung | kurung kriwil | kurung kriwil nutup | swiwi manuk
~	garis kriwil	garis kriwil
¡	tandha sero kewalik	kewalik | sero | tandha penthung | tandha sero | tandha sero kewalik | tembung sero
¢	sen	sen
£	pound	EGP | GBP | pound | valuta
¤	Dhuwit Ora Dikenali	
¥	yen	CNY | JPY | valuta | yen | yuan
§	bagean	bagean | bagean cilik | gugus ukara | tanda bagean
¨	diaeresis	diaeresis | tréma | umlaut
©	hak cipta	c | hak cipta
«	kurung lancip kiwa	amba | kiwa | kurung | kurung lancip kiwa | nggulung | ngutip | v kualik
¬	nolak	nolak | ora
®	kadhaptar	kadhaptar | r
°	drajat	bukti | drajat | jam
±	kurang luwih	kurang luwih
²	tandha loro ing dhuwur	loro | tandha loro ing dhuwur | tika dhuwur
³	tandha telu ing dhuwur	tandha telu ing dhuwur | telu | tika dhuwur
´	aksen alus	aksen | alus | gendhing
µ	tandha mikro	ngukur | tandha mikro
¶	tandha ukara	alinea | pilcrow | tandha ukara | tembung | ukoro
·	titik cilek	mudhuk | tengah | titik | titik cilek
¹	tandha siji ing dhuwur	siji | tandha siji ing dhuwur | tika dhuwur
»	kurung lancip tengen	amba | kurung | kurung lancip tengen | nggulung | ngutip | tengen | v kualik
¿	tandha pitakon kewalik	kewalik | pitakon | tandha pitakon | tandha pitakon kewalik
×	ping-pingan	dipingke | kaping | ping-pingan | tandha ping-pingan
÷	para	dipara | obelus | para | tandha para
֏	Dram Armenia	
؋	Afghani Afganistan	
،	pada lingsa arab	arab | pada lingsa | pada lingsa arab
؛	pada lingsa pada lungsi arab	arab | pada lingsa pada lungsi | pada lingsa pada lungsi arab
؟	tandha pitakon arab	arab | pitakon | tandha pitakon | tandha pitakon arab
৳	Taka Bangladesh	
฿	Baht Thai	
៛	Riel Kamboja	
‐	tandha sambung	tandha garis | tandha sambung
–	en setrip	en | setrip
—	em setrip	em | setrip
―	palang mlumah	garis | palang | palang mlumah | tandha garis
‘	apostrof kiwa	apostrof | apostrof kiwa | kutip | kutip pinter | kutip siji
’	apostrof tengen	apostrof | apostrof tengen | kutip | kutip pinter | kutip siji
‚	apostrof tengen ngisor	apostrof | apostrof tengen ngisor | kutip | kutip ngisor
“	tandha kutipan kiwo	kutip | kutip loro | kutipan | kutipan pinter | tandha kutipan kiwo
”	tandha kutipan tengen	kutip | kutip loro | kutipan | kutipan pinter | tandha kutipan tengen
„	tandha kutipan tengen ngisor	kutip | kutip loro | kutipan | kutipan ngisor | kutipan pinter | tandha kutipan tengen ngisor
†	tanda lading	lading | obelisk | obelus | tanda lading
‡	tanda lading pindo	lading | obelisk | obelus | pindo | tanda lading pindo
•	pluru	pluru | titik
…	tandha ganti	klalen | okeh titik | tandha ganti
‧	titik tandha sambung	tandha garis | tandha sambung | titik | titik tandha sambung
‰	per mil	per mil | permil | permill
′	tandha kuthip	tandha kuthip
″	tandha kuthip loro	tandha kuthip loro | tandha kutip loro
‴	tandha kutip telu	tandha kutip telu
‸	sisipan	sisipan
※	tandha referensi	tandha referensi
‼	tandha penthung dhobel	! | !! | mak cethor pindho | mbangetake | tandha | tandha penthung dhobel
‽	interobang	interabang | interobang
‾	garis ndhuwur	garis besar | garis ndhuwur | strip ndhuwur | vinculum
⁂	asterisme	asterisme | dinkus | lintang
⁄	garis miring pecahan	coret | garis miring pecahan | virgul
⁉	tandha penthung lan pitakon	! | !? | ? | pitakon | tandha | tandha penthung lan pitakon | tandha wacan
⁻	tandha kurang ing dhuwur	kurang | tandha kurang ing dhuwur | tika ngisor
₡	Colon Kosta Rika	
