# CLDR symbol names for ka: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	ძახილის ნიშანი	ძახილი | ძახილის ნიშანი | წამოძახილი
#	ოქტოთორპი	დიეზი | ნომერი | ოქტოთორპი | ფუნტი | ჰეში | ჰეშტეგი
$	დოლარი	აშშ დოლარი | დოლარი | ვალუტა | პესო | ფული
%	პროცენტი	ასიდან | მეასედი | პროცენტი | პროცენტის ნიშანი
&	ამპერსანდი	ამპერსანდი | და | ეთი
'	საბეჭდი მანქანის აპოსტროფი	ერთმაგი ბრჭყალი | საბეჭდი მანქანის აპოსტროფი | შეუმოსავი აპოსტროფი
)	ფრჩხილების დახურვა	დახურვა | ფრჩხილები | ფრჩხილების დახურვა | ფრჩხილი
*	ვარსკვლავი	ვარსკვლავი | ჩანაცვლების სიმბოლო
+	პლუსის ნიშანი	მიმატება | პლუსი | პლუსის ნიშანი
,	მძიმე	მძიმე
-	დეფისი-მინუსი	დეფისი | დეფისი-მინუსი | მინუსი | ტირე
.	წერტილი	დასასრული | წერტილი
/	მარჯვნივ დახრილი ხაზი	გამყოფი | დამყოფი | დამყოფი ხაზი | დახრილი ხაზი | ირიბი ხაზი | მარჯვნივ დახრილი ხაზი
:	ორწერტილი	ორწერტილი
;	წერტილმძიმე	წერტილმძიმე
<	ნაკლებობა	თეგის დახურვა | მეტობა | მეტობის ნიშანი | ნაკლებობა
=	ტოლობა	ტოლობა | ტოლობის ნიშანი
>	მეტობა	თეგის გახსნა | მეტობა | მეტობის ნიშანი
?	კითხვის ნიშანი	კითხვა | კითხვის ნიშანი
@	ეთის ნიშანი	ეთის ნიშანი | ელფოსტის ნიშანი | კომერციული ეთი | ძაღლუკა
[	მარცხენა კვადრატული ფრჩხილი	კვადრატურლი | მარცხენა კვადრატული ფრჩხილი | ფრჩხილები
\	უკუწილადი	დამყოფი | მარცხნივ დახრილი ხაზი | უკუწილადი | შებრუნებული დახრილი ხაზი
]	მარჯვენა კვადრატული ფრჩხილი	მარჯვენა კვადრატული ფრჩხილი | ფიგურული ფრჩხილი | ფრჩხილი
^	ცირკუმფლექსი	მახვილი | შევრონი | ცირკუმფლექსი
_	ქვედა ტირე	ქვედა ტირე | ქვედა ხაზი | ხაზგასმა
`	გრავისი	გრავისი | მახვილი | შებრუნებული აკუტი | შტრიხი
{	მარცხენა ფიგურული ფრჩხილი	კვადრატურლი | მარცხენა ფიგურული ფრჩხილი | ფიგურული
|	ვერტიკალური ხაზი	ვერტიკალური ზოლი | ვერტიკალური ხაზი | ხაზი
}	მარჯვენა ფიგურული ფრჩხილი	კვადრატურლი | მარჯვენა ფიგურული ფრჩხილი | ფიგურული
~	ტილდა	კლაკნილი | ტილდა | ქარაგმა
¡	შებრუნებული ძახილის ნიშანი	შებრუნებული | შებრუნებული ძახილის ნიშანი | ძახილი | ძახილის მაჩვენებელი | ძახილის ნიშანი | წამოძახილი
¢	ცენტი	ცენტი
£	ფუნტი	GBP | ვალუტა | სტერლინგი | ფუნტი
¤	უცნობი ვალუტა	
¥	იენი	CNY | JPY | ვალუტა | იენი | იუანი
§	პარაგრაფი	თავი | ნაწილი | პარაგრაფი | სექცია
¨	უმლაუტი	დიერეზისი | ტრემა | უმლაუტი
©	საავტორო უფლება	საავტორო უფლება | საავტორო უფლებები
«	მარცხენა ორმაგი კუთხოვანი ბრჭყალი	ბრჭყალები | კუთხე | კუთხოვანი ბრჭყალები | მარცხენა ბრჭყალი | მარცხენა ორმაგი კუთხოვანი ბრჭყალი | მარჯვნივ | შევრონი | ციტირება
¬	უარყოფა	არა | უარყოფა
®	რეგისტრირებული სასაქონლო ნიშანი	R | რეგისტრირებული სასაქონლო ნიშანი
°	გრადუსი	გრადუსი | დამოწმება | საათი
±	პლუს-მინუსი	მინუსი | პლუს-მინუსი | პლუსი
²	ორიანი ზედა ინდექსში	ზედა ინდექსი | კვადრატული | ორი | ორიანი ზედა ინდექსში
³	სამიანი ზედა ინდექსში	ზედა ინდექსი | კუბი | სამი | სამიანი ზედა ინდექსში
´	აკუტი	აკუტი | მახვილი | შებრუნებული გრავისი | შტრიხი
µ	მიკროს ნიშანი	განზომილება | მიკროს ნიშანი
¶	აბზაცის ნიშანი	აბზაცი | აბზაცის ნიშანი | გამწკრივება | პარაგრაფი | პარაფი
·	შუა წერტილი	შუა | შუა პუნქტი | წერტილი
¹	ერთიანი ზედა ინდექსში	ერთი | ერთიანი ზედა ინდექსში | ზედა ინდექსი
»	მარჯვენა ორმაგი კუთხოვანი ბრჭყალი	ბრჭყალები | კუთხე | კუთხოვანი ბრჭყალები | მარჯვენა ბრჭყალი | მარჯვენა ორმაგი კუთხოვანი ბრჭყალი | მარჯვნივ | შევრონი | ციტირება
¿	შებრუნებული კითხვის ნიშანი	კითხვა | კითხვის ნიშანი | შებრუნებული | შებრუნებული კითხვის ნიშანი
×	გამრავლების ნიშანი	გაამრავლე | გამრავლება | გამრავლების ნიშანი | რამდენჯერ
÷	გაყოფის ნიშანი	გაყავი | გაყოფა | გაყოფის ნიშანი | ობელუსი
֏	სომხური დრამი	
؋	ავღანური ავღანი	
،	არაბული მძიმე	არაბული | მძიმე
؛	არაბული წერტილმძიმე	არაბული | წერტილმძიმე
؟	არაბული კითხვის ნიშანი	არაბული | არაბული კითხვის ნიშანი | კითხვა | კითხვის ნიშანი
৳	ბანგლადეშური ტაკა	
฿	ტაილანდური ბატი	
៛	კამბოჯური რიელი	
‐	დეფისი	დეფისი | მინუსი | ტირე
–	საშუალო ტირე	საშუალო | ტირე
—	გრძელი ტირე	გრძელი | ტირე
―	ჰორიზონტალური ხაზი	ტირე | ხაზი | ჰორიზონტალური ხაზი
‘	მარცხენა აპოსტროფი	აპოსტროფი | ერთმაგი ბრჭყალი | მარცხენა აპოსტროფი | სტრიქონზედა მძიმე
’	მარჯვენა აპოსტროფი	აპოსტროფი | ერთმაგი ბრჭყალი | მარჯვენა აპოსტროფი | სტრიქონზედა მძიმე
‚	მარჯვენა ქვედა აპოსტროფი	აპოსტროფი | ერთმაგი ბრჭყალი | მარჯვენა ქვედა აპოსტროფი | ქვედა ბრჭყალი
“	ზედა ორმაგი დახურვის ბრჭყალი	ბრჭყალი | ზედა | ზედა ორმაგი დახურვის ბრჭყალი | ორმაგი ბრჭყალი
”	ზედა ორმაგი ქვეით მომართული ბრჭყალი	ბრჭყალი | ზედა | ზედა ორმაგი ქვეით მომართული ბრჭყალი | ორმაგი ბრჭყალი
„	ქვედა ორმაგი გამხსნელი ბრჭყალი	ბრჭყალი | ორმაგი ბრჭყალი | ქვედა | ქვედა ორმაგი გამხსნელი ბრჭყალი
†	ხანჯლის ნიშანი	ობელისკი | ხანჯალი | ხანჯლის ნიშანი | ჯვარი
‡	ორმაგი ხანჯლის ნიშანი	ობელისკი | ორმაგი | ორმაგი ხანჯლის ნიშანი | ხანჯალი | ჯვარი
•	ბურთი	ბულეტი | ბურთი | ბურთულა | წერტილი
…	სამწერტილი	მრავალწერტილი | სამი წერტილი | სამწერტილი
‧	გადატანის წერტილი	გადატანა | გადატანის წერტილი | ტირე | წერტილი
‰	პრომილე	მეათასედი | პრომილე | პრომილეს ნიშანი
′	შტრიხი	აპოსტროფი | მახვილი | შტრიხი
″	ორმაგი შტრიხი	ორმაგი შტრიხი | შეუმოსავი ბრჭყალები
‴	სამმაგი შტრიხი	სამმაგი მახვილი | სამმაგი შტრიხი
‸	ჩასმის ნიშანი	ჩასმის ნიშანი
※	ნიშნული	ნიშნული
‼	ორმაგი ძახილის ნიშანი	ნიშანი | ორმაგი ძახილის ნიშანი | პუნქტუაცია | ძახილი
