# CLDR symbol names for kab: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
¤	Tadrimt tarussint neɣ tarameɣtut	
֏	Adram Armini	
؋	Afɣani Afɣan	
৳	Ataka n Bangladec	
฿	Abaht n Tayland	
៛	Ariyil n Kambuj	
₡	Akulun n Kusta Rika	
₦	Anayra Anijiri	
₧	Apisetas n Spanya	
₪	Acikil amaynut n Izrayil	
₫	Adung n Vyitnam	
₭	Akip n Laws	
₮	Atugrik n Mungulya	
₲	Agarani n Paragway	
₴	Ahrivnya n Ukran	
₵	Asidi n Ɣana	
₸	Atunj n Kazaxistan	
₺	Apund n Ṭurk	
₼	Amanat Aziri	
₾	Alari n Jyurjya	
↔		aneccab azelmaḍ ayeffus
↕		aneccab asawen akesser
↖		aneccab asawen azelmaḍ
↘		aneccab d akesser uẓẓil
↙		aneccab akesser ayeffus
↩		aneccab ayeffus yettin s azelmaḍ
↪		aneccab azelmaḍ yettin s ayeffus
⌨		anasiw
⏱		amesnakud
⏲		Asakway
▶		taqeffalt n tɣuri
☀		iṭij
☁		asigna
☘		ikeffis
☹		udem amiglaz
☺		udem n ucmumeḥ
⛑		akaskiḍ amidag amellal
⛰		adrar
✈		asafag
✉		tajellabt
✏		aɣnib | imru
✒		imru n tricet aberkan
➡		aneccab ayeffus
⤴		aneccab ayeffus yettin d asawen
⤵		aneccab ayeffus yettin d akesser
⬅		aneccab azelmaḍ
⬆		aneccab d asawen
⬇		aneccab akesser
🌡		atirmumitr
🏔		adrar n udfel
🏕		asdar
🏘		ixxamen
🏜		aneẓruf
🏟		annar
🏳		anay amellal
🏷		tabzimt
🖥		aselkim n tnarit
🖨		tasaggazt
🖱		taɣerdayt n uselkim
🗳		asenduq
🗺		takarḍa n umaḍal
🛩		asafag ameẓyan
🛰		Aṣatilit
