# CLDR symbol names for kk: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	лептік белгісі	лептік белгісі
#	тор белгісі	тор белгісі
$	доллар	USD | ақша | доллар | песо
%	пайыз	пайыз
&	амперсанд	амперсанд
'	типографиялық апостроф	типографиялық апостроф
)	оң жақша	оң жақша
*	жұлдызша	жұлдызша
+	қосу таңбасы	қосу | плюс | таңба
,	үтір	үтір
-	минус таңбасы	минус таңбасы
.	нүкте	нүкте
/	қиғаш сызық	қиғаш сызық
:	қос нүкте	қос нүкте
;	нүктелі үтір	нүктелі үтір
<	кішірек	кішірек | сол тег | тег
=	тең	тең
>	үлкенірек	оң тег | тег | үлкенірек
?	сұрақ белгісі	сұрақ | сұрақ белгісі
@	айқұлақ белгісі	айқұлақ белгісі
[	сол жақ тік жақша	жақша | сол жақ тік жақша | тік жақша
\	кері қиғаш сызық	кері қиғаш сызық
]	оң жақ тік жақша	жақша | оң жақ тік жақша | тік жақша
^	түрленген екпін	түрленген екпін
_	төмен сызық	төмен сызық
`	қатаң екпін	қатаң екпін
{	сол жақ фигуралық жақша	жақша | сол жақ фигуралық жақша | фигуралық жақша
|	тік сызық	жолақ | сызық | сызықша | тік жолақ | тік сызық | штрих
}	оң жақ фигуралық жақша	жақша | оң жақ фигуралық жақша | фигуралық жақша
~	тильда	тильда
¡	төңкерілген лептік белгісі	төңкерілген лептік белгісі
¢	цент	цент
£	фунт	фунт
¤	Белгісіз валюта	
¥	иена	CNY | JPY | валюта | иена | юань
§	бөлім	бөлік | бөлім | параграф | параграф белгісі
¨	диереза	диереза
©	авторлық құқық белгісі	авторлық | авторлық құқық белгісі | белгі | құқық
«	сол жақ тырнақша	бұрыш | дәйексөз | енгізу белгісі | жақшалар | сол жақ | сол жақ тырнақша | тырнақша
¬	теріске шығару	теріске шығару
®	тіркелген сауда белгісі	белгі | сауда | тіркелген | тіркелген сауда белгісі
°	дәреже	дәлел | дәреже | сағат
±	плюс-минус	плюс-минус
²	үстіңгі екі индексі	екі | квадрат | үстіңгі екі индексі | үстіңгі индекс
³	үстіңгі үш индексі	текше | үстіңгі индекс | үстіңгі үш индексі | үш
´	акут екпін	акут екпін
µ	микро белгісі	микро белгісі | өлшеу
¶	абзац белгісі	абзац белгісі
·	интерпункт	интерпункт | нүкте | ортаңғы
¹	үстіңгі бір индексі	бір | үстіңгі бір индексі | үстіңгі индекс
»	оң жақ тырнақша	бұрыш | дәйексөз | енгізу белгісі | жақшалар | оң жақ | оң жақ тырнақша | тырнақша
¿	төңкерілген сұрақ белгісі	төңкерілген сұрақ белгісі
×	көбейту белгісі	көбейту | көбейту белгісі | рет
÷	бөлу белгісі	бөлу | бөлу белгісі | крестик
֏	Армения драмы	
؋	Ауғанстан афганиі	
،	араб үтірі	араб үтірі
؛	араб нүктелі үтірі	араб нүктелі үтірі
؟	араб сұрақ белгісі	араб сұрақ белгісі
৳	Бангладеш такасы	
฿	Тай баты	
៛	Камбоджа риелі	
‐	дефис	дефис
–	қысқа сызықша	қысқа | сызықша
—	ұзын сызықша	сызықша | ұзын
―	көлденең жолақ	көлденең жолақ
‘	сол апостроф	апостроф | дара тырнақша | сол апостроф | тырнақша
’	оң апостроф	оң апостроф
‚	төменгі оң апостроф	төменгі оң апостроф
“	сол жақ тырнақша белгісі	қосарлы тырнақша | сол жақ тырнақша белгісі | тырнақша | тырнақша белгісі
”	оң жақ тырнақша белгісі	қосарлы тырнақша | оң жақ тырнақша белгісі | тырнақша | тырнақша белгісі
„	төменгі оң жақ тырнақша белгісі	қосарлы тырнақша | төменгі оң жақ тырнақша белгісі | төменгі сол жақ тырнақша белгісі | төменгі тырнақша | тырнақша | тырнақша белгісі
†	сілтеме белгісі	айқаршық | крест | сілтеме | сілтеме белгісі
‡	қос сілтеме белгісі	айқаршық | крест | қос | қос сілтеме белгісі | сілтеме
•	жуан белгі	жуан белгі | нүкте
…	көп нүкте	көп нүкте
