# CLDR symbol names for kk_Arab: symbol, tts name, keywords
# cldr-version	48
# source	https://unicode.org/Public/cldr/48/cldr-common-48.zip
# sha256	06c7c698d6fd8d67cefac15a0206b0109b00e0ef1636f86f84449fa959561f74
# Generated by tools/cldr_symbol_names.py; do not edit.
!	لەپتىك بەلگىسى	لەپتىك بەلگىسى
#	تور بەلگىسى	تور بەلگىسى
$	دوللار	دوللار
%	پايىز	پايىز
&	امپەرساند	امپەرساند
'	تيپوگرافيالىق اپوستروف	تيپوگرافيالىق اپوستروف
)	وڭ جاقشا	وڭ جاقشا
*	جۇلدىزشا	جۇلدىزشا
+	قوسۋ تاڭباسى	قوسۋ تاڭباسى
,	ءۇتىر	ءۇتىر
-	مينۋس تاڭباسى	مينۋس تاڭباسى
.	نۇكتە	نۇكتە
/	قيعاش سىزىق	قيعاش سىزىق
:	قوس نۇكتە	قوس نۇكتە
;	نۇكتەلى ءۇتىر	نۇكتەلى ءۇتىر
<	كىشىرەك	تەگ | سول تەگ | كىشىرەك
=	تەڭ	تەڭ
>	ۇلكەنىرەك	تەگ | وڭ تەگ | ۇلكەنىرەك
?	سۇراق بەلگىسى	سۇراق | سۇراق بەلگىسى
@	ايقۇلاق بەلگىسى	ايقۇلاق بەلگىسى
[	سول جاق تىك جاقشا	تىك جاقشا | جاقشا | سول جاق تىك جاقشا
\	كەرى قيعاش سىزىق	كەرى قيعاش سىزىق
]	وڭ جاق تىك جاقشا	تىك جاقشا | جاقشا | وڭ جاق تىك جاقشا
^	تۇرلەنگەن ەكپىن	تۇرلەنگەن ەكپىن
_	تومەن سىزىق	تومەن سىزىق
`	قاتاڭ ەكپىن	قاتاڭ ەكپىن
{	سول جاق فيگۋرالىق جاقشا	جاقشا | سول جاق فيگۋرالىق جاقشا | فيگۋرالىق جاقشا
|	تىك سىزىق	تىك جولاق | تىك سىزىق | جولاق | سىزىق | سىزىقشا | شتريح
}	وڭ جاق فيگۋرالىق جاقشا	جاقشا | فيگۋرالىق جاقشا | وڭ جاق فيگۋرالىق جاقشا
~	تيلدا	تيلدا
¡	توڭكەرىلگەن لەپتىك بەلگىسى	توڭكەرىلگەن لەپتىك بەلگىسى
¢	سەنت	سەنت
£	فۋنت	فۋنت
¤	بەلگىسىز اقشا	
¥	يەنا	اقشا | يەنا | يۋان
§	ءبولىم	ءبولىم | بولىك | پاراگراف | پاراگراف بەلگىسى
¨	ديارەسيس	ديارەسيس
©	اۆتورلىق قۇقىق بەلگىسى	اۆتورلىق | اۆتورلىق قۇقىق بەلگىسى | بەلگى | قۇقىق
«	سول جاق تىرناقشا	بۇرىش | تىرناقشا | جاقشالار | دايەكسوز | سول جاق | سول جاق تىرناقشا | ەنگىزۋ بەلگىسى
¬	تەرىسكە شىعارۋ	تەرىسكە شىعارۋ
®	تىركەلگەن ساۋدا بەلگىسى	بەلگى | تىركەلگەن | تىركەلگەن ساۋدا بەلگىسى | ساۋدا
°	دارەجە	دارەجە | دالەل | ساعات
±	پليۋس-مينۋس	پليۋس-مينۋس
²	ۇستىڭگى ەكى يندەكسى	كۆادرات | ەكى | ۇستىڭگى ەكى يندەكسى | ۇستىڭگى يندەكس
³	ۇستىڭگى ءۇش يندەكسى	ءۇش | تەكشە | ۇستىڭگى ءۇش يندەكسى | ۇستىڭگى يندەكس
´	اكۋت ەكپىن	اكۋت ەكپىن
µ	ميكرو بەلگىسى	ميكرو بەلگىسى | ولشەۋ
¶	ابزاس بەلگىسى	ابزاس بەلگىسى
·	ينتەرپۋنكت	نۇكتە | ورتاڭعى | ينتەرپۋنكت
¹	ۇستىڭگى ءبىر يندەكسى	ءبىر | ۇستىڭگى ءبىر يندەكسى | ۇستىڭگى يندەكس
»	وڭ جاق تىرناقشا	بۇرىش | تىرناقشا | جاقشالار | دايەكسوز | ەنگىزۋ بەلگىسى | وڭ جاق | وڭ جاق تىرناقشا
¿	توڭكەرىلگەن سۇراق بەلگىسى	توڭكەرىلگەن سۇراق بەلگىسى
×	كوبەيتۋ بەلگىسى	رەت | كوبەيتۋ | كوبەيتۋ بەلگىسى
÷	ءبولۋ بەلگىسى	ءبولۋ | ءبولۋ بەلگىسى | كرەستيك
֏	ارمەنيا درامى	
؋	اۋعانستان افگانيى	
،	اراب ءۇتىرى	اراب ءۇتىرى
؛	اراب نۇكتەلى ءۇتىرى	اراب نۇكتەلى ءۇتىرى
؟	اراب سۇراق بەلگىسى	اراب سۇراق بەلگىسى
৳	بانگلادەش تاكاسى	
฿	تاي باتى	
៛	كامبودجا ريەلى	
‐	سىزىقشا	سىزىقشا
–	قىسقا سىزىقشا	سىزىقشا | قىسقا
—	ۇزىن سىزىقشا	سىزىقشا | ۇزىن
―	كولدەنەڭ جولاق	كولدەنەڭ جولاق
‘	سول اپوستروف	اپوستروف | تىرناقشا | دارا تىرناقشا | سول اپوستروف
’	وڭ اپوستروف	وڭ اپوستروف
‚	تومەنگى وڭ اپوستروف	تومەنگى وڭ اپوستروف
“	سول جاق تىرناقشا بەلگىسى	تىرناقشا | تىرناقشا بەلگىسى | سول جاق تىرناقشا بەلگىسى | قوسارلى تىرناقشا
”	وڭ جاق تىرناقشا بەلگىسى	تىرناقشا | تىرناقشا بەلگىسى | قوسارلى تىرناقشا | وڭ جاق تىرناقشا بەلگىسى
„	تومەنگى وڭ جاق تىرناقشا بەلگىسى	تومەنگى تىرناقشا | تومەنگى سول جاق تىرناقشا بەلگىسى | تومەنگى وڭ جاق تىرناقشا بەلگىسى | تىرناقشا | تىرناقشا بەلگىسى | قوسارلى تىرناقشا
†	سىلتەمە بەلگىسى	ايقارشىق | سىلتەمە | سىلتەمە بەلگىسى | كرەست
‡	قوس سىلتەمە بەلگىسى	ايقارشىق | سىلتەمە | قوس | قوس سىلتەمە بەلگىسى | كرەست
•	جۋان بەلگى	جۋان بەلگى | نۇكتە
…	كوپ نۇكتە	كوپ نۇكتە
‧	ءسوز تاسىمالداۋ نۇكتەسى	ءسوز تاسىمالداۋ نۇكتەسى
‰	پروميلە	پروميلە
′	شتريح	شتريح
″	قوس شتريح	قوس شتريح
‴	ءۇش شتريح	ءۇش شتريح
‸	كارەت	كارەت
※	باقىلاۋ بەلگىسى	باقىلاۋ بەلگىسى
‼	قوس لەپ بەلگىسى	! | بانگبانگ | بەلگى | پۋنكتۋاتسيا | قوس لەپ بەلگىسى | لەپ بەلگىسى
‽	ينتەرروباڭ	ينتەرروباڭ
‾	ۇستىڭگى سىزىق	ۇستىڭگى سىزىق
⁂	ءۇش جۇلدىزشا	ءۇش جۇلدىزشا
⁄	بولشەك سىزىعى	بولشەك سىزىعى
⁉	لەپ جانە سۇراق بەلگىسى	!؟ | بەلگى | پۋنكتۋاتسيا | سۇراق | لەپ بەلگىسى | لەپ جانە سۇراق بەلگىسى
⁻	ۇستىڭگى مينۋس يندەكسى	مينۋس | ۇستىڭگى مينۋس يندەكسى | ۇستىڭگى يندەكس
₡	كوستا-ريكا كولونى	
₢	كرۋزەيرو	كرۋزەيرو
₣	فرانسۋز فرانكى	فرانسۋز فرانكى
₤	ليرا	ليرا
₥	ميلل	ميلل
₦	نيگەريا نايراسى	
₨	رۋپيا	رۋپيا
₩	ۆون	ۆون
₪	يزرايل جاڭا شەكەلى	
₫	ۆەتنام دونگى	
€	ەۋرو	ەۋرو
